,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
0,1,11:47.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,0,0
1,1,11:46.0,,Defensive rebound by P. Gasol,0,0
2,1,11:22.0,,D. Rose misses 3-pt jump shot from 25 ft,0,0
3,1,11:20.0,,Offensive rebound by P. Gasol,0,0
4,1,11:12.0,,Turnover by D. Rose (bad pass),0,0
5,1,11:02.0,C. Parsons makes 2-pt jump shot from 19 ft,,2,0
6,1,10:34.0,,D. Rose misses 2-pt jump shot from 17 ft,2,0
7,1,10:33.0,,Offensive rebound by Team,2,0
8,1,10:23.0,,J. Butler makes 2-pt layup from 1 ft,2,2
9,1,10:14.0,M. Ellis misses 2-pt jump shot from 9 ft (block by J. Noah),,2,2
10,1,10:13.0,,Defensive rebound by M. Dunleavy,2,2
11,1,10:05.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by J. Butler),2,5
12,1,9:44.0,J. Nelson makes 3-pt jump shot from 24 ft (assist by M. Ellis),,5,5
13,1,9:20.0,,J. Noah misses 2-pt jump shot from 3 ft,5,5
14,1,9:20.0,,Offensive rebound by Team,5,5
15,1,9:10.0,,J. Butler misses 2-pt jump shot from 14 ft,5,5
16,1,9:09.0,,Offensive rebound by J. Noah,5,5
17,1,9:06.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,5,5
18,1,9:04.0,Defensive rebound by Team,,5,5
19,1,8:51.0,C. Parsons makes 2-pt jump shot from 4 ft,,7,5
20,1,8:44.0,,D. Rose misses 2-pt jump shot from 4 ft,7,5
21,1,8:43.0,,Offensive rebound by J. Noah,7,5
22,1,8:40.0,,P. Gasol misses 2-pt jump shot from 19 ft,7,5
23,1,8:40.0,,Offensive rebound by Team,7,5
24,1,8:40.0,Loose ball foul by D. Nowitzki (drawn by J. Noah),,7,5
25,1,8:33.0,,Turnover by J. Butler (lost ball; steal by T. Chandler),7,5
26,1,8:28.0,M. Ellis misses 2-pt layup from 2 ft,,7,5
27,1,8:26.0,Offensive rebound by J. Nelson,,7,5
28,1,8:26.0,M. Ellis misses 2-pt layup from 2 ft,,7,5
29,1,8:24.0,Offensive rebound by J. Nelson,,7,5
30,1,8:17.0,C. Parsons misses 2-pt tip-in from 6 ft,,7,5
31,1,8:16.0,,Defensive rebound by J. Noah,7,5
32,1,8:11.0,,P. Gasol makes 2-pt layup from 1 ft (assist by J. Noah),7,7
33,1,7:55.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,7,7
34,1,7:55.0,Offensive rebound by Team,,7,7
35,1,7:55.0,,Loose ball foul by J. Butler (drawn by D. Nowitzki),7,7
36,1,7:50.0,M. Ellis misses 2-pt jump shot from 18 ft,,7,7
37,1,7:49.0,,Defensive rebound by D. Rose,7,7
