,QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
0,1,11:34.0,,V. Oladipo misses 2-pt layup from 2 ft,0,0
1,1,11:32.0,,Offensive rebound by N. Vučević,0,0
2,1,11:28.0,,V. Oladipo makes 2-pt layup at rim,0,2
3,1,11:28.0,,Shooting foul by L. Deng (drawn by V. Oladipo),0,2
4,1,11:28.0,,V. Oladipo misses free throw 1 of 1,0,2
5,1,11:26.0,Defensive rebound by L. Deng,,0,2
6,1,11:07.0,M. Chalmers makes 3-pt jump shot from 26 ft (assist by S. Williams),,3,2
7,1,10:45.0,,V. Oladipo misses 3-pt jump shot from 25 ft,3,2
8,1,10:44.0,Defensive rebound by C. Bosh,,3,2
9,1,10:33.0,L. Deng misses 2-pt layup from 1 ft,,3,2
10,1,10:32.0,,Defensive rebound by E. Fournier,3,2
11,1,10:27.0,,E. Fournier misses 2-pt layup at rim (block by S. Williams),3,2
12,1,10:24.0,Defensive rebound by C. Bosh,,3,2
13,1,10:07.0,M. Chalmers misses 2-pt layup from 2 ft,,3,2
14,1,10:05.0,,Defensive rebound by N. Vučević,3,2
15,1,9:55.0,,W. Green misses 2-pt layup from 2 ft,3,2
16,1,9:53.0,Defensive rebound by C. Bosh,,3,2
17,1,9:41.0,C. Bosh misses 2-pt jump shot from 16 ft,,3,2
18,1,9:40.0,,Defensive rebound by C. Frye,3,2
19,1,9:21.0,,N. Vučević makes 2-pt jump shot from 5 ft,3,4
20,1,9:00.0,S. Williams makes 3-pt jump shot from 25 ft (assist by M. Chalmers),,6,4
21,1,8:42.0,,W. Green misses 3-pt jump shot from 24 ft,6,4
22,1,8:40.0,Defensive rebound by M. Chalmers,,6,4
23,1,8:34.0,L. Deng makes 2-pt jump shot from 20 ft (assist by S. Brown),,8,4
24,1,8:14.0,,C. Frye makes 3-pt jump shot from 23 ft (assist by E. Fournier),8,7
25,1,7:55.0,C. Bosh misses 2-pt jump shot from 9 ft,,8,7
26,1,7:53.0,,Defensive rebound by E. Fournier,8,7
27,1,7:43.0,,Shooting foul by S. Brown (drawn by N. Vučević),8,7
28,1,7:43.0,,N. Vučević misses free throw 1 of 2,8,7
29,1,7:43.0,,Offensive rebound by Team,8,7
30,1,7:43.0,,N. Vučević makes free throw 2 of 2,8,8
31,1,7:31.0,Turnover by C. Bosh (bad pass; steal by V. Oladipo),,8,8
32,1,7:28.0,,V. Oladipo makes 2-pt dunk at rim,8,10
33,1,7:17.0,S. Williams makes 3-pt jump shot from 26 ft,,11,10
34,1,7:02.0,,Personal foul by L. Deng (drawn by N. Vučević),11,10
35,1,7:02.0,S. Napier enters the game for M. Chalmers,,11,10
36,1,6:51.0,,N. Vučević misses 2-pt jump shot from 13 ft,11,10
37,1,6:49.0,Defensive rebound by C. Bosh,,11,10
38,1,6:37.0,C. Bosh makes 2-pt jump shot from 15 ft (assist by S. Williams),,13,10
39,1,6:27.0,,Turnover by C. Frye (bad pass; steal by S. Napier),13,10
40,1,6:19.0,C. Bosh makes 3-pt jump shot from 25 ft (assist by S. Napier),,16,10
41,1,6:10.0,,Orlando full timeout,16,10
42,1,5:50.0,,E. Fournier misses 2-pt jump shot from 19 ft,16,10
43,1,5:48.0,,Offensive rebound by N. Vučević,16,10
44,1,5:46.0,,C. Frye misses 3-pt jump shot from 23 ft,16,10
45,1,5:43.0,,Offensive rebound by W. Green,16,10
46,1,5:31.0,,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),16,12
47,1,5:12.0,C. Bosh makes 2-pt jump shot from 13 ft,,18,12
48,1,4:56.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Fournier),18,14
49,1,4:43.0,Turnover by C. Bosh (bad pass; steal by V. Oladipo),,18,14
50,1,4:39.0,,V. Oladipo makes 2-pt layup from 1 ft,18,16
51,1,4:30.0,Miami full timeout,,18,16
52,1,4:30.0,,M. Harkless enters the game for C. Frye,18,16
53,1,4:16.0,S. Williams misses 3-pt jump shot from 26 ft,,18,16
54,1,4:14.0,,Defensive rebound by V. Oladipo,18,16
55,1,3:54.0,,E. Fournier misses 3-pt jump shot from 26 ft,18,16
56,1,3:52.0,Defensive rebound by C. Bosh,,18,16
57,1,3:38.0,L. Deng misses 2-pt layup from 1 ft,,18,16
58,1,3:36.0,,Defensive rebound by E. Fournier,18,16
59,1,3:25.0,,N. Vučević misses 2-pt jump shot from 15 ft,18,16
60,1,3:24.0,Defensive rebound by S. Williams,,18,16
61,1,3:12.0,Turnover by L. Deng (bad pass),,18,16
62,1,3:12.0,,C. Frye enters the game for N. Vučević,18,16
63,1,3:12.0,C. Andersen enters the game for L. Deng,,18,16
64,1,3:12.0,M. Chalmers enters the game for C. Bosh,,18,16
65,1,2:59.0,,V. Oladipo misses 2-pt dunk at rim (block by C. Andersen),18,16
66,1,2:55.0,Defensive rebound by M. Chalmers,,18,16
67,1,2:45.0,S. Napier misses 3-pt jump shot from 26 ft,,18,16
68,1,2:45.0,Offensive rebound by Team,,18,16
69,1,2:45.0,,Loose ball foul by W. Green (drawn by C. Andersen),18,16
70,1,2:45.0,J. Ennis enters the game for S. Brown,,18,16
71,1,2:45.0,,E. Payton enters the game for W. Green,18,16
72,1,2:23.0,Shooting foul by E. Payton (drawn by S. Napier),,18,16
73,1,2:23.0,S. Napier makes free throw 1 of 2,,19,16
74,1,2:23.0,J. McRoberts enters the game for S. Williams,,19,16
75,1,2:23.0,,B. Gordon enters the game for E. Fournier,19,16
76,1,2:23.0,S. Napier makes free throw 2 of 2,,20,16
77,1,2:04.0,,M. Harkless makes 2-pt dunk at rim (assist by E. Payton),20,18
78,1,1:39.0,M. Chalmers makes 2-pt layup from 1 ft,,22,18
79,1,1:29.0,,Turnover by B. Gordon (lost ball),22,18
80,1,1:29.0,,D. Dedmon enters the game for V. Oladipo,22,18
81,1,1:09.0,J. McRoberts misses 3-pt jump shot from 27 ft,,22,18
82,1,1:06.0,Offensive rebound by J. Ennis,,22,18
83,1,0:58.0,S. Napier misses 3-pt jump shot from 23 ft,,22,18
84,1,0:58.0,Offensive rebound by Team,,22,18
85,1,0:58.0,,Loose ball foul by C. Frye (drawn by C. Andersen),22,18
86,1,0:39.0,Turnover by J. McRoberts (bad pass),,22,18
87,1,0:25.0,,Orlando full timeout,22,18
88,1,0:19.0,,B. Gordon misses 2-pt jump shot from 5 ft,22,18
89,1,0:17.0,,Offensive rebound by D. Dedmon,22,18
90,1,0:17.0,,D. Dedmon misses 2-pt dunk at rim,22,18
91,1,0:14.0,Defensive rebound by C. Andersen,,22,18
92,2,11:45.0,J. McRoberts misses 2-pt layup at rim (block by D. Dedmon),,22,18
93,2,11:42.0,,Defensive rebound by C. Frye,22,18
94,2,11:37.0,,C. Frye makes 2-pt jump shot from 22 ft (assist by E. Payton),22,20
95,2,11:22.0,Turnover by J. Ennis (bad pass),,22,20
96,2,11:22.0,Loose ball foul by J. McRoberts (drawn by B. Gordon),,22,20
97,2,11:07.0,,Shooting foul by J. Ennis (drawn by B. Gordon),22,20
98,2,11:07.0,,B. Gordon misses free throw 1 of 2,22,20
99,2,11:07.0,,Offensive rebound by Team,22,20
100,2,11:07.0,,B. Gordon makes free throw 2 of 2,22,21
101,2,10:54.0,S. Napier makes 3-pt jump shot from 26 ft (assist by J. McRoberts),,25,21
102,2,10:43.0,,E. Payton misses 2-pt layup from 1 ft,25,21
103,2,10:42.0,,Offensive rebound by D. Dedmon,25,21
104,2,10:42.0,,D. Dedmon misses 2-pt tip-in at rim,25,21
105,2,10:42.0,,Offensive rebound by D. Dedmon,25,21
106,2,10:42.0,,D. Dedmon makes 2-pt layup at rim,25,23
107,2,10:42.0,,Shooting foul by S. Napier (drawn by D. Dedmon),25,23
108,2,10:42.0,,D. Dedmon makes free throw 1 of 1,25,24
109,2,10:26.0,M. Chalmers misses 2-pt jump shot from 6 ft,,25,24
110,2,10:24.0,,Defensive rebound by E. Payton,25,24
111,2,10:08.0,,E. Payton makes 2-pt layup at rim (assist by C. Frye),25,26
112,2,9:53.0,Shooting block foul by D. Dedmon (drawn by C. Andersen),,25,26
113,2,9:53.0,C. Andersen makes free throw 1 of 2,,26,26
114,2,9:53.0,C. Andersen makes free throw 2 of 2,,27,26
115,2,9:39.0,,D. Dedmon makes 2-pt hook shot from 3 ft (assist by B. Gordon),27,28
116,2,9:22.0,M. Chalmers misses 3-pt jump shot from 22 ft,,27,28
117,2,9:21.0,,Defensive rebound by D. Dedmon,27,28
118,2,9:14.0,,Shooting foul by S. Napier (drawn by E. Payton),27,28
119,2,9:14.0,,E. Payton misses free throw 1 of 2,27,28
120,2,9:14.0,,Offensive rebound by Team,27,28
121,2,9:14.0,,E. Payton makes free throw 2 of 2,27,29
122,2,9:09.0,Personal foul by E. Payton (drawn by S. Napier),,27,29
123,2,9:09.0,S. Brown enters the game for S. Napier,,27,29
124,2,9:09.0,,N. Vučević enters the game for C. Frye,27,29
125,2,9:09.0,,E. Fournier enters the game for M. Harkless,27,29
126,2,9:09.0,C. Bosh enters the game for J. McRoberts,,27,29
127,2,8:52.0,C. Bosh makes 2-pt jump shot from 14 ft,,29,29
128,2,8:38.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),29,31
129,2,8:21.0,C. Bosh makes 3-pt jump shot from 25 ft (assist by M. Chalmers),,32,31
130,2,8:06.0,,Turnover by D. Dedmon (offensive goaltending),32,31
131,2,8:06.0,Official timeout,,32,31
132,2,8:06.0,,V. Oladipo enters the game for E. Payton,32,31
133,2,7:48.0,L. Deng enters the game for J. Ennis,,32,31
134,2,7:48.0,Turnover by C. Andersen (lost ball; steal by B. Gordon),,32,31
135,2,7:27.0,S. Williams enters the game for C. Andersen,,32,31
136,2,7:24.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by V. Oladipo),32,33
137,2,7:05.0,S. Williams makes 2-pt jump shot from 19 ft,,34,33
138,2,6:52.0,,Turnover by B. Gordon (lost ball; steal by S. Williams),34,33
139,2,6:47.0,Shooting foul by E. Fournier (drawn by S. Williams),,34,33
140,2,6:47.0,S. Williams makes free throw 1 of 2,,35,33
141,2,6:47.0,S. Napier enters the game for M. Chalmers,,35,33
142,2,6:47.0,,M. Harkless enters the game for D. Dedmon,35,33
143,2,6:47.0,S. Williams makes free throw 2 of 2,,36,33
144,2,6:25.0,,B. Gordon makes 2-pt jump shot from 3 ft (assist by E. Fournier),36,35
145,2,6:09.0,S. Brown misses 2-pt jump shot from 17 ft,,36,35
146,2,6:08.0,,Defensive rebound by N. Vučević,36,35
147,2,6:02.0,,E. Fournier makes 2-pt layup from 1 ft,36,37
148,2,6:01.0,Miami full timeout,,36,37
149,2,5:45.0,Turnover by S. Williams (bad pass),,36,37
150,2,5:45.0,,W. Green enters the game for B. Gordon,36,37
151,2,5:26.0,,W. Green misses 3-pt jump shot from 27 ft,36,37
152,2,5:25.0,,Offensive rebound by M. Harkless,36,37
153,2,5:23.0,,M. Harkless misses 2-pt layup from 1 ft,36,37
154,2,5:21.0,Defensive rebound by S. Williams,,36,37
155,2,5:13.0,Personal foul by W. Green (drawn by S. Napier),,36,37
