,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:47.0,,C. Paul misses 2-pt jump shot from 19 ft,0,0
1,1,11:46.0,Defensive rebound by M. Gasol,,0,0
2,1,11:29.0,J. Green makes 2-pt layup from 1 ft (assist by M. Gasol),,2,0
3,1,11:22.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),2,3
4,1,11:00.0,C. Lee makes 2-pt hook shot from 5 ft (assist by B. Udrih),,4,3
5,1,10:40.0,,B. Griffin misses 2-pt hook shot from 5 ft,4,3
6,1,10:38.0,Defensive rebound by B. Udrih,,4,3
7,1,10:27.0,B. Udrih makes 2-pt jump shot from 10 ft (assist by J. Green),,6,3
8,1,10:09.0,,Turnover by B. Griffin (bad pass; steal by M. Gasol),6,3
9,1,10:04.0,,Violation by B. Griffin (def goaltending),6,3
10,1,10:04.0,B. Udrih makes 2-pt layup at rim (assist by C. Lee),,8,3
11,1,9:54.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),8,5
12,1,9:33.0,Turnover by J. Green (bad pass; steal by C. Paul),,8,5
13,1,9:30.0,,Turnover by C. Paul (traveling),8,5
14,1,9:20.0,Turnover by B. Udrih (bad pass; steal by D. Jordan),,8,5
15,1,9:14.0,,J. Redick makes 2-pt layup at rim (assist by C. Paul),8,7
16,1,8:53.0,Z. Randolph makes 2-pt jump shot from 16 ft,,10,7
17,1,8:38.0,,D. Jordan misses 2-pt layup from 1 ft (block by J. Green),10,7
18,1,8:36.0,Defensive rebound by M. Gasol,,10,7
19,1,8:32.0,B. Udrih makes 2-pt layup at rim,,12,7
20,1,8:29.0,,Turnover by M. Barnes (bad pass; steal by Z. Randolph),12,7
21,1,8:22.0,M. Gasol misses 2-pt jump shot from 14 ft,,12,7
22,1,8:20.0,,Defensive rebound by D. Jordan,12,7
23,1,8:16.0,,M. Barnes makes 2-pt layup from 1 ft (assist by C. Paul),12,9
24,1,8:00.0,M. Gasol makes 2-pt dunk at rim (assist by C. Lee),,14,9
25,1,7:48.0,,B. Griffin makes 2-pt jump shot from 15 ft (assist by C. Paul),14,11
26,1,7:35.0,Turnover by B. Udrih (bad pass; steal by B. Griffin),,14,11
27,1,7:20.0,,B. Griffin misses 2-pt jump shot from 15 ft,14,11
28,1,7:20.0,,Offensive rebound by Team,14,11
29,1,7:20.0,Loose ball foul by Z. Randolph (drawn by D. Jordan),,14,11
30,1,7:13.0,,J. Redick misses 3-pt jump shot from 25 ft,14,11
31,1,7:11.0,Defensive rebound by B. Udrih,,14,11
32,1,7:06.0,C. Lee misses 2-pt layup from 2 ft (block by D. Jordan),,14,11
33,1,7:03.0,,Defensive rebound by D. Jordan,14,11
34,1,6:57.0,,C. Paul makes 2-pt jump shot from 16 ft (assist by B. Griffin),14,13
35,1,6:37.0,Z. Randolph misses 2-pt jump shot from 17 ft,,14,13
36,1,6:34.0,,Defensive rebound by C. Paul,14,13
37,1,6:19.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),14,15
38,1,6:05.0,Z. Randolph misses 2-pt jump shot from 18 ft,,14,15
39,1,6:04.0,,Defensive rebound by D. Jordan,14,15
40,1,5:54.0,,C. Paul misses 3-pt jump shot from 24 ft,14,15
41,1,5:52.0,Defensive rebound by Z. Randolph,,14,15
42,1,5:41.0,J. Green misses 3-pt jump shot from 22 ft,,14,15
43,1,5:40.0,,Defensive rebound by D. Jordan,14,15
44,1,5:35.0,,M. Barnes makes 2-pt layup from 1 ft (assist by C. Paul),14,17
45,1,5:28.0,Memphis full timeout,,14,17
46,1,5:28.0,V. Carter enters the game for J. Green,,14,17
47,1,5:16.0,Z. Randolph makes 2-pt layup from 2 ft (assist by M. Gasol),,16,17
48,1,4:56.0,,B. Griffin makes 2-pt layup from 2 ft,16,19
49,1,4:41.0,M. Gasol misses 2-pt hook shot from 7 ft,,16,19
50,1,4:40.0,,Defensive rebound by D. Jordan,16,19
51,1,4:36.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),16,21
52,1,4:12.0,B. Udrih makes 2-pt layup from 2 ft (assist by V. Carter),,18,21
53,1,3:57.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),18,23
54,1,3:36.0,Personal foul by M. Barnes (drawn by M. Gasol),,18,23
55,1,3:24.0,C. Lee misses 2-pt jump shot from 18 ft,,18,23
56,1,3:23.0,,Defensive rebound by M. Barnes,18,23
57,1,3:23.0,,Personal foul by Z. Randolph (drawn by M. Barnes),18,23
58,1,3:06.0,,B. Griffin misses 2-pt hook shot from 2 ft (block by M. Gasol),18,23
59,1,3:03.0,Defensive rebound by C. Lee,,18,23
60,1,2:56.0,Def 3 sec tech foul by D. Jordan,,18,23
61,1,2:56.0,,LA Clippers full timeout,18,23
62,1,2:56.0,K. Koufos enters the game for Z. Randolph,,18,23
63,1,2:56.0,N. Calathes enters the game for B. Udrih,,18,23
64,1,2:56.0,,J. Crawford enters the game for M. Barnes,18,23
65,1,2:56.0,C. Lee makes technical free throw,,19,23
66,1,2:40.0,K. Koufos misses 2-pt hook shot from 11 ft,,19,23
67,1,2:39.0,Offensive rebound by V. Carter,,19,23
68,1,2:38.0,V. Carter misses 2-pt layup from 3 ft (block by J. Crawford),,19,23
69,1,2:38.0,,Defensive rebound by Team,19,23
70,1,2:16.0,,J. Redick misses 3-pt jump shot from 24 ft,19,23
71,1,2:15.0,Defensive rebound by N. Calathes,,19,23
72,1,2:10.0,Memphis full timeout,,19,23
73,1,2:10.0,J. Green enters the game for M. Gasol,,19,23
74,1,2:10.0,,G. Davis enters the game for D. Jordan,19,23
75,1,2:10.0,,A. Rivers enters the game for J. Redick,19,23
76,1,2:09.0,Turnover by N. Calathes (bad pass; steal by B. Griffin),,19,23
77,1,1:57.0,,G. Davis misses 2-pt layup from 1 ft,19,23
78,1,1:56.0,Defensive rebound by K. Koufos,,19,23
79,1,1:47.0,Personal foul by C. Paul (drawn by J. Green),,19,23
80,1,1:47.0,J. Adams enters the game for C. Lee,,19,23
81,1,1:41.0,K. Koufos misses 2-pt jump shot from 3 ft,,19,23
82,1,1:40.0,,Defensive rebound by G. Davis,19,23
83,1,1:32.0,,J. Crawford misses 2-pt jump shot from 21 ft,19,23
84,1,1:31.0,Defensive rebound by K. Koufos,,19,23
85,1,1:26.0,N. Calathes makes 2-pt jump shot from 10 ft,,21,23
86,1,1:26.0,Shooting foul by A. Rivers (drawn by N. Calathes),,21,23
87,1,1:26.0,,H. Türkoğlu enters the game for C. Paul,21,23
88,1,1:26.0,N. Calathes misses free throw 1 of 1,,21,23
89,1,1:25.0,,Defensive rebound by H. Türkoğlu,21,23
90,1,1:01.0,,A. Rivers makes 2-pt jump shot from 5 ft (assist by J. Crawford),21,25
91,1,0:47.0,Turnover by J. Green (traveling),,21,25
92,1,0:35.0,,Def 3 sec tech foul by V. Carter,21,25
93,1,0:35.0,,J. Crawford makes technical free throw,21,26
94,1,0:28.0,,J. Crawford misses 3-pt jump shot from 24 ft,21,26
95,1,0:25.0,Defensive rebound by K. Koufos,,21,26
96,1,0:04.0,J. Green misses 3-pt jump shot from 24 ft,,21,26
97,1,0:03.0,,Defensive rebound by G. Davis,21,26
98,1,0:01.0,,G. Davis misses 3-pt jump shot from 69 ft,21,26
99,1,0:00.0,,Offensive rebound by Team,21,26
100,2,11:38.0,Shooting foul by J. Crawford (drawn by J. Green),,21,26
101,2,11:38.0,J. Green makes free throw 1 of 2,,22,26
102,2,11:38.0,J. Green misses free throw 2 of 2,,22,26
103,2,11:37.0,,Defensive rebound by M. Barnes,22,26
104,2,11:26.0,,J. Crawford makes 2-pt jump shot from 5 ft,22,28
105,2,11:10.0,K. Koufos makes 2-pt dunk at rim (assist by V. Carter),,24,28
106,2,10:57.0,,Shooting foul by J. Adams (drawn by J. Crawford),24,28
107,2,10:57.0,,J. Crawford makes free throw 1 of 2,24,29
108,2,10:57.0,,J. Crawford makes free throw 2 of 2,24,30
109,2,10:37.0,N. Calathes misses 2-pt layup from 2 ft,,24,30
