,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
0,1,11:44.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by N. Batum),,2,0
1,1,11:24.0,,C. Anthony misses 3-pt jump shot from 24 ft,2,0
2,1,11:23.0,Defensive rebound by L. Aldridge,,2,0
3,1,11:06.0,L. Aldridge makes 2-pt jump shot from 20 ft,,4,0
4,1,10:58.0,,I. Shumpert misses 2-pt jump shot from 20 ft,4,0
5,1,10:57.0,Defensive rebound by N. Batum,,4,0
6,1,10:43.0,Turnover by W. Matthews (lost ball; steal by I. Shumpert),,4,0
7,1,10:36.0,,I. Shumpert makes 2-pt layup from 1 ft,4,2
8,1,10:16.0,R. Lopez misses 2-pt layup from 2 ft,,4,2
9,1,10:15.0,Offensive rebound by L. Aldridge,,4,2
10,1,10:10.0,L. Aldridge misses 2-pt jump shot from 11 ft,,4,2
11,1,10:09.0,,Defensive rebound by C. Anthony,4,2
12,1,9:56.0,,I. Shumpert misses 2-pt jump shot from 8 ft,4,2
13,1,9:55.0,Defensive rebound by D. Lillard,,4,2
14,1,9:43.0,D. Lillard misses 3-pt jump shot from 26 ft,,4,2
15,1,9:42.0,,Defensive rebound by A. Stoudemire,4,2
16,1,9:28.0,,J. Calderón misses 3-pt jump shot from 25 ft,4,2
17,1,9:27.0,Defensive rebound by L. Aldridge,,4,2
18,1,9:18.0,W. Matthews misses 2-pt jump shot from 18 ft,,4,2
19,1,9:17.0,,Defensive rebound by C. Anthony,4,2
20,1,9:02.0,,A. Stoudemire makes 2-pt hook shot from 3 ft,4,4
21,1,8:41.0,R. Lopez makes 2-pt jump shot from 15 ft (assist by W. Matthews),,6,4
22,1,8:13.0,,Turnover by A. Stoudemire (bad pass),6,4
23,1,7:49.0,Turnover by Team (shot clock),,6,4
24,1,7:34.0,,J. Calderón misses 2-pt jump shot from 19 ft,6,4
25,1,7:33.0,Defensive rebound by L. Aldridge,,6,4
