,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by B. Knight,0,0
2,1,11:18.0,,L. Sanders misses 2-pt hook shot from 3 ft,0,0
3,1,11:17.0,,Offensive rebound by J. Parker,0,0
4,1,11:09.0,,G. Antetokounmpo misses 2-pt layup at rim,0,0
5,1,11:07.0,,Offensive rebound by G. Antetokounmpo,0,0
6,1,11:04.0,,G. Antetokounmpo misses 2-pt hook shot from 2 ft,0,0
7,1,11:03.0,,Offensive rebound by J. Parker,0,0
8,1,11:03.0,,J. Parker makes 2-pt layup at rim,0,2
9,1,10:37.0,D. Augustin misses 2-pt jump shot from 13 ft,,0,2
10,1,10:37.0,,Defensive rebound by Team,0,2
11,1,10:18.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,0,2
12,1,10:16.0,Defensive rebound by A. Drummond,,0,2
13,1,10:06.0,G. Monroe misses 2-pt hook shot from 5 ft,,0,2
14,1,10:05.0,,Defensive rebound by L. Sanders,0,2
15,1,9:59.0,,J. Parker makes 2-pt layup from 2 ft (assist by B. Knight),0,4
16,1,9:47.0,J. Smith misses 2-pt hook shot from 2 ft,,0,4
17,1,9:46.0,Offensive rebound by J. Smith,,0,4
18,1,9:45.0,J. Smith makes 2-pt layup at rim,,2,4
19,1,9:30.0,,G. Antetokounmpo misses 2-pt layup at rim,2,4
20,1,9:28.0,Defensive rebound by A. Drummond,,2,4
21,1,9:20.0,Personal foul by J. Parker (drawn by G. Monroe),,2,4
22,1,9:13.0,Turnover by A. Drummond (3 sec),,2,4
23,1,9:02.0,,J. Parker misses 2-pt layup from 1 ft,2,4
24,1,9:00.0,,Offensive rebound by L. Sanders,2,4
25,1,9:00.0,,L. Sanders makes 2-pt tip-in at rim,2,6
26,1,8:42.0,G. Monroe makes 2-pt layup at rim,,4,6
