,QUARTER,TIME_REMAINING,DETROIT_ACTION,GOLDEN STATE_ACTION,DETROIT_SCORE,GOLDEN STATE_SCORE
0,1,11:36.0,G. Monroe makes 2-pt hook shot from 7 ft (assist by R. Jackson),,2,0
1,1,11:22.0,,Turnover by H. Barnes (lost ball),2,0
2,1,11:08.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft,,4,0
3,1,10:51.0,,A. Bogut makes 2-pt hook shot from 9 ft,4,2
4,1,10:24.0,G. Monroe makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),,6,2
5,1,10:05.0,,D. Green misses 2-pt layup from 2 ft (block by A. Drummond),6,2
6,1,10:03.0,,Offensive rebound by A. Bogut,6,2
7,1,10:03.0,,A. Bogut makes 2-pt layup from 1 ft,6,4
8,1,9:42.0,G. Monroe makes 2-pt layup at rim,,8,4
9,1,9:33.0,,S. Curry misses 3-pt jump shot from 26 ft,8,4
10,1,9:31.0,Defensive rebound by C. Butler,,8,4
11,1,9:18.0,R. Jackson misses 2-pt jump shot from 8 ft,,8,4
12,1,9:17.0,,Defensive rebound by S. Curry,8,4
13,1,9:12.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),8,7
14,1,9:03.0,Shooting foul by A. Bogut (drawn by A. Drummond),,8,7
15,1,9:03.0,A. Drummond misses free throw 1 of 2,,8,7
16,1,9:03.0,Offensive rebound by Team,,8,7
17,1,9:03.0,A. Drummond misses free throw 2 of 2,,8,7
18,1,9:01.0,,Defensive rebound by D. Green,8,7
19,1,8:56.0,,Turnover by H. Barnes (lost ball; steal by A. Drummond),8,7
20,1,8:49.0,G. Monroe misses 2-pt layup from 2 ft,,8,7
21,1,8:48.0,Offensive rebound by A. Drummond,,8,7
22,1,8:48.0,A. Drummond misses 2-pt layup from 1 ft,,8,7
23,1,8:47.0,Offensive rebound by A. Drummond,,8,7
24,1,8:47.0,A. Drummond misses 2-pt tip-in from 1 ft,,8,7
25,1,8:46.0,,Defensive rebound by D. Green,8,7
26,1,8:39.0,,K. Thompson misses 2-pt jump shot from 14 ft,8,7
27,1,8:38.0,Defensive rebound by R. Jackson,,8,7
28,1,8:27.0,C. Butler misses 2-pt jump shot from 18 ft,,8,7
29,1,8:26.0,,Defensive rebound by A. Bogut,8,7
30,1,8:16.0,,D. Green makes 2-pt jump shot from 18 ft (assist by K. Thompson),8,9
31,1,7:48.0,G. Monroe misses 2-pt jump shot from 7 ft,,8,9
32,1,7:48.0,,Defensive rebound by Team,8,9
33,1,7:48.0,Loose ball foul by A. Drummond (drawn by K. Thompson),,8,9
34,1,7:39.0,,Turnover by K. Thompson (traveling),8,9
35,1,7:25.0,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,8,9
36,1,7:24.0,,Defensive rebound by Team,8,9
37,1,7:13.0,,S. Curry makes 3-pt jump shot from 26 ft,8,12
38,1,6:53.0,A. Drummond misses 2-pt jump shot from 5 ft,,8,12
39,1,6:52.0,,Defensive rebound by D. Green,8,12
40,1,6:44.0,,D. Green makes 2-pt layup at rim,8,14
41,1,6:39.0,Detroit full timeout,,8,14
42,1,6:39.0,T. Prince enters the game for A. Drummond,,8,14
43,1,6:34.0,G. Monroe misses 2-pt layup from 2 ft,,8,14
44,1,6:33.0,,Defensive rebound by H. Barnes,8,14
45,1,6:18.0,,A. Bogut misses 2-pt layup from 2 ft (block by G. Monroe),8,14
46,1,6:17.0,Defensive rebound by G. Monroe,,8,14
47,1,6:06.0,C. Butler makes 2-pt jump shot from 11 ft,,10,14
48,1,5:56.0,,S. Curry makes 2-pt jump shot from 20 ft,10,16
49,1,5:31.0,R. Jackson makes 2-pt jump shot from 13 ft,,12,16
50,1,5:19.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),12,18
51,1,4:55.0,R. Jackson misses 2-pt jump shot from 7 ft (block by A. Bogut),,12,18
52,1,4:53.0,,Defensive rebound by A. Bogut,12,18
53,1,4:44.0,,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),12,20
54,1,4:31.0,R. Jackson makes 2-pt layup from 1 ft,,14,20
55,1,4:20.0,,S. Curry misses 3-pt jump shot from 25 ft,14,20
56,1,4:19.0,,Offensive rebound by H. Barnes,14,20
57,1,4:13.0,,A. Bogut makes 2-pt layup from 1 ft (assist by K. Thompson),14,22
58,1,4:00.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,14,22
59,1,3:59.0,,Defensive rebound by H. Barnes,14,22
60,1,3:48.0,,K. Thompson misses 3-pt jump shot from 28 ft,14,22
61,1,3:47.0,Defensive rebound by G. Monroe,,14,22
62,1,3:39.0,Offensive foul by R. Jackson (drawn by S. Curry),,14,22
63,1,3:39.0,Turnover by R. Jackson (offensive foul),,14,22
64,1,3:39.0,,A. Iguodala enters the game for H. Barnes,14,22
65,1,3:39.0,,M. Speights enters the game for A. Bogut,14,22
66,1,3:39.0,C. Martin enters the game for C. Butler,,14,22
67,1,3:39.0,J. Meeks enters the game for K. Caldwell-Pope,,14,22
68,1,3:21.0,,S. Curry misses 2-pt jump shot from 14 ft,14,22
69,1,3:20.0,Defensive rebound by J. Meeks,,14,22
70,1,3:13.0,C. Martin misses 3-pt jump shot from 25 ft,,14,22
71,1,3:12.0,,Defensive rebound by M. Speights,14,22
72,1,3:04.0,,K. Thompson misses 3-pt jump shot from 25 ft,14,22
73,1,3:03.0,Defensive rebound by G. Monroe,,14,22
74,1,2:41.0,G. Monroe misses 2-pt layup at rim,,14,22
75,1,2:40.0,Offensive rebound by T. Prince,,14,22
76,1,2:40.0,T. Prince makes 2-pt tip-in at rim,,16,22
77,1,2:40.0,,Golden State full timeout,16,22
78,1,2:40.0,S. Dinwiddie enters the game for G. Monroe,,16,22
79,1,2:40.0,A. Drummond enters the game for R. Jackson,,16,22
80,1,2:40.0,,L. Barbosa enters the game for K. Thompson,16,22
81,1,2:23.0,,M. Speights makes 2-pt jump shot from 8 ft (assist by S. Curry),16,24
82,1,2:08.0,T. Prince misses 2-pt jump shot from 18 ft,,16,24
83,1,2:07.0,,Defensive rebound by L. Barbosa,16,24
84,1,2:01.0,,Shooting foul by J. Meeks (drawn by D. Green),16,24
85,1,2:01.0,,D. Green makes free throw 1 of 2,16,25
86,1,2:01.0,,D. Green makes free throw 2 of 2,16,26
87,1,1:50.0,J. Meeks makes 2-pt jump shot from 17 ft (assist by S. Dinwiddie),,18,26
88,1,1:30.0,,D. Green misses 3-pt jump shot from 25 ft,18,26
89,1,1:29.0,Defensive rebound by T. Prince,,18,26
90,1,1:20.0,A. Drummond misses 2-pt layup from 2 ft,,18,26
91,1,1:18.0,,Defensive rebound by A. Iguodala,18,26
92,1,1:12.0,,S. Curry misses 3-pt jump shot from 26 ft,18,26
93,1,1:12.0,Defensive rebound by A. Drummond,,18,26
94,1,1:00.0,A. Drummond misses 2-pt jump shot from 1 ft,,18,26
95,1,0:59.0,Offensive rebound by A. Drummond,,18,26
96,1,0:59.0,A. Drummond makes 2-pt layup from 1 ft,,20,26
97,1,0:51.0,,M. Speights makes 2-pt jump shot from 15 ft (assist by S. Curry),20,28
98,1,0:42.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,23,28
99,1,0:32.0,,S. Curry misses 2-pt jump shot from 4 ft (block by A. Drummond),23,28
100,1,0:30.0,Defensive rebound by C. Martin,,23,28
101,1,0:25.0,Shooting foul by D. Green (drawn by T. Prince),,23,28
102,1,0:25.0,T. Prince makes free throw 1 of 2,,24,28
