,QUARTER,TIME_REMAINING,NEW YORK_ACTION,UTAH_ACTION,NEW YORK_SCORE,UTAH_SCORE
0,1,11:36.0,,D. Favors makes 2-pt layup from 1 ft,0,2
1,1,11:21.0,L. Amundson makes 2-pt jump shot from 6 ft (assist by A. Shved),,2,2
2,1,10:54.0,,R. Gobert makes 2-pt hook shot from 4 ft (assist by E. Millsap),2,4
3,1,10:40.0,A. Bargnani makes 2-pt jump shot from 18 ft (assist by A. Shved),,4,4
4,1,10:27.0,,T. Burke misses 2-pt jump shot from 19 ft,4,4
5,1,10:26.0,Defensive rebound by A. Shved,,4,4
6,1,10:17.0,A. Bargnani makes 2-pt jump shot from 20 ft (assist by A. Shved),,6,4
7,1,10:15.0,,Utah full timeout,6,4
8,1,10:00.0,,R. Gobert misses 2-pt layup from 3 ft (block by L. Amundson),6,4
9,1,9:57.0,,Offensive rebound by R. Gobert,6,4
10,1,9:54.0,,T. Burke misses 3-pt jump shot from 23 ft,6,4
11,1,9:53.0,Defensive rebound by A. Shved,,6,4
12,1,9:34.0,A. Bargnani misses 2-pt layup from 2 ft,,6,4
13,1,9:32.0,,Defensive rebound by D. Exum,6,4
14,1,9:22.0,,Personal foul by L. Galloway,6,4
15,1,9:12.0,,D. Favors makes 2-pt layup from 1 ft (assist by T. Burke),6,6
16,1,8:52.0,L. Galloway misses 3-pt jump shot from 25 ft,,6,6
17,1,8:51.0,,Defensive rebound by R. Gobert,6,6
18,1,8:43.0,,Personal foul by L. Amundson (drawn by D. Exum),6,6
19,1,8:30.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),6,8
20,1,8:07.0,A. Shved misses 2-pt jump shot from 11 ft,,6,8
21,1,8:06.0,,Defensive rebound by R. Gobert,6,8
22,1,8:02.0,Offensive charge foul by E. Millsap (drawn by L. Galloway),,6,8
23,1,8:02.0,,Turnover by E. Millsap (offensive foul),6,8
24,1,7:48.0,A. Bargnani makes 2-pt jump shot from 20 ft (assist by L. Galloway),,8,8
25,1,7:34.0,,Turnover by E. Millsap (bad pass),8,8
26,1,7:26.0,L. Galloway makes 2-pt layup from 2 ft,,10,8
27,1,7:17.0,,T. Burke misses 2-pt jump shot from 5 ft,10,8
28,1,7:17.0,,Offensive rebound by R. Gobert,10,8
29,1,7:17.0,,Shooting foul by L. Galloway (drawn by R. Gobert),10,8
30,1,7:17.0,,R. Gobert misses free throw 1 of 2,10,8
31,1,7:17.0,,Offensive rebound by Team,10,8
32,1,7:17.0,S. Larkin enters the game for L. Galloway,,10,8
33,1,7:17.0,,R. Gobert makes free throw 2 of 2,10,9
34,1,7:04.0,Personal foul by E. Millsap (drawn by A. Shved),,10,9
35,1,7:04.0,,R. Hood enters the game for E. Millsap,10,9
36,1,6:58.0,A. Bargnani makes 2-pt layup from 2 ft,,12,9
37,1,6:32.0,,T. Burke misses 2-pt jump shot from 16 ft,12,9
38,1,6:31.0,Defensive rebound by A. Bargnani,,12,9
39,1,6:23.0,A. Shved misses 2-pt layup from 2 ft (block by R. Gobert),,12,9
40,1,6:22.0,Offensive rebound by L. Amundson,,12,9
41,1,6:22.0,L. Amundson makes 2-pt layup from 1 ft,,14,9
42,1,6:22.0,Shooting foul by R. Hood (drawn by L. Amundson),,14,9
43,1,6:22.0,L. Amundson makes free throw 1 of 1,,15,9
44,1,6:07.0,,R. Hood misses 3-pt jump shot from 23 ft,15,9
45,1,6:06.0,Defensive rebound by A. Shved,,15,9
46,1,5:56.0,L. Thomas misses 3-pt jump shot from 24 ft,,15,9
47,1,5:55.0,,Defensive rebound by D. Favors,15,9
