,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:47.0,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),,2,0
1,1,11:31.0,,T. Harris makes 2-pt jump shot from 11 ft,2,2
2,1,11:10.0,D. Carroll misses 3-pt jump shot from 25 ft,,2,2
3,1,11:09.0,,Defensive rebound by V. Oladipo,2,2
4,1,11:01.0,,T. Harris misses 3-pt jump shot from 25 ft,2,2
5,1,11:00.0,Defensive rebound by K. Korver,,2,2
6,1,10:44.0,J. Teague misses 2-pt layup from 1 ft,,2,2
7,1,10:43.0,,Defensive rebound by N. Vučević,2,2
8,1,10:35.0,,E. Payton misses 2-pt layup from 2 ft (block by K. Korver),2,2
9,1,10:33.0,Defensive rebound by A. Horford,,2,2
10,1,10:25.0,P. Millsap makes 2-pt jump shot from 5 ft,,4,2
11,1,10:06.0,,N. Vučević makes 2-pt layup from 1 ft (assist by T. Harris),4,4
12,1,9:57.0,Personal foul by D. Dedmon (drawn by A. Horford),,4,4
13,1,9:45.0,P. Millsap misses 2-pt layup from 2 ft,,4,4
14,1,9:44.0,,Defensive rebound by D. Dedmon,4,4
15,1,9:34.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by E. Payton),4,6
16,1,9:14.0,Turnover by D. Carroll (lost ball),,4,6
17,1,9:06.0,,E. Payton misses 2-pt layup from 2 ft (block by P. Millsap),4,6
18,1,9:04.0,Defensive rebound by P. Millsap,,4,6
19,1,8:58.0,D. Carroll misses 3-pt jump shot from 22 ft,,4,6
20,1,8:56.0,,Defensive rebound by E. Payton,4,6
21,1,8:48.0,,V. Oladipo makes 2-pt jump shot from 19 ft,4,8
22,1,8:33.0,K. Korver misses 3-pt jump shot from 25 ft,,4,8
23,1,8:32.0,,Defensive rebound by Team,4,8
24,1,8:21.0,,N. Vučević misses 2-pt jump shot from 18 ft,4,8
25,1,8:19.0,Defensive rebound by K. Korver,,4,8
26,1,8:11.0,P. Millsap misses 3-pt jump shot from 25 ft,,4,8
27,1,8:09.0,,Defensive rebound by N. Vučević,4,8
28,1,7:59.0,,Shooting foul by A. Horford (drawn by V. Oladipo),4,8
29,1,7:59.0,,V. Oladipo makes free throw 1 of 2,4,9
30,1,7:59.0,,V. Oladipo makes free throw 2 of 2,4,10
31,1,7:48.0,,Violation by V. Oladipo (kicked ball),4,10
32,1,7:36.0,Turnover by A. Horford (lost ball; steal by D. Dedmon),,4,10
33,1,7:31.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by E. Payton),4,12
34,1,7:16.0,A. Horford makes 2-pt hook shot from 5 ft,,6,12
35,1,7:15.0,Technical foul by A. Horford,,6,12
36,1,7:15.0,,V. Oladipo makes technical free throw,6,13
37,1,7:00.0,,E. Payton misses 2-pt jump shot from 18 ft,6,13
38,1,6:59.0,Defensive rebound by D. Carroll,,6,13
39,1,6:48.0,A. Horford misses 2-pt jump shot from 19 ft,,6,13
40,1,6:47.0,Offensive rebound by P. Millsap,,6,13
41,1,6:41.0,D. Carroll misses 3-pt jump shot from 25 ft,,6,13
42,1,6:40.0,Offensive rebound by P. Millsap,,6,13
43,1,6:27.0,P. Millsap makes 2-pt dunk at rim (assist by J. Teague),,8,13
44,1,6:12.0,,Turnover by T. Harris (step out of bounds),8,13
45,1,5:56.0,J. Teague misses 3-pt jump shot from 25 ft,,8,13
46,1,5:54.0,,Defensive rebound by T. Harris,8,13
47,1,5:48.0,,N. Vučević makes 2-pt layup from 2 ft (assist by T. Harris),8,15
48,1,5:48.0,Atlanta full timeout,,8,15
49,1,5:23.0,J. Teague misses 2-pt jump shot from 11 ft,,8,15
50,1,5:22.0,,Defensive rebound by D. Dedmon,8,15
51,1,5:04.0,,E. Payton makes 2-pt jump shot from 4 ft (assist by N. Vučević),8,17
52,1,4:41.0,J. Teague makes 3-pt jump shot from 25 ft (assist by D. Carroll),,11,17
53,1,4:25.0,P. Antić enters the game for A. Horford,,11,17
54,1,4:25.0,K. Bazemore enters the game for K. Korver,,11,17
55,1,4:17.0,,Turnover by V. Oladipo (step out of bounds),11,17
56,1,4:06.0,Turnover by J. Teague (bad pass; steal by V. Oladipo),,11,17
57,1,4:06.0,,Personal foul by P. Antić (drawn by V. Oladipo),11,17
58,1,4:06.0,,W. Green enters the game for D. Dedmon,11,17
59,1,4:06.0,D. Schröder enters the game for J. Teague,,11,17
60,1,3:50.0,,N. Vučević makes 2-pt jump shot from 17 ft,11,19
61,1,3:29.0,P. Antić misses 3-pt jump shot from 25 ft,,11,19
62,1,3:28.0,,Defensive rebound by V. Oladipo,11,19
63,1,3:23.0,,Shooting foul by K. Bazemore (drawn by V. Oladipo),11,19
64,1,3:23.0,,V. Oladipo makes free throw 1 of 2,11,20
65,1,3:23.0,,V. Oladipo makes free throw 2 of 2,11,21
66,1,3:09.0,D. Schröder misses 2-pt jump shot from 6 ft,,11,21
67,1,3:07.0,Offensive rebound by Team,,11,21
68,1,2:58.0,P. Millsap makes 2-pt jump shot from 7 ft,,13,21
69,1,2:32.0,,T. Harris makes 2-pt jump shot from 18 ft,13,23
70,1,2:18.0,Shooting foul by E. Payton (drawn by P. Millsap),,13,23
71,1,2:18.0,,Orlando full timeout,13,23
72,1,2:18.0,P. Millsap makes free throw 1 of 2,,14,23
73,1,2:18.0,P. Millsap makes free throw 2 of 2,,15,23
74,1,2:06.0,,T. Harris misses 2-pt jump shot from 17 ft,15,23
75,1,2:05.0,Defensive rebound by P. Millsap,,15,23
76,1,1:54.0,D. Schröder misses 2-pt jump shot from 19 ft,,15,23
77,1,1:52.0,Offensive rebound by P. Millsap,,15,23
78,1,1:52.0,P. Millsap makes 2-pt layup from 1 ft,,17,23
79,1,1:40.0,,N. Vučević misses 2-pt jump shot from 17 ft,17,23
80,1,1:38.0,,Offensive rebound by E. Payton,17,23
81,1,1:35.0,,E. Payton makes 2-pt layup from 2 ft,17,25
82,1,1:22.0,Shooting foul by E. Payton (drawn by D. Schröder),,17,25
83,1,1:22.0,D. Schröder makes free throw 1 of 2,,18,25
84,1,1:22.0,A. Horford enters the game for P. Millsap,,18,25
85,1,1:22.0,K. Korver enters the game for D. Carroll,,18,25
86,1,1:22.0,,L. Ridnour enters the game for E. Payton,18,25
87,1,1:22.0,D. Schröder misses free throw 2 of 2,,18,25
88,1,1:21.0,Offensive rebound by A. Horford,,18,25
89,1,1:17.0,K. Korver makes 3-pt jump shot from 25 ft (assist by A. Horford),,21,25
90,1,1:03.0,,V. Oladipo misses 2-pt jump shot from 4 ft,21,25
91,1,1:01.0,Defensive rebound by P. Antić,,21,25
92,1,0:48.0,Turnover by D. Schröder (bad pass),,21,25
93,1,0:38.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by V. Oladipo),21,28
94,1,0:16.0,K. Bazemore misses 2-pt layup from 2 ft,,21,28
95,1,0:15.0,Offensive rebound by K. Bazemore,,21,28
96,1,0:15.0,K. Bazemore makes 2-pt layup from 2 ft,,23,28
97,1,0:00.0,,W. Green makes 3-pt jump shot from 24 ft (assist by N. Vučević),23,31
98,2,11:45.0,,A. Nicholson makes 2-pt jump shot from 20 ft (assist by W. Green),23,33
99,2,11:25.0,D. Schröder misses 2-pt jump shot from 8 ft (block by L. Ridnour),,23,33
100,2,11:22.0,Offensive rebound by D. Schröder,,23,33
