,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
0,1,11:43.0,,D. Rose misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by J. Thompson,,0,0
2,1,11:23.0,D. Cousins misses 2-pt jump shot from 14 ft,,0,0
3,1,11:22.0,Offensive rebound by Team,,0,0
4,1,11:19.0,J. Thompson makes 2-pt jump shot from 18 ft (assist by R. Gay),,2,0
5,1,11:00.0,,D. Rose makes 2-pt layup from 2 ft,2,2
6,1,10:48.0,Personal foul by J. Noah (drawn by D. Cousins),,2,2
7,1,10:40.0,R. Sessions misses 2-pt jump shot from 8 ft,,2,2
8,1,10:40.0,Offensive rebound by J. Thompson,,2,2
9,1,10:40.0,J. Thompson makes 2-pt dunk at rim,,4,2
10,1,10:28.0,,J. Butler misses 2-pt jump shot from 22 ft,4,2
11,1,10:27.0,Defensive rebound by R. Sessions,,4,2
12,1,10:25.0,Shooting foul by M. Dunleavy (drawn by R. Gay),,4,2
13,1,10:25.0,R. Gay misses free throw 1 of 2,,4,2
14,1,10:25.0,Offensive rebound by Team,,4,2
15,1,10:25.0,R. Gay makes free throw 2 of 2,,5,2
16,1,10:05.0,,P. Gasol makes 2-pt jump shot from 11 ft (assist by D. Rose),5,4
17,1,9:52.0,,Violation by J. Noah (kicked ball),5,4
18,1,9:42.0,B. McLemore misses 2-pt jump shot from 17 ft,,5,4
19,1,9:41.0,,Defensive rebound by J. Butler,5,4
20,1,9:31.0,,J. Noah misses 2-pt layup from 1 ft (block by B. McLemore),5,4
21,1,9:29.0,Defensive rebound by D. Cousins,,5,4
22,1,9:26.0,R. Gay makes 2-pt dunk at rim (assist by D. Cousins),,7,4
23,1,9:18.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by D. Rose),7,7
24,1,8:54.0,D. Cousins misses 2-pt jump shot from 17 ft,,7,7
25,1,8:53.0,,Defensive rebound by D. Rose,7,7
26,1,8:45.0,,J. Butler misses 3-pt jump shot from 23 ft,7,7
27,1,8:43.0,Defensive rebound by R. Gay,,7,7
28,1,8:30.0,D. Cousins misses 2-pt jump shot from 2 ft,,7,7
29,1,8:29.0,Offensive rebound by D. Cousins,,7,7
30,1,8:29.0,D. Cousins misses 2-pt layup from 2 ft (block by D. Rose),,7,7
31,1,8:29.0,Offensive rebound by Team,,7,7
32,1,8:20.0,Turnover by R. Sessions (bad pass; steal by D. Rose),,7,7
33,1,8:15.0,,D. Rose makes 2-pt layup from 2 ft,7,9
34,1,8:00.0,Personal foul by M. Dunleavy (drawn by B. McLemore),,7,9
35,1,7:47.0,B. McLemore makes 2-pt jump shot from 14 ft (assist by D. Cousins),,9,9
36,1,7:37.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by J. Butler),9,11
37,1,7:16.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by D. Cousins),,12,11
