,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHOENIX_ACTION,CHICAGO_SCORE,PHOENIX_SCORE
0,1,11:43.0,,M. Morris misses 2-pt jump shot from 21 ft,0,0
1,1,11:42.0,Defensive rebound by J. Butler,,0,0
2,1,11:18.0,J. Butler misses 3-pt jump shot from 27 ft,,0,0
3,1,11:17.0,,Defensive rebound by M. Morris,0,0
4,1,11:12.0,,P. Tucker misses 2-pt layup from 2 ft,0,0
5,1,11:11.0,,Offensive rebound by A. Len,0,0
6,1,11:11.0,,A. Len makes 2-pt tip-in from 1 ft,0,2
7,1,10:56.0,D. Rose misses 3-pt jump shot from 24 ft,,0,2
8,1,10:55.0,,Defensive rebound by A. Len,0,2
9,1,10:44.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),0,4
10,1,10:16.0,D. Rose misses 3-pt jump shot from 25 ft,,0,4
11,1,10:15.0,Offensive rebound by P. Gasol,,0,4
12,1,10:11.0,J. Butler makes 3-pt jump shot from 25 ft (assist by P. Gasol),,3,4
13,1,9:53.0,,G. Dragić makes 2-pt jump shot from 17 ft,3,6
14,1,9:30.0,J. Butler misses 2-pt layup from 1 ft,,3,6
15,1,9:30.0,,Defensive rebound by A. Len,3,6
16,1,9:22.0,,G. Dragić misses 3-pt jump shot from 23 ft,3,6
17,1,9:21.0,,Offensive rebound by M. Morris,3,6
18,1,9:19.0,,M. Morris misses 2-pt layup at rim (block by P. Gasol),3,6
19,1,9:17.0,Defensive rebound by D. Rose,,3,6
20,1,9:03.0,P. Gasol makes 2-pt layup from 1 ft (assist by J. Noah),,5,6
21,1,9:03.0,Shooting foul by M. Morris (drawn by P. Gasol),,5,6
22,1,9:03.0,P. Gasol misses free throw 1 of 1,,5,6
23,1,9:03.0,,Defensive rebound by P. Tucker,5,6
24,1,8:48.0,,Turnover by E. Bledsoe (bad pass; steal by T. Snell),5,6
25,1,8:43.0,T. Snell makes 2-pt layup from 1 ft,,7,6
26,1,8:26.0,,M. Morris misses 2-pt jump shot from 11 ft,7,6
27,1,8:25.0,Defensive rebound by T. Snell,,7,6
28,1,8:19.0,D. Rose makes 2-pt layup at rim,,9,6
29,1,8:12.0,,G. Dragić makes 2-pt layup from 1 ft,9,8
30,1,7:55.0,T. Snell misses 2-pt jump shot from 3 ft,,9,8
31,1,7:54.0,,Defensive rebound by E. Bledsoe,9,8
32,1,7:47.0,,G. Dragić misses 2-pt layup at rim,9,8
33,1,7:46.0,Defensive rebound by D. Rose,,9,8
34,1,7:34.0,J. Butler misses 2-pt jump shot from 10 ft,,9,8
35,1,7:33.0,Offensive rebound by P. Gasol,,9,8
36,1,7:31.0,P. Gasol makes 2-pt jump shot from 7 ft,,11,8
37,1,7:12.0,,M. Morris misses 2-pt jump shot from 5 ft,11,8
38,1,7:10.0,Defensive rebound by P. Gasol,,11,8
39,1,6:57.0,D. Rose misses 2-pt jump shot from 8 ft,,11,8
40,1,6:56.0,Offensive rebound by D. Rose,,11,8
41,1,6:53.0,Turnover by D. Rose (lost ball; steal by G. Dragić),,11,8
42,1,6:49.0,,G. Dragić makes 2-pt layup from 1 ft,11,10
43,1,6:26.0,P. Gasol misses 2-pt jump shot from 8 ft,,11,10
44,1,6:25.0,,Defensive rebound by P. Tucker,11,10
45,1,6:17.0,,E. Bledsoe makes 2-pt layup at rim,11,12
46,1,6:01.0,Personal foul by A. Len (drawn by P. Gasol),,11,12
47,1,5:48.0,P. Gasol makes 2-pt hook shot from 4 ft,,13,12
48,1,5:36.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,13,12
49,1,5:35.0,Defensive rebound by T. Snell,,13,12
50,1,5:27.0,D. Rose makes 2-pt layup from 1 ft (assist by T. Snell),,15,12
51,1,5:18.0,,Phoenix full timeout,15,12
52,1,5:14.0,,Personal foul by J. Noah (drawn by P. Tucker),15,12
53,1,5:07.0,,M. Morris misses 3-pt jump shot from 24 ft,15,12
54,1,5:06.0,Defensive rebound by T. Snell,,15,12
55,1,4:44.0,Shooting foul by G. Dragić (drawn by P. Gasol),,15,12
56,1,4:44.0,P. Gasol misses free throw 1 of 2,,15,12
57,1,4:44.0,Offensive rebound by Team,,15,12
58,1,4:44.0,P. Gasol misses free throw 2 of 2,,15,12
59,1,4:43.0,,Defensive rebound by A. Len,15,12
60,1,4:27.0,,A. Len misses 2-pt layup from 1 ft,15,12
61,1,4:26.0,Defensive rebound by J. Noah,,15,12
62,1,4:12.0,D. Rose misses 2-pt layup from 1 ft (block by G. Dragić),,15,12
63,1,4:12.0,Offensive rebound by Team,,15,12
64,1,4:12.0,,I. Thomas enters the game for G. Dragić,15,12
65,1,4:12.0,T. Gibson enters the game for J. Noah,,15,12
66,1,4:02.0,J. Butler misses 2-pt jump shot from 17 ft,,15,12
67,1,4:01.0,,Defensive rebound by M. Morris,15,12
68,1,3:51.0,,Turnover by A. Len (traveling),15,12
69,1,3:32.0,P. Gasol misses 2-pt jump shot from 13 ft,,15,12
70,1,3:31.0,,Defensive rebound by E. Bledsoe,15,12
71,1,3:26.0,,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),15,14
72,1,3:11.0,K. Hinrich enters the game for D. Rose,,15,14
73,1,3:11.0,,B. Wright enters the game for M. Morris,15,14
74,1,3:05.0,Turnover by P. Gasol (lost ball; steal by I. Thomas),,15,14
75,1,3:01.0,,B. Wright makes 2-pt dunk at rim (assist by P. Tucker),15,16
76,1,2:46.0,Shooting foul by P. Tucker (drawn by P. Gasol),,15,16
77,1,2:46.0,Chicago full timeout,,15,16
78,1,2:46.0,A. Brooks enters the game for T. Snell,,15,16
79,1,2:46.0,P. Gasol misses free throw 1 of 2,,15,16
80,1,2:46.0,Offensive rebound by Team,,15,16
81,1,2:46.0,P. Gasol misses free throw 2 of 2,,15,16
82,1,2:45.0,,Defensive rebound by B. Wright,15,16
83,1,2:28.0,,I. Thomas makes 2-pt layup from 2 ft (assist by E. Bledsoe),15,18
84,1,2:06.0,A. Brooks makes 2-pt layup from 2 ft,,17,18
85,1,2:00.0,,Offensive foul by A. Len (drawn by A. Brooks),17,18
86,1,2:00.0,,Turnover by A. Len (offensive foul),17,18
87,1,2:00.0,,M. Plumlee enters the game for A. Len,17,18
88,1,2:00.0,N. Mirotić enters the game for P. Gasol,,17,18
89,1,1:48.0,Personal foul by P. Tucker (drawn by J. Butler),,17,18
90,1,1:48.0,J. Butler misses free throw 1 of 2,,17,18
91,1,1:48.0,Offensive rebound by Team,,17,18
92,1,1:48.0,,M. Morris enters the game for P. Tucker,17,18
93,1,1:48.0,J. Butler misses free throw 2 of 2,,17,18
94,1,1:48.0,,Defensive rebound by M. Plumlee,17,18
95,1,1:27.0,,E. Bledsoe makes 2-pt jump shot from 3 ft,17,20
96,1,1:07.0,J. Butler makes 2-pt layup at rim,,19,20
97,1,1:00.0,,Turnover by M. Morris (bad pass; steal by A. Brooks),19,20
