,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
0,1,11:43.0,K. Korver makes 2-pt jump shot from 22 ft (assist by J. Teague),,2,0
1,1,11:17.0,,C. Lee misses 2-pt jump shot from 7 ft,2,0
2,1,11:14.0,Defensive rebound by Team,,2,0
3,1,10:57.0,A. Horford misses 2-pt jump shot from 19 ft,,2,0
4,1,10:56.0,,Defensive rebound by J. Green,2,0
5,1,10:37.0,,Turnover by M. Gasol (lost ball),2,0
6,1,10:29.0,Turnover by K. Korver (bad pass; steal by M. Conley),,2,0
7,1,10:21.0,,Z. Randolph misses 2-pt jump shot from 14 ft,2,0
8,1,10:20.0,Defensive rebound by A. Horford,,2,0
9,1,10:13.0,Turnover by J. Teague (bad pass; steal by J. Green),,2,0
10,1,10:08.0,,Shooting foul by D. Carroll (drawn by J. Green),2,0
11,1,10:08.0,,J. Green makes free throw 1 of 2,2,1
12,1,10:08.0,,J. Green makes free throw 2 of 2,2,2
13,1,9:53.0,D. Carroll misses 2-pt layup at rim,,2,2
14,1,9:51.0,,Defensive rebound by M. Conley,2,2
15,1,9:36.0,,M. Gasol makes 2-pt jump shot from 16 ft (assist by M. Conley),2,4
16,1,9:27.0,J. Teague makes 3-pt jump shot from 24 ft,,5,4
17,1,9:03.0,,Z. Randolph misses 2-pt jump shot from 7 ft,5,4
18,1,9:02.0,Defensive rebound by A. Horford,,5,4
19,1,8:52.0,A. Horford misses 2-pt jump shot from 19 ft,,5,4
20,1,8:51.0,,Defensive rebound by M. Conley,5,4
21,1,8:39.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Conley),5,6
22,1,8:26.0,P. Millsap misses 3-pt jump shot from 25 ft,,5,6
23,1,8:25.0,,Defensive rebound by M. Gasol,5,6
24,1,8:06.0,,Turnover by J. Green (bad pass; steal by D. Carroll),5,6
25,1,8:04.0,Turnover by D. Carroll (lost ball),,5,6
26,1,7:47.0,,M. Gasol makes 2-pt jump shot from 10 ft,5,8
27,1,7:38.0,Turnover by J. Teague (bad pass),,5,8
28,1,7:29.0,,Offensive foul by Z. Randolph (drawn by D. Carroll),5,8
