,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,GOLDEN STATE_ACTION,CHARLOTTE_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,S. Curry misses 3-pt jump shot from 26 ft,0,0
1,1,11:45.0,Defensive rebound by M. Williams,,0,0
2,1,11:25.0,M. Williams misses 2-pt dunk at rim,,0,0
3,1,11:24.0,,Defensive rebound by H. Barnes,0,0
4,1,11:16.0,,Offensive foul by H. Barnes (drawn by L. Stephenson),0,0
5,1,11:16.0,,Turnover by H. Barnes (offensive foul),0,0
6,1,11:00.0,Turnover by L. Stephenson (lost ball; steal by K. Thompson),,0,0
7,1,10:44.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by S. Curry),0,3
8,1,10:31.0,P. Hairston misses 2-pt layup from 2 ft,,0,3
9,1,10:30.0,,Defensive rebound by A. Bogut,0,3
10,1,10:21.0,,H. Barnes misses 2-pt jump shot from 17 ft,0,3
11,1,10:20.0,Defensive rebound by K. Walker,,0,3
12,1,10:12.0,A. Jefferson misses 2-pt jump shot from 19 ft,,0,3
13,1,10:11.0,,Defensive rebound by K. Thompson,0,3
14,1,9:53.0,,D. Green misses 2-pt layup from 2 ft,0,3
15,1,9:50.0,,Offensive rebound by A. Bogut,0,3
16,1,9:50.0,,A. Bogut makes 2-pt layup at rim,0,5
17,1,9:39.0,L. Stephenson makes 3-pt jump shot from 26 ft,,3,5
18,1,9:21.0,,D. Green makes 2-pt layup from 2 ft,3,7
19,1,9:00.0,L. Stephenson makes 2-pt jump shot from 8 ft,,5,7
20,1,8:43.0,,A. Bogut makes 2-pt hook shot from 10 ft (assist by S. Curry),5,9
21,1,8:27.0,M. Williams misses 3-pt jump shot from 25 ft,,5,9
22,1,8:27.0,,Defensive rebound by Team,5,9
23,1,8:16.0,,K. Thompson misses 2-pt jump shot from 20 ft,5,9
24,1,8:15.0,Defensive rebound by A. Jefferson,,5,9
25,1,7:55.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by K. Walker),,7,9
26,1,7:44.0,,S. Curry misses 3-pt jump shot from 26 ft,7,9
27,1,7:43.0,,Offensive rebound by A. Bogut,7,9
28,1,7:43.0,,Shooting foul by A. Jefferson (drawn by A. Bogut),7,9
29,1,7:43.0,,A. Bogut misses free throw 1 of 2,7,9
30,1,7:43.0,,Offensive rebound by Team,7,9
31,1,7:43.0,,A. Bogut makes free throw 2 of 2,7,10
32,1,7:29.0,L. Stephenson makes 2-pt layup from 1 ft,,9,10
33,1,7:08.0,,H. Barnes makes 2-pt jump shot from 8 ft,9,12
34,1,6:45.0,P. Hairston makes 3-pt jump shot from 25 ft (assist by A. Jefferson),,12,12
35,1,6:32.0,,S. Curry makes 2-pt jump shot from 17 ft,12,14
36,1,6:18.0,Personal foul by S. Curry (drawn by K. Walker),,12,14
37,1,6:18.0,G. Henderson enters the game for P. Hairston,,12,14
38,1,6:12.0,A. Jefferson makes 2-pt jump shot from 16 ft (assist by L. Stephenson),,14,14
39,1,6:02.0,,Turnover by A. Bogut (bad pass; steal by G. Henderson),14,14
40,1,5:51.0,A. Jefferson makes 2-pt layup at rim (assist by L. Stephenson),,16,14
41,1,5:36.0,,A. Bogut makes 2-pt hook shot from 13 ft (assist by K. Thompson),16,16
42,1,5:25.0,L. Stephenson misses 2-pt jump shot from 17 ft,,16,16
43,1,5:24.0,,Defensive rebound by H. Barnes,16,16
44,1,5:19.0,,K. Thompson misses 3-pt jump shot from 26 ft,16,16
45,1,5:18.0,Defensive rebound by A. Jefferson,,16,16
46,1,5:15.0,Charlotte full timeout,,16,16
47,1,5:15.0,C. Zeller enters the game for M. Williams,,16,16
48,1,5:15.0,,A. Iguodala enters the game for H. Barnes,16,16
49,1,5:09.0,K. Walker misses 2-pt jump shot from 18 ft,,16,16
50,1,5:08.0,,Defensive rebound by D. Green,16,16
51,1,4:56.0,,K. Thompson misses 2-pt jump shot from 18 ft,16,16
52,1,4:54.0,Defensive rebound by G. Henderson,,16,16
53,1,4:43.0,A. Jefferson misses 2-pt hook shot from 10 ft,,16,16
54,1,4:42.0,,Defensive rebound by A. Bogut,16,16
55,1,4:32.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),16,18
56,1,4:12.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by L. Stephenson),,18,18
57,1,4:03.0,,S. Curry makes 2-pt jump shot from 18 ft,18,20
58,1,3:46.0,A. Jefferson makes 2-pt jump shot from 4 ft,,20,20
59,1,3:39.0,,S. Curry makes 2-pt jump shot from 19 ft,20,22
60,1,3:17.0,L. Stephenson makes 2-pt jump shot from 10 ft,,22,22
61,1,3:07.0,,D. Green makes 2-pt layup at rim (assist by S. Curry),22,24
62,1,2:48.0,A. Jefferson misses 2-pt jump shot from 16 ft,,22,24
63,1,2:47.0,,Defensive rebound by D. Green,22,24
64,1,2:43.0,,Golden State full timeout,22,24
65,1,2:43.0,B. Biyombo enters the game for L. Stephenson,,22,24
66,1,2:43.0,G. Neal enters the game for A. Jefferson,,22,24
67,1,2:43.0,,L. Barbosa enters the game for K. Thompson,22,24
68,1,2:34.0,,S. Curry misses 3-pt jump shot from 27 ft,22,24
69,1,2:33.0,Defensive rebound by C. Zeller,,22,24
70,1,2:23.0,C. Zeller misses 2-pt jump shot from 20 ft,,22,24
71,1,2:23.0,,Defensive rebound by S. Curry,22,24
72,1,2:15.0,,S. Curry misses 2-pt jump shot from 10 ft,22,24
73,1,2:14.0,Defensive rebound by G. Neal,,22,24
74,1,2:07.0,G. Henderson misses 2-pt jump shot from 15 ft,,22,24
75,1,2:06.0,,Defensive rebound by L. Barbosa,22,24
76,1,2:02.0,,Personal foul by G. Henderson (drawn by A. Iguodala),22,24
77,1,2:02.0,,M. Speights enters the game for A. Bogut,22,24
78,1,1:57.0,B. Roberts enters the game for K. Walker,,22,24
79,1,1:48.0,,L. Barbosa misses 2-pt jump shot from 4 ft,22,24
80,1,1:47.0,,Offensive rebound by D. Green,22,24
81,1,1:44.0,,M. Speights makes 2-pt layup from 1 ft (assist by D. Green),22,26
82,1,1:24.0,Turnover by G. Henderson (lost ball; steal by L. Barbosa),,22,26
83,1,1:19.0,,L. Barbosa makes 2-pt layup at rim (assist by S. Curry),22,28
84,1,1:04.0,C. Zeller misses 2-pt jump shot from 19 ft,,22,28
85,1,1:04.0,,Defensive rebound by Team,22,28
86,1,1:04.0,Loose ball foul by B. Biyombo (drawn by M. Speights),,22,28
87,1,1:04.0,,H. Barnes enters the game for D. Green,22,28
88,1,1:04.0,,S. Livingston enters the game for S. Curry,22,28
89,1,0:46.0,,A. Iguodala misses 2-pt jump shot from 22 ft,22,28
