,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:46.0,Personal foul by J. Green (drawn by J. Johnson),,0,0
1,1,11:33.0,K. Garnett misses 2-pt jump shot from 14 ft,,0,0
2,1,11:32.0,,Defensive rebound by J. Sullinger,0,0
3,1,11:24.0,,Turnover by A. Bradley (lost ball),0,0
4,1,11:10.0,Shooting foul by A. Bradley (drawn by D. Williams),,0,0
5,1,11:10.0,D. Williams makes free throw 1 of 2,,1,0
6,1,11:10.0,D. Williams makes free throw 2 of 2,,2,0
7,1,10:56.0,,K. Olynyk misses 3-pt jump shot from 24 ft,2,0
8,1,10:54.0,,Offensive rebound by J. Green,2,0
9,1,10:52.0,,J. Green makes 2-pt layup from 1 ft,2,2
10,1,10:40.0,B. Bogdanović misses 2-pt jump shot from 4 ft (block by R. Rondo),,2,2
11,1,10:39.0,Offensive rebound by Team,,2,2
12,1,10:37.0,Offensive foul by K. Garnett (drawn by J. Green),,2,2
13,1,10:37.0,Turnover by K. Garnett (offensive foul),,2,2
14,1,10:23.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by R. Rondo),2,5
15,1,10:11.0,,Offensive charge foul by J. Johnson (drawn by J. Green),2,5
16,1,10:11.0,Turnover by J. Johnson (offensive foul),,2,5
17,1,10:01.0,,A. Bradley misses 3-pt jump shot from 25 ft,2,5
18,1,9:59.0,Defensive rebound by M. Plumlee,,2,5
19,1,9:54.0,Personal foul by K. Olynyk (drawn by K. Garnett),,2,5
20,1,9:44.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by K. Garnett),,4,5
21,1,9:28.0,,J. Sullinger misses 2-pt jump shot from 4 ft,4,5
22,1,9:27.0,,Offensive rebound by K. Olynyk,4,5
23,1,9:26.0,Violation by M. Plumlee (def goaltending),,4,5
24,1,9:26.0,,J. Sullinger makes 2-pt layup from 1 ft (assist by K. Olynyk),4,7
25,1,9:06.0,J. Johnson makes 2-pt jump shot from 15 ft,,6,7
26,1,8:44.0,,K. Olynyk misses 2-pt layup at rim (block by M. Plumlee),6,7
27,1,8:43.0,,Offensive rebound by J. Green,6,7
28,1,8:41.0,,J. Green makes 3-pt jump shot from 25 ft,6,10
29,1,8:32.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by D. Williams),,8,10
30,1,8:23.0,,Personal foul by B. Bogdanović (drawn by R. Rondo),8,10
31,1,8:19.0,,Personal foul by M. Plumlee (drawn by J. Green),8,10
32,1,8:14.0,,A. Bradley makes 2-pt layup at rim (assist by R. Rondo),8,12
33,1,8:07.0,Personal foul by A. Bradley (drawn by D. Williams),,8,12
34,1,7:56.0,J. Johnson misses 2-pt jump shot from 6 ft,,8,12
35,1,7:55.0,,Defensive rebound by J. Green,8,12
36,1,7:42.0,,J. Sullinger makes 3-pt jump shot from 25 ft (assist by R. Rondo),8,15
37,1,7:22.0,D. Williams misses 2-pt jump shot from 16 ft,,8,15
38,1,7:20.0,,Defensive rebound by J. Green,8,15
39,1,7:12.0,,A. Bradley misses 2-pt jump shot from 17 ft,8,15
40,1,7:11.0,Defensive rebound by M. Plumlee,,8,15
41,1,7:03.0,D. Williams makes 2-pt jump shot from 7 ft,,10,15
42,1,6:47.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by R. Rondo),10,17
43,1,6:23.0,,M. Smart enters the game for R. Rondo,10,17
44,1,6:23.0,,E. Turner enters the game for A. Bradley,10,17
45,1,6:19.0,K. Garnett makes 2-pt jump shot from 6 ft (assist by B. Bogdanović),,12,17
46,1,6:05.0,,Shooting foul by M. Plumlee (drawn by K. Olynyk),12,17
47,1,6:05.0,,K. Olynyk makes free throw 1 of 2,12,18
48,1,6:05.0,A. Kirilenko enters the game for K. Garnett,,12,18
49,1,6:05.0,M. Teletović enters the game for M. Plumlee,,12,18
50,1,6:05.0,,K. Olynyk makes free throw 2 of 2,12,19
51,1,5:47.0,A. Kirilenko misses 2-pt layup from 2 ft,,12,19
52,1,5:46.0,,Defensive rebound by J. Sullinger,12,19
53,1,5:39.0,,K. Olynyk makes 2-pt jump shot from 17 ft (assist by E. Turner),12,21
54,1,5:20.0,M. Teletović misses 2-pt jump shot from 6 ft,,12,21
55,1,5:19.0,Offensive rebound by Team,,12,21
56,1,5:19.0,,Loose ball foul by J. Green (drawn by A. Kirilenko),12,21
57,1,5:19.0,,Boston full timeout,12,21
58,1,5:19.0,,M. Thornton enters the game for J. Green,12,21
59,1,5:19.0,,B. Bass enters the game for J. Sullinger,12,21
60,1,5:19.0,A. Kirilenko makes free throw 1 of 2,,13,21
61,1,5:19.0,A. Kirilenko misses free throw 2 of 2,,13,21
62,1,5:18.0,,Defensive rebound by K. Olynyk,13,21
63,1,5:03.0,,Personal foul by M. Teletović (drawn by E. Turner),13,21
64,1,4:56.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by B. Bass),13,24
65,1,4:41.0,M. Teletović misses 3-pt jump shot from 25 ft,,13,24
66,1,4:39.0,Offensive rebound by A. Kirilenko,,13,24
67,1,4:28.0,D. Williams misses 3-pt jump shot from 25 ft,,13,24
68,1,4:28.0,,Defensive rebound by E. Turner,13,24
69,1,4:21.0,,K. Olynyk misses 2-pt layup at rim,13,24
70,1,4:18.0,,Offensive rebound by K. Olynyk,13,24
71,1,4:17.0,,K. Olynyk misses 2-pt layup from 1 ft,13,24
72,1,4:16.0,Defensive rebound by M. Teletović,,13,24
73,1,4:10.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Teletović),,15,24
74,1,3:54.0,,Turnover by K. Olynyk (bad pass; steal by J. Johnson),15,24
75,1,3:42.0,Personal block foul by K. Olynyk (drawn by D. Williams),,15,24
