,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHOENIX_ACTION,ATLANTA_SCORE,PHOENIX_SCORE
0,1,11:35.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by P. Tucker),0,2
1,1,11:15.0,P. Millsap makes 2-pt jump shot from 5 ft,,2,2
2,1,10:52.0,,Turnover by M. Morris (step out of bounds),2,2
3,1,10:38.0,Shooting foul by M. Morris (drawn by D. Carroll),,2,2
4,1,10:38.0,D. Carroll makes free throw 1 of 2,,3,2
5,1,10:38.0,D. Carroll makes free throw 2 of 2,,4,2
6,1,10:28.0,,M. Morris misses 2-pt jump shot from 15 ft,4,2
7,1,10:27.0,,Offensive rebound by A. Len,4,2
8,1,10:23.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by A. Len),4,5
9,1,10:12.0,A. Horford makes 2-pt jump shot from 21 ft (assist by J. Teague),,6,5
10,1,9:51.0,,A. Len misses 2-pt layup from 2 ft (block by P. Millsap),6,5
11,1,9:50.0,,Offensive rebound by M. Morris,6,5
12,1,9:47.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by P. Tucker),6,8
13,1,9:33.0,Personal foul by E. Bledsoe (drawn by J. Teague),,6,8
14,1,9:24.0,D. Carroll misses 3-pt jump shot from 23 ft,,6,8
15,1,9:23.0,,Defensive rebound by P. Tucker,6,8
16,1,9:02.0,,M. Morris misses 2-pt layup from 2 ft,6,8
17,1,9:01.0,Defensive rebound by A. Horford,,6,8
18,1,8:56.0,D. Carroll misses 2-pt layup from 2 ft,,6,8
19,1,8:55.0,Offensive rebound by D. Carroll,,6,8
20,1,8:53.0,D. Carroll misses 2-pt layup from 1 ft (block by M. Morris),,6,8
21,1,8:52.0,,Defensive rebound by A. Len,6,8
22,1,8:39.0,,A. Len misses 2-pt hook shot from 2 ft,6,8
23,1,8:38.0,Defensive rebound by P. Millsap,,6,8
24,1,8:22.0,P. Millsap makes 2-pt dunk at rim,,8,8
25,1,8:08.0,,Shooting foul by J. Teague (drawn by E. Bledsoe),8,8
26,1,8:08.0,,E. Bledsoe misses free throw 1 of 2,8,8
27,1,8:08.0,,Offensive rebound by Team,8,8
28,1,8:08.0,,E. Bledsoe makes free throw 2 of 2,8,9
