,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:44.0,,D. DeRozan misses 2-pt jump shot from 20 ft,0,0
1,1,11:43.0,,Offensive rebound by J. Valančiūnas,0,0
2,1,11:41.0,,J. Valančiūnas misses 2-pt tip-in from 2 ft,0,0
3,1,11:40.0,Defensive rebound by J. Teague,,0,0
4,1,11:26.0,A. Horford makes 2-pt jump shot from 17 ft (assist by P. Millsap),,2,0
5,1,11:04.0,,Turnover by J. Valančiūnas (bad pass; steal by J. Teague),2,0
6,1,11:00.0,J. Teague makes 2-pt dunk at rim,,4,0
7,1,10:34.0,,A. Johnson makes 3-pt jump shot from 26 ft (assist by D. DeRozan),4,3
8,1,10:21.0,Offensive foul by K. Korver (drawn by D. DeRozan),,4,3
9,1,10:21.0,Turnover by K. Korver (offensive foul),,4,3
10,1,10:04.0,,T. Ross misses 2-pt jump shot from 17 ft,4,3
11,1,10:03.0,Defensive rebound by J. Teague,,4,3
12,1,9:53.0,Turnover by K. Korver (lost ball; steal by D. DeRozan),,4,3
13,1,9:45.0,,K. Lowry misses 2-pt hook shot from 6 ft,4,3
14,1,9:44.0,Defensive rebound by P. Millsap,,4,3
15,1,9:35.0,A. Horford makes 2-pt layup from 3 ft (assist by J. Teague),,6,3
16,1,9:20.0,,D. DeRozan makes 2-pt jump shot from 18 ft (assist by K. Lowry),6,5
17,1,9:04.0,Personal foul by D. DeRozan (drawn by D. Carroll),,6,5
18,1,8:58.0,Turnover by K. Korver (traveling),,6,5
19,1,8:53.0,,Offensive foul by A. Johnson (drawn by D. Carroll),6,5
20,1,8:53.0,,Turnover by A. Johnson (offensive foul),6,5
21,1,8:42.0,J. Teague misses 2-pt jump shot from 14 ft,,6,5
22,1,8:41.0,,Defensive rebound by D. DeRozan,6,5
23,1,8:30.0,,D. DeRozan makes 2-pt jump shot from 18 ft,6,7
