,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:48.0,K. Love makes 2-pt jump shot from 18 ft (assist by L. James),,2,0
1,1,11:30.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by E. Turner),2,2
2,1,11:06.0,K. Love misses 2-pt jump shot from 23 ft,,2,2
3,1,11:04.0,Offensive rebound by K. Irving,,2,2
4,1,11:01.0,J. Smith makes 3-pt jump shot from 27 ft (assist by K. Irving),,5,2
5,1,10:46.0,,T. Zeller makes 2-pt jump shot from 18 ft (assist by B. Bass),5,4
6,1,10:26.0,L. James misses 2-pt layup from 2 ft,,5,4
7,1,10:25.0,Offensive rebound by T. Mozgov,,5,4
8,1,10:25.0,T. Mozgov makes 2-pt layup from 2 ft,,7,4
9,1,10:22.0,,Boston full timeout,7,4
10,1,10:04.0,,A. Bradley makes 2-pt layup from 2 ft (assist by E. Turner),7,6
11,1,9:44.0,K. Irving misses 2-pt jump shot from 9 ft,,7,6
12,1,9:43.0,,Defensive rebound by E. Turner,7,6
13,1,9:34.0,,E. Turner misses 2-pt layup at rim (block by T. Mozgov),7,6
14,1,9:33.0,,Offensive rebound by Team,7,6
15,1,9:27.0,,T. Zeller makes 2-pt hook shot from 4 ft,7,8
16,1,9:06.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,9,8
17,1,8:48.0,,E. Turner misses 2-pt jump shot from 15 ft,9,8
18,1,8:47.0,Defensive rebound by K. Love,,9,8
19,1,8:35.0,Personal foul by E. Turner (drawn by K. Love),,9,8
20,1,8:19.0,T. Mozgov makes 2-pt layup from 2 ft (assist by K. Love),,11,8
21,1,8:06.0,,A. Bradley misses 2-pt jump shot from 19 ft,11,8
22,1,8:05.0,Defensive rebound by T. Mozgov,,11,8
23,1,7:57.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,14,8
24,1,7:45.0,,E. Turner misses 2-pt jump shot from 16 ft,14,8
25,1,7:44.0,Defensive rebound by T. Mozgov,,14,8
26,1,7:38.0,Shooting block foul by J. Crowder (drawn by L. James),,14,8
27,1,7:38.0,L. James makes free throw 1 of 2,,15,8
28,1,7:38.0,,I. Thomas enters the game for E. Turner,15,8
29,1,7:38.0,L. James makes free throw 2 of 2,,16,8
