,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:43.0,M. Gasol misses 2-pt hook shot from 3 ft,,0,0
1,1,11:42.0,,Defensive rebound by E. Davis,0,0
2,1,11:19.0,,J. Hill misses 2-pt jump shot from 3 ft (block by M. Gasol),0,0
3,1,11:18.0,,Offensive rebound by Team,0,0
4,1,11:18.0,,Turnover by Team (shot clock),0,0
5,1,11:04.0,Shooting foul by K. Bryant (drawn by T. Allen),,0,0
6,1,11:04.0,T. Allen misses free throw 1 of 2,,0,0
7,1,11:04.0,Offensive rebound by Team,,0,0
8,1,11:04.0,T. Allen makes free throw 2 of 2,,1,0
9,1,10:40.0,,R. Price misses 3-pt jump shot from 24 ft,1,0
10,1,10:39.0,Defensive rebound by J. Leuer,,1,0
11,1,10:29.0,J. Leuer makes 2-pt jump shot from 20 ft (assist by M. Conley),,3,0
12,1,10:08.0,,E. Davis makes 2-pt layup from 1 ft (assist by W. Johnson),3,2
13,1,9:54.0,J. Leuer makes 2-pt jump shot from 2 ft (assist by M. Conley),,5,2
14,1,9:30.0,,Shooting foul by J. Leuer (drawn by E. Davis),5,2
15,1,9:30.0,,E. Davis makes free throw 1 of 2,5,3
16,1,9:30.0,,E. Davis makes free throw 2 of 2,5,4
17,1,9:13.0,T. Allen misses 2-pt hook shot from 4 ft,,5,4
18,1,9:12.0,,Defensive rebound by E. Davis,5,4
19,1,9:03.0,,W. Johnson makes 2-pt layup from 1 ft (assist by K. Bryant),5,6
20,1,8:51.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,7,6
21,1,8:36.0,,E. Davis makes 2-pt layup from 2 ft (assist by R. Price),7,8
22,1,8:36.0,,Shooting foul by M. Conley (drawn by E. Davis),7,8
23,1,8:36.0,,E. Davis misses free throw 1 of 1,7,8
24,1,8:35.0,Defensive rebound by J. Leuer,,7,8
25,1,8:14.0,M. Gasol misses 2-pt jump shot from 8 ft,,7,8
26,1,8:10.0,Offensive rebound by C. Lee,,7,8
27,1,8:10.0,C. Lee misses 2-pt tip-in at rim,,7,8
28,1,8:08.0,,Defensive rebound by K. Bryant,7,8
29,1,8:00.0,,K. Bryant misses 2-pt jump shot from 19 ft,7,8
30,1,7:59.0,Defensive rebound by M. Gasol,,7,8
31,1,7:54.0,T. Allen misses 2-pt layup from 2 ft (block by E. Davis),,7,8
32,1,7:54.0,Offensive rebound by Team,,7,8
33,1,7:51.0,Turnover by C. Lee (bad pass; steal by W. Johnson),,7,8
34,1,7:40.0,,W. Johnson misses 3-pt jump shot from 23 ft,7,8
35,1,7:38.0,,Offensive rebound by J. Hill,7,8
36,1,7:36.0,,Turnover by J. Hill (lost ball; steal by M. Conley),7,8
37,1,7:28.0,M. Conley misses 3-pt jump shot from 24 ft,,7,8
38,1,7:25.0,,Defensive rebound by W. Johnson,7,8
39,1,7:22.0,,Turnover by R. Price (bad pass; steal by M. Conley),7,8
40,1,7:22.0,,Loose ball foul by R. Price (drawn by M. Conley),7,8
41,1,7:22.0,Q. Pondexter enters the game for T. Allen,,7,8
42,1,7:04.0,Q. Pondexter misses 3-pt jump shot from 25 ft,,7,8
43,1,7:02.0,,Defensive rebound by E. Davis,7,8
44,1,6:46.0,,J. Hill misses 2-pt jump shot from 17 ft,7,8
45,1,6:43.0,,Offensive rebound by E. Davis,7,8
46,1,6:43.0,,E. Davis misses 2-pt tip-in from 2 ft,7,8
47,1,6:41.0,Defensive rebound by M. Conley,,7,8
48,1,6:36.0,M. Conley makes 2-pt jump shot from 8 ft,,9,8
49,1,6:20.0,,J. Hill makes 2-pt jump shot from 6 ft (assist by K. Bryant),9,10
50,1,6:04.0,Q. Pondexter misses 2-pt jump shot from 5 ft,,9,10
51,1,6:03.0,,Defensive rebound by J. Hill,9,10
52,1,5:50.0,,W. Johnson misses 2-pt jump shot from 21 ft,9,10
53,1,5:47.0,Defensive rebound by J. Leuer,,9,10
54,1,5:39.0,Shooting foul by J. Hill (drawn by M. Gasol),,9,10
55,1,5:39.0,,LA Lakers full timeout,9,10
56,1,5:39.0,M. Gasol misses free throw 1 of 2,,9,10
57,1,5:39.0,Offensive rebound by Team,,9,10
