,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,12:00.0,,Loose ball foul by A. Varejão (drawn by J. Valančiūnas),0,0
1,1,11:42.0,K. Lowry misses 3-pt jump shot from 25 ft,,0,0
2,1,11:40.0,,Defensive rebound by S. Marion,0,0
3,1,11:21.0,,A. Varejão makes 2-pt jump shot from 14 ft (assist by K. Irving),0,2
4,1,11:04.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,0,2
5,1,11:02.0,,Defensive rebound by L. James,0,2
6,1,10:56.0,,A. Varejão makes 2-pt layup at rim (assist by L. James),0,4
7,1,10:45.0,Turnover by D. DeRozan (bad pass; steal by S. Marion),,0,4
8,1,10:35.0,,S. Marion misses 2-pt jump shot from 8 ft,0,4
9,1,10:33.0,,Offensive rebound by A. Varejão,0,4
10,1,10:33.0,,A. Varejão makes 2-pt tip-in at rim,0,6
11,1,10:10.0,D. DeRozan misses 2-pt jump shot from 19 ft,,0,6
12,1,10:09.0,,Defensive rebound by A. Varejão,0,6
13,1,10:00.0,,Personal foul by K. Lowry (drawn by A. Varejão),0,6
14,1,9:56.0,,Personal foul by T. Ross (drawn by L. James),0,6
15,1,9:41.0,,L. James misses 2-pt jump shot from 19 ft,0,6
16,1,9:41.0,,Offensive rebound by Team,0,6
17,1,9:41.0,,Turnover by Team (shot clock),0,6
18,1,9:26.0,K. Lowry misses 2-pt jump shot from 16 ft (block by K. Irving),,0,6
19,1,9:24.0,,Defensive rebound by A. Varejão,0,6
20,1,9:20.0,,Personal foul by K. Lowry (drawn by K. Love),0,6
21,1,9:20.0,,K. Love makes free throw 1 of 2,0,7
22,1,9:20.0,,K. Love makes free throw 2 of 2,0,8
23,1,9:15.0,Toronto full timeout,,0,8
24,1,9:00.0,Turnover by D. DeRozan (bad pass; steal by L. James),,0,8
25,1,8:55.0,,K. Irving makes 2-pt layup from 1 ft (assist by L. James),0,10
26,1,8:31.0,Offensive rebound by A. Johnson,,0,10
27,1,8:30.0,A. Johnson misses 2-pt layup from 2 ft,,0,10
28,1,8:27.0,,Defensive rebound by K. Love,0,10
29,1,8:27.0,Offensive charge foul by L. James (drawn by T. Ross),,0,10
30,1,8:27.0,,Turnover by L. James (offensive foul),0,10
