,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:40.0,E. Brand misses 2-pt jump shot from 12 ft,,0,0
1,1,11:39.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:21.0,,Turnover by L. Deng (bad pass; steal by K. Korver),0,0
3,1,11:10.0,K. Bazemore misses 2-pt jump shot from 10 ft,,0,0
4,1,11:09.0,,Defensive rebound by H. Walker,0,0
5,1,11:03.0,,G. Dragić misses 2-pt jump shot from 11 ft,0,0
6,1,11:02.0,Defensive rebound by K. Bazemore,,0,0
7,1,10:56.0,K. Bazemore makes 2-pt layup from 1 ft,,2,0
8,1,10:35.0,,H. Walker misses 3-pt jump shot from 25 ft,2,0
9,1,10:34.0,,Offensive rebound by H. Whiteside,2,0
10,1,10:33.0,,H. Whiteside misses 2-pt tip-in at rim,2,0
11,1,10:32.0,,Offensive rebound by H. Whiteside,2,0
12,1,10:31.0,,H. Whiteside makes 2-pt tip-in at rim,2,2
13,1,10:22.0,E. Brand makes 2-pt jump shot from 15 ft (assist by D. Schröder),,4,2
14,1,10:09.0,,D. Wade misses 2-pt jump shot from 7 ft,4,2
15,1,10:08.0,Defensive rebound by P. Millsap,,4,2
16,1,10:01.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by K. Korver),,7,2
17,1,9:46.0,,Turnover by L. Deng (lost ball; steal by K. Bazemore),7,2
18,1,9:35.0,K. Korver misses 2-pt jump shot from 18 ft,,7,2
19,1,9:34.0,,Defensive rebound by H. Whiteside,7,2
20,1,9:21.0,,H. Walker misses 3-pt jump shot from 25 ft,7,2
21,1,9:20.0,,Offensive rebound by H. Whiteside,7,2
22,1,9:14.0,,Personal foul by P. Millsap (drawn by D. Wade),7,2
23,1,9:10.0,,Turnover by D. Wade (bad pass),7,2
24,1,9:03.0,Personal foul by H. Walker (drawn by P. Millsap),,7,2
25,1,8:46.0,K. Bazemore makes 3-pt jump shot from 23 ft,,10,2
26,1,8:31.0,,Turnover by D. Wade (lost ball),10,2
27,1,8:16.0,D. Schröder misses 2-pt layup from 1 ft,,10,2
28,1,8:15.0,Offensive rebound by E. Brand,,10,2
29,1,8:11.0,Turnover by K. Korver (bad pass; steal by G. Dragić),,10,2
30,1,8:07.0,,D. Wade makes 2-pt layup at rim (assist by G. Dragić),10,4
31,1,7:46.0,Turnover by D. Schröder (bad pass; steal by D. Wade),,10,4
32,1,7:42.0,,H. Walker makes 2-pt dunk at rim (assist by D. Wade),10,6
33,1,7:19.0,P. Millsap makes 2-pt layup from 1 ft (assist by E. Brand),,12,6
34,1,6:57.0,,H. Walker makes 3-pt jump shot from 24 ft (assist by D. Wade),12,9
35,1,6:41.0,P. Millsap misses 2-pt jump shot from 17 ft,,12,9
36,1,6:40.0,,Defensive rebound by H. Whiteside,12,9
37,1,6:34.0,,Turnover by D. Wade (lost ball; steal by K. Korver),12,9
38,1,6:21.0,E. Brand misses 2-pt jump shot from 7 ft,,12,9
39,1,6:20.0,,Defensive rebound by H. Whiteside,12,9
40,1,6:13.0,,Personal foul by E. Brand (drawn by H. Whiteside),12,9
41,1,6:13.0,,M. Chalmers enters the game for G. Dragić,12,9
42,1,6:13.0,,M. Beasley enters the game for H. Walker,12,9
43,1,6:13.0,J. Jenkins enters the game for K. Korver,,12,9
44,1,6:13.0,,Turnover by L. Deng (bad pass),12,9
45,1,6:02.0,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),,14,9
46,1,6:02.0,Shooting foul by M. Beasley (drawn by P. Millsap),,14,9
47,1,6:02.0,M. Muscala enters the game for E. Brand,,14,9
48,1,6:02.0,P. Millsap makes free throw 1 of 1,,15,9
49,1,5:52.0,,D. Wade misses 2-pt layup at rim (block by M. Muscala),15,9
50,1,5:51.0,Defensive rebound by J. Jenkins,,15,9
51,1,5:46.0,J. Jenkins misses 3-pt jump shot from 25 ft,,15,9
52,1,5:45.0,,Defensive rebound by H. Whiteside,15,9
53,1,5:23.0,,M. Chalmers misses 2-pt layup from 4 ft,15,9
54,1,5:22.0,Defensive rebound by K. Bazemore,,15,9
55,1,4:59.0,Turnover by J. Jenkins (traveling),,15,9
56,1,4:59.0,,Miami full timeout,15,9
57,1,4:45.0,,Personal foul by K. Bazemore (drawn by D. Wade),15,9
58,1,4:34.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Chalmers),15,12
59,1,4:11.0,M. Muscala misses 2-pt jump shot from 12 ft,,15,12
60,1,4:10.0,,Defensive rebound by L. Deng,15,12
61,1,3:55.0,,L. Deng misses 3-pt jump shot from 25 ft,15,12
62,1,3:54.0,Defensive rebound by J. Jenkins,,15,12
63,1,3:44.0,D. Schröder misses 2-pt jump shot from 17 ft,,15,12
64,1,3:43.0,,Defensive rebound by H. Whiteside,15,12
65,1,3:33.0,,M. Beasley misses 2-pt layup from 1 ft (block by M. Muscala),15,12
66,1,3:31.0,,Offensive rebound by L. Deng,15,12
67,1,3:24.0,,D. Wade misses 2-pt jump shot from 13 ft,15,12
68,1,3:23.0,Defensive rebound by D. Schröder,,15,12
69,1,3:23.0,Personal foul by D. Wade (drawn by D. Schröder),,15,12
70,1,3:23.0,,G. Dragić enters the game for D. Wade,15,12
71,1,3:23.0,Atlanta full timeout,,15,12
72,1,3:23.0,M. Scott enters the game for K. Bazemore,,15,12
73,1,3:23.0,S. Mack enters the game for D. Schröder,,15,12
74,1,3:09.0,J. Jenkins makes 2-pt jump shot from 20 ft (assist by M. Muscala),,17,12
75,1,2:54.0,,Turnover by M. Beasley (traveling),17,12
76,1,2:31.0,M. Muscala misses 2-pt jump shot from 19 ft,,17,12
77,1,2:30.0,Offensive rebound by Team,,17,12
78,1,2:30.0,Turnover by Team (shot clock),,17,12
79,1,2:13.0,,G. Dragić misses 3-pt jump shot from 24 ft,17,12
80,1,2:12.0,Defensive rebound by M. Scott,,17,12
81,1,1:48.0,Turnover by Team (shot clock),,17,12
82,1,1:28.0,,M. Chalmers misses 2-pt layup from 1 ft (block by M. Muscala),17,12
83,1,1:27.0,Defensive rebound by J. Jenkins,,17,12
84,1,1:09.0,S. Mack misses 2-pt layup from 3 ft,,17,12
85,1,1:08.0,Offensive rebound by M. Scott,,17,12
86,1,0:59.0,M. Muscala misses 3-pt jump shot from 23 ft,,17,12
87,1,0:58.0,,Defensive rebound by M. Beasley,17,12
88,1,0:39.0,,M. Chalmers misses 3-pt jump shot from 23 ft,17,12
89,1,0:38.0,,Offensive rebound by H. Whiteside,17,12
90,1,0:30.0,,G. Dragić misses 2-pt layup from 1 ft,17,12
91,1,0:28.0,Defensive rebound by J. Jenkins,,17,12
92,1,0:26.0,Turnover by J. Jenkins (bad pass; steal by M. Chalmers),,17,12
93,1,0:06.0,,G. Dragić misses 3-pt jump shot from 23 ft,17,12
94,1,0:05.0,Defensive rebound by Team,,17,12
95,1,0:05.0,,U. Haslem enters the game for H. Whiteside,17,12
96,1,0:05.0,D. Schröder enters the game for J. Jenkins,,17,12
97,1,0:00.0,M. Muscala misses 3-pt jump shot from 25 ft,,17,12
98,1,0:00.0,Offensive rebound by Team,,17,12
99,2,11:49.0,,M. Beasley misses 2-pt jump shot from 12 ft,17,12
100,2,11:48.0,Defensive rebound by J. Jenkins,,17,12
101,2,11:35.0,J. Jenkins makes 3-pt jump shot from 23 ft (assist by S. Mack),,20,12
102,2,11:20.0,,Shooting foul by J. Jenkins (drawn by U. Haslem),20,12
103,2,11:20.0,,U. Haslem makes free throw 1 of 2,20,13
104,2,11:20.0,,U. Haslem makes free throw 2 of 2,20,14
105,2,11:12.0,K. Korver misses 3-pt jump shot from 25 ft,,20,14
106,2,11:11.0,,Defensive rebound by U. Haslem,20,14
107,2,11:02.0,,H. Walker misses 3-pt jump shot from 24 ft (block by K. Korver),20,14
108,2,11:01.0,Defensive rebound by J. Jenkins,,20,14
109,2,10:53.0,S. Mack misses 2-pt jump shot from 5 ft,,20,14
110,2,10:52.0,,Defensive rebound by H. Walker,20,14
111,2,10:39.0,,Turnover by M. Beasley (lost ball; steal by J. Jenkins),20,14
112,2,10:35.0,S. Mack misses 3-pt jump shot from 24 ft,,20,14
113,2,10:34.0,,Defensive rebound by Team,20,14
114,2,10:13.0,,M. Beasley misses 3-pt jump shot from 24 ft,20,14
115,2,10:12.0,Defensive rebound by J. Jenkins,,20,14
116,2,9:47.0,M. Scott makes 2-pt jump shot from 4 ft (assist by E. Brand),,22,14
117,2,9:30.0,,H. Walker misses 3-pt jump shot from 24 ft,22,14
118,2,9:29.0,Defensive rebound by M. Scott,,22,14
119,2,9:21.0,K. Korver misses 3-pt jump shot from 24 ft,,22,14
120,2,9:20.0,,Defensive rebound by U. Haslem,22,14
121,2,9:16.0,,Miami full timeout,22,14
122,2,9:16.0,,L. Deng enters the game for M. Beasley,22,14
123,2,8:57.0,,H. Walker misses 2-pt jump shot from 7 ft,22,14
124,2,8:56.0,Defensive rebound by E. Brand,,22,14
125,2,8:49.0,M. Scott makes 2-pt dunk at rim (assist by K. Korver),,24,14
126,2,8:31.0,,Turnover by L. Deng (lost ball; steal by K. Korver),24,14
127,2,8:26.0,K. Korver makes 3-pt jump shot from 25 ft,,27,14
128,2,8:07.0,,Shooting foul by J. Jenkins (drawn by M. Chalmers),27,14
129,2,8:07.0,,M. Chalmers misses free throw 1 of 3,27,14
130,2,8:07.0,,Offensive rebound by Team,27,14
131,2,8:07.0,,M. Chalmers makes free throw 2 of 3,27,15
132,2,8:07.0,D. Schröder enters the game for S. Mack,,27,15
133,2,8:07.0,,D. Wade enters the game for H. Walker,27,15
134,2,8:07.0,K. Bazemore enters the game for J. Jenkins,,27,15
135,2,8:07.0,,M. Chalmers makes free throw 3 of 3,27,16
136,2,7:50.0,K. Korver misses 3-pt jump shot from 24 ft,,27,16
137,2,7:49.0,,Defensive rebound by U. Haslem,27,16
138,2,7:35.0,,L. Deng misses 2-pt layup at rim,27,16
139,2,7:34.0,Defensive rebound by E. Brand,,27,16
140,2,7:27.0,D. Schröder misses 2-pt layup at rim,,27,16
141,2,7:26.0,Offensive rebound by E. Brand,,27,16
142,2,7:25.0,E. Brand makes 2-pt jump shot from 4 ft,,29,16
143,2,7:09.0,,Turnover by L. Deng (traveling),29,16
144,2,7:09.0,,H. Whiteside enters the game for U. Haslem,29,16
145,2,6:56.0,M. Scott makes 2-pt layup from 2 ft (assist by K. Korver),,31,16
146,2,6:56.0,,Miami full timeout,31,16
147,2,6:34.0,,D. Wade misses 2-pt jump shot from 10 ft,31,16
148,2,6:33.0,,Offensive rebound by G. Dragić,31,16
149,2,6:30.0,,M. Chalmers makes 3-pt jump shot from 24 ft (assist by G. Dragić),31,19
150,2,6:16.0,Turnover by D. Schröder (bad pass; steal by M. Chalmers),,31,19
151,2,6:10.0,,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),31,21
152,2,6:10.0,Atlanta full timeout,,31,21
153,2,6:10.0,J. Jenkins enters the game for E. Brand,,31,21
154,2,6:10.0,P. Millsap enters the game for K. Korver,,31,21
155,2,5:57.0,J. Jenkins makes 3-pt jump shot from 25 ft (assist by D. Schröder),,34,21
156,2,5:32.0,,M. Chalmers misses 2-pt jump shot from 16 ft,34,21
157,2,5:31.0,,Offensive rebound by D. Wade,34,21
158,2,5:30.0,,D. Wade misses 2-pt tip-in at rim,34,21
159,2,5:29.0,Defensive rebound by P. Millsap,,34,21
160,2,5:22.0,P. Millsap misses 3-pt jump shot from 25 ft,,34,21
161,2,5:21.0,,Defensive rebound by H. Whiteside,34,21
162,2,5:10.0,,Shooting foul by P. Millsap (drawn by D. Wade),34,21
163,2,5:10.0,,D. Wade makes free throw 1 of 2,34,22
164,2,5:10.0,M. Muscala enters the game for M. Scott,,34,22
165,2,5:10.0,,H. Walker enters the game for G. Dragić,34,22
166,2,5:10.0,,D. Wade makes free throw 2 of 2,34,23
167,2,4:53.0,D. Schröder misses 2-pt jump shot from 19 ft,,34,23
168,2,4:52.0,,Defensive rebound by M. Chalmers,34,23
169,2,4:42.0,,H. Walker misses 2-pt jump shot from 6 ft,34,23
170,2,4:41.0,,Offensive rebound by H. Whiteside,34,23
171,2,4:38.0,,H. Whiteside makes 2-pt hook shot from 1 ft,34,25
172,2,4:31.0,Turnover by D. Schröder (bad pass; steal by M. Chalmers),,34,25
173,2,4:29.0,,M. Chalmers misses 2-pt layup from 1 ft,34,25
174,2,4:28.0,,Offensive rebound by Team,34,25
175,2,4:12.0,,H. Whiteside misses 2-pt jump shot from 5 ft,34,25
176,2,4:11.0,,Offensive rebound by H. Whiteside,34,25
177,2,4:08.0,,H. Whiteside makes 2-pt jump shot from 4 ft,34,27
178,2,3:47.0,J. Jenkins makes 3-pt jump shot from 25 ft (assist by D. Schröder),,37,27
179,2,3:31.0,,H. Walker misses 2-pt layup from 2 ft,37,27
180,2,3:30.0,Defensive rebound by Team,,37,27
181,2,3:30.0,,Loose ball foul by H. Walker (drawn by P. Millsap),37,27
182,2,3:14.0,Turnover by K. Bazemore (bad pass),,37,27
183,2,2:55.0,,Turnover by L. Deng (bad pass; steal by P. Millsap),37,27
184,2,2:50.0,K. Bazemore makes 2-pt dunk at rim (assist by P. Millsap),,39,27
185,2,2:40.0,,H. Walker misses 2-pt layup from 1 ft (block by M. Muscala),39,27
186,2,2:39.0,,Offensive rebound by H. Whiteside,39,27
187,2,2:38.0,,H. Whiteside makes 2-pt layup from 1 ft,39,29
188,2,2:30.0,D. Schröder makes 2-pt jump shot from 18 ft,,41,29
189,2,2:10.0,,D. Wade makes 2-pt jump shot from 8 ft (assist by L. Deng),41,31
190,2,1:59.0,Turnover by P. Millsap (bad pass),,41,31
191,2,1:59.0,K. Korver enters the game for J. Jenkins,,41,31
