,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
0,1,11:51.0,Turnover by M. Carter-Williams (step out of bounds),,0,0
1,1,11:28.0,,R. Kelly makes 2-pt jump shot from 12 ft (assist by W. Ellington),0,2
2,1,11:08.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,0,2
3,1,11:06.0,,Defensive rebound by C. Boozer,0,2
4,1,11:00.0,,C. Boozer makes 2-pt jump shot from 3 ft (assist by J. Clarkson),0,4
5,1,11:00.0,,Shooting foul by Z. Pachulia (drawn by C. Boozer),0,4
6,1,11:00.0,,C. Boozer misses free throw 1 of 1,0,4
7,1,10:59.0,Defensive rebound by Z. Pachulia,,0,4
8,1,10:48.0,K. Middleton misses 2-pt jump shot from 17 ft,,0,4
9,1,10:46.0,,Defensive rebound by C. Boozer,0,4
10,1,10:38.0,,R. Sacre makes 2-pt hook shot from 3 ft (assist by J. Clarkson),0,6
11,1,10:22.0,Shooting foul by R. Kelly (drawn by G. Antetokounmpo),,0,6
12,1,10:22.0,G. Antetokounmpo misses free throw 1 of 2,,0,6
13,1,10:22.0,Offensive rebound by Team,,0,6
14,1,10:22.0,G. Antetokounmpo misses free throw 2 of 2,,0,6
15,1,10:20.0,,Defensive rebound by C. Boozer,0,6
16,1,10:03.0,,R. Kelly misses 3-pt jump shot from 24 ft,0,6
17,1,10:02.0,Defensive rebound by K. Middleton,,0,6
18,1,9:52.0,K. Middleton misses 2-pt jump shot from 13 ft (block by C. Boozer),,0,6
19,1,9:50.0,Offensive rebound by K. Middleton,,0,6
20,1,9:45.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,0,6
21,1,9:43.0,Offensive rebound by M. Carter-Williams,,0,6
22,1,9:31.0,Turnover by M. Carter-Williams (lost ball; steal by R. Sacre),,0,6
23,1,9:11.0,,C. Boozer misses 2-pt jump shot from 12 ft,0,6
24,1,9:11.0,,Offensive rebound by R. Sacre,0,6
25,1,9:11.0,,Shooting foul by K. Middleton (drawn by R. Sacre),0,6
26,1,9:11.0,,R. Sacre makes free throw 1 of 2,0,7
27,1,9:11.0,,R. Sacre misses free throw 2 of 2,0,7
28,1,9:10.0,Defensive rebound by E. İlyasova,,0,7
29,1,8:47.0,E. İlyasova misses 3-pt jump shot from 23 ft,,0,7
30,1,8:46.0,,Defensive rebound by R. Kelly,0,7
31,1,8:40.0,,R. Kelly misses 3-pt jump shot from 24 ft,0,7
32,1,8:39.0,Defensive rebound by K. Middleton,,0,7
33,1,8:36.0,Shooting foul by W. Ellington (drawn by G. Antetokounmpo),,0,7
34,1,8:36.0,G. Antetokounmpo makes free throw 1 of 2,,1,7
35,1,8:36.0,G. Antetokounmpo makes free throw 2 of 2,,2,7
36,1,8:12.0,,W. Ellington misses 2-pt jump shot from 15 ft,2,7
37,1,8:11.0,Defensive rebound by Z. Pachulia,,2,7
38,1,7:52.0,M. Carter-Williams makes 2-pt layup from 2 ft,,4,7
39,1,7:37.0,,W. Ellington misses 3-pt jump shot from 25 ft,4,7
40,1,7:36.0,Defensive rebound by K. Middleton,,4,7
41,1,7:36.0,,Loose ball foul by R. Sacre (drawn by K. Middleton),4,7
42,1,7:27.0,Personal foul by J. Clarkson (drawn by M. Carter-Williams),,4,7
43,1,7:27.0,Official timeout,,4,7
44,1,7:20.0,K. Middleton misses 3-pt jump shot from 24 ft,,4,7
45,1,7:19.0,,Defensive rebound by R. Sacre,4,7
46,1,7:13.0,,R. Kelly makes 2-pt layup from 2 ft (assist by J. Clarkson),4,9
47,1,7:03.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,4,9
48,1,7:02.0,,Defensive rebound by R. Sacre,4,9
49,1,6:41.0,,Shooting foul by M. Carter-Williams (drawn by R. Kelly),4,9
50,1,6:41.0,,R. Kelly misses free throw 1 of 2,4,9
51,1,6:41.0,,Offensive rebound by Team,4,9
52,1,6:41.0,,R. Kelly makes free throw 2 of 2,4,10
53,1,6:30.0,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Middleton),,6,10
54,1,6:13.0,,R. Sacre misses 2-pt jump shot from 4 ft (block by G. Antetokounmpo),6,10
55,1,6:11.0,Defensive rebound by E. İlyasova,,6,10
56,1,6:06.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,6,10
57,1,6:04.0,,Defensive rebound by R. Kelly,6,10
58,1,5:54.0,,Offensive foul by C. Boozer (drawn by E. İlyasova),6,10
59,1,5:54.0,,Turnover by C. Boozer (offensive foul),6,10
60,1,5:54.0,,LA Lakers full timeout,6,10
61,1,5:54.0,J. Bayless enters the game for M. Carter-Williams,,6,10
62,1,5:54.0,,J. Lin enters the game for W. Ellington,6,10
63,1,5:43.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,6,10
64,1,5:41.0,,Defensive rebound by J. Clarkson,6,10
65,1,5:29.0,,Turnover by R. Kelly (bad pass),6,10
66,1,5:11.0,E. İlyasova misses 2-pt jump shot from 20 ft,,6,10
67,1,5:10.0,,Defensive rebound by J. Clarkson,6,10
68,1,5:05.0,,J. Clarkson makes 2-pt jump shot from 16 ft,6,12
69,1,4:45.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,6,12
70,1,4:44.0,Offensive rebound by E. İlyasova,,6,12
71,1,4:35.0,Turnover by G. Antetokounmpo (lost ball; steal by C. Boozer),,6,12
72,1,4:30.0,,C. Boozer makes 2-pt layup from 1 ft (assist by J. Clarkson),6,14
73,1,4:30.0,Milwaukee full timeout,,6,14
74,1,4:30.0,J. Dudley enters the game for G. Antetokounmpo,,6,14
75,1,4:30.0,J. Henson enters the game for Z. Pachulia,,6,14
76,1,4:30.0,,E. Davis enters the game for C. Boozer,6,14
77,1,4:30.0,,J. Hill enters the game for R. Sacre,6,14
78,1,4:17.0,J. Bayless misses 2-pt jump shot from 7 ft,,6,14
79,1,4:16.0,,Defensive rebound by J. Hill,6,14
80,1,3:52.0,,J. Hill misses 2-pt jump shot from 15 ft,6,14
81,1,3:51.0,,Offensive rebound by E. Davis,6,14
82,1,3:46.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by E. Davis),6,16
83,1,3:27.0,Shooting foul by J. Lin (drawn by E. İlyasova),,6,16
84,1,3:27.0,E. İlyasova makes free throw 1 of 2,,7,16
85,1,3:27.0,,W. Johnson enters the game for R. Kelly,7,16
86,1,3:27.0,E. İlyasova makes free throw 2 of 2,,8,16
87,1,3:17.0,,Personal foul by J. Bayless (drawn by J. Lin),8,16
88,1,3:05.0,,J. Hill misses 2-pt hook shot from 6 ft,8,16
89,1,3:04.0,Defensive rebound by E. İlyasova,,8,16
90,1,2:55.0,J. Bayless misses 3-pt jump shot from 25 ft,,8,16
91,1,2:53.0,,Defensive rebound by J. Clarkson,8,16
92,1,2:46.0,,J. Clarkson misses 2-pt layup from 2 ft,8,16
93,1,2:45.0,Defensive rebound by J. Henson,,8,16
94,1,2:39.0,K. Middleton makes 2-pt layup from 1 ft,,10,16
95,1,2:22.0,,J. Lin makes 3-pt jump shot from 22 ft (assist by W. Johnson),10,19
96,1,2:03.0,K. Middleton makes 2-pt layup from 1 ft,,12,19
97,1,2:03.0,Violation by Team (delay of game),,12,19
98,1,1:52.0,,Turnover by E. Davis (lost ball),12,19
99,1,1:34.0,K. Middleton misses 2-pt jump shot from 8 ft,,12,19
100,1,1:33.0,Offensive rebound by K. Middleton,,12,19
101,1,1:30.0,K. Middleton misses 2-pt layup from 1 ft,,12,19
102,1,1:28.0,Offensive rebound by J. Henson,,12,19
103,1,1:26.0,J. Henson makes 2-pt tip-in at rim,,14,19
104,1,1:13.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by J. Lin),14,22
105,1,0:50.0,J. Henson misses 2-pt jump shot from 3 ft,,14,22
106,1,0:50.0,Offensive rebound by E. İlyasova,,14,22
107,1,0:48.0,J. Henson makes 2-pt tip-in from 1 ft,,16,22
108,1,0:37.0,,J. Lin makes 2-pt layup from 2 ft (assist by J. Hill),16,24
109,1,0:32.0,Shooting foul by J. Hill (drawn by E. İlyasova),,16,24
110,1,0:32.0,E. İlyasova makes free throw 1 of 2,,17,24
111,1,0:32.0,E. İlyasova makes free throw 2 of 2,,18,24
112,1,0:09.0,,W. Johnson misses 3-pt jump shot from 23 ft,18,24
113,1,0:07.0,Defensive rebound by E. İlyasova,,18,24
114,1,0:00.0,E. İlyasova misses 3-pt jump shot from 25 ft,,18,24
115,1,0:00.0,Offensive rebound by Team,,18,24
116,2,11:41.0,,J. Hill misses 2-pt jump shot from 20 ft,18,24
117,2,11:40.0,Defensive rebound by G. Antetokounmpo,,18,24
118,2,11:32.0,Turnover by G. Antetokounmpo (bad pass; steal by E. Davis),,18,24
119,2,11:26.0,,Personal foul by J. Henson (drawn by E. Davis),18,24
120,2,11:20.0,,J. Hill makes 2-pt dunk at rim (assist by J. Lin),18,26
121,2,11:06.0,Personal foul by W. Johnson (drawn by J. Henson),,18,26
122,2,10:54.0,Turnover by G. Antetokounmpo (bad pass),,18,26
123,2,10:37.0,,J. Lin makes 2-pt layup at rim,18,28
124,2,10:24.0,J. Henson misses 2-pt jump shot from 3 ft (block by E. Davis),,18,28
125,2,10:22.0,,Defensive rebound by J. Lin,18,28
126,2,10:06.0,,Turnover by W. Johnson (bad pass; steal by T. Ennis),18,28
127,2,10:00.0,J. Henson makes 2-pt layup from 2 ft (assist by T. Ennis),,20,28
128,2,9:42.0,,Personal foul by J. Henson (drawn by J. Hill),20,28
129,2,9:42.0,Z. Pachulia enters the game for J. Henson,,20,28
130,2,9:36.0,,W. Johnson misses 2-pt jump shot from 17 ft,20,28
131,2,9:35.0,Defensive rebound by T. Ennis,,20,28
132,2,9:15.0,J. Bayless misses 2-pt jump shot from 19 ft,,20,28
133,2,9:13.0,,Defensive rebound by W. Johnson,20,28
134,2,9:05.0,,J. Hill misses 2-pt jump shot from 12 ft,20,28
135,2,9:04.0,Defensive rebound by T. Ennis,,20,28
136,2,8:57.0,T. Ennis makes 2-pt layup from 1 ft,,22,28
137,2,8:39.0,,J. Lin misses 2-pt jump shot from 20 ft,22,28
138,2,8:36.0,,Offensive rebound by E. Davis,22,28
139,2,8:33.0,,E. Davis makes 2-pt layup from 1 ft,22,30
140,2,8:09.0,T. Ennis misses 2-pt layup from 2 ft,,22,30
141,2,8:08.0,,Defensive rebound by J. Lin,22,30
142,2,8:08.0,,Personal foul by Z. Pachulia (drawn by J. Lin),22,30
143,2,8:08.0,Official timeout,,22,30
