,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:33.0,,P. Millsap misses 2-pt layup from 1 ft,0,0
1,1,11:31.0,Defensive rebound by J. Sampson,,0,0
2,1,11:21.0,N. Noel misses 2-pt hook shot from 5 ft,,0,0
3,1,11:20.0,,Defensive rebound by P. Millsap,0,0
4,1,11:10.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by A. Horford),0,3
5,1,10:44.0,J. Sampson misses 2-pt jump shot from 19 ft,,0,3
6,1,10:41.0,,Defensive rebound by P. Millsap,0,3
7,1,10:36.0,,P. Millsap misses 3-pt jump shot from 25 ft,0,3
8,1,10:34.0,Defensive rebound by J. Sampson,,0,3
9,1,10:23.0,Turnover by N. Noel (lost ball),,0,3
10,1,10:10.0,,A. Horford misses 2-pt hook shot from 5 ft,0,3
11,1,10:08.0,Defensive rebound by N. Noel,,0,3
12,1,9:52.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by P. Millsap),,0,3
13,1,9:51.0,Offensive rebound by Team,,0,3
14,1,9:44.0,R. Covington misses 2-pt jump shot from 5 ft,,0,3
15,1,9:43.0,,Defensive rebound by A. Horford,0,3
16,1,9:20.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by K. Bazemore),0,6
17,1,8:59.0,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by J. Sampson),,3,6
18,1,8:53.0,,Turnover by J. Teague (bad pass; steal by L. Mbah a Moute),3,6
19,1,8:44.0,R. Covington makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,6,6
20,1,8:34.0,,J. Teague misses 3-pt jump shot from 23 ft,6,6
21,1,8:32.0,Defensive rebound by N. Noel,,6,6
22,1,8:24.0,Turnover by M. Carter-Williams (bad pass; steal by J. Teague),,6,6
23,1,8:18.0,,A. Horford makes 2-pt jump shot from 4 ft (assist by P. Millsap),6,8
24,1,7:58.0,N. Noel misses 2-pt layup at rim,,6,8
25,1,7:57.0,Offensive rebound by L. Mbah a Moute,,6,8
26,1,7:56.0,L. Mbah a Moute makes 2-pt layup at rim,,8,8
27,1,7:41.0,,Personal foul by L. Mbah a Moute (drawn by P. Millsap),8,8
28,1,7:41.0,H. Thompson enters the game for J. Sampson,,8,8
29,1,7:34.0,,A. Horford misses 2-pt jump shot from 19 ft,8,8
30,1,7:33.0,Defensive rebound by L. Mbah a Moute,,8,8
31,1,7:25.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,8,8
32,1,7:23.0,,Defensive rebound by K. Bazemore,8,8
33,1,7:17.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Bazemore),8,10
34,1,6:52.0,N. Noel makes 2-pt layup from 1 ft (assist by R. Covington),,10,10
35,1,6:31.0,,Personal foul by L. Mbah a Moute (drawn by P. Millsap),10,10
36,1,6:31.0,H. Sims enters the game for N. Noel,,10,10
37,1,6:31.0,J. Grant enters the game for L. Mbah a Moute,,10,10
38,1,6:25.0,,J. Teague misses 2-pt jump shot from 3 ft,10,10
39,1,6:24.0,,Offensive rebound by P. Millsap,10,10
40,1,6:23.0,,Personal foul by M. Carter-Williams (drawn by P. Millsap),10,10
41,1,6:23.0,K. McDaniels enters the game for R. Covington,,10,10
42,1,6:23.0,,Atlanta full timeout,10,10
43,1,6:15.0,,Shooting foul by J. Grant (drawn by P. Millsap),10,10
44,1,6:15.0,,P. Millsap makes free throw 1 of 2,10,11
45,1,6:15.0,,E. Brand enters the game for A. Horford,10,11
46,1,6:15.0,,D. Schröder enters the game for K. Korver,10,11
47,1,6:15.0,,P. Millsap makes free throw 2 of 2,10,12
48,1,5:51.0,Turnover by H. Sims (lost ball; steal by J. Teague),,10,12
49,1,5:35.0,,K. Bazemore misses 2-pt layup from 1 ft,10,12
50,1,5:33.0,,Offensive rebound by K. Bazemore,10,12
51,1,5:29.0,,J. Teague misses 3-pt jump shot from 25 ft,10,12
52,1,5:27.0,Defensive rebound by H. Thompson,,10,12
53,1,5:23.0,,Offensive charge foul by K. McDaniels (drawn by E. Brand),10,12
