,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
0,1,11:42.0,A. Davis makes 2-pt jump shot from 16 ft (assist by E. Gordon),,2,0
1,1,11:29.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,2,0
2,1,11:27.0,Defensive rebound by A. Davis,,2,0
3,1,11:12.0,D. Cunningham makes 2-pt dunk at rim (assist by T. Evans),,4,0
4,1,10:59.0,,B. Jennings makes 2-pt jump shot from 5 ft (assist by G. Monroe),4,2
5,1,10:37.0,E. Gordon makes 2-pt jump shot from 4 ft,,6,2
6,1,10:17.0,,B. Jennings misses 2-pt layup from 1 ft,6,2
7,1,10:16.0,Defensive rebound by Ö. Aşık,,6,2
8,1,9:52.0,T. Evans misses 3-pt jump shot from 27 ft,,6,2
9,1,9:50.0,Offensive rebound by Ö. Aşık,,6,2
10,1,9:47.0,Turnover by Ö. Aşık (lost ball; steal by A. Drummond),,6,2
11,1,9:41.0,,A. Drummond misses 2-pt layup at rim,6,2
12,1,9:41.0,Defensive rebound by Team,,6,2
13,1,9:41.0,,Loose ball foul by A. Drummond (drawn by A. Davis),6,2
14,1,9:27.0,E. Gordon misses 2-pt jump shot from 8 ft,,6,2
15,1,9:26.0,Offensive rebound by Team,,6,2
16,1,9:11.0,T. Evans misses 2-pt layup at rim,,6,2
17,1,9:09.0,Offensive rebound by Ö. Aşık,,6,2
18,1,9:09.0,Ö. Aşık makes 2-pt layup at rim,,8,2
19,1,8:50.0,,G. Monroe misses 2-pt hook shot from 6 ft (block by A. Davis),8,2
20,1,8:48.0,Defensive rebound by T. Evans,,8,2
21,1,8:32.0,A. Davis makes 2-pt hook shot from 5 ft,,10,2
22,1,8:32.0,,Detroit full timeout,10,2
23,1,8:10.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by G. Monroe),10,4
24,1,7:48.0,T. Evans makes 2-pt layup at rim (assist by D. Cunningham),,12,4
25,1,7:34.0,,A. Drummond misses 2-pt hook shot from 5 ft,12,4
26,1,7:31.0,,Offensive rebound by G. Monroe,12,4
27,1,7:31.0,,G. Monroe makes 2-pt layup from 1 ft,12,6
28,1,7:04.0,E. Gordon misses 3-pt jump shot from 25 ft,,12,6
29,1,7:03.0,,Defensive rebound by G. Monroe,12,6
30,1,6:59.0,,Turnover by K. Singler (lost ball; steal by E. Gordon),12,6
31,1,6:54.0,A. Davis makes 2-pt dunk at rim (assist by E. Gordon),,14,6
32,1,6:33.0,,K. Singler makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),14,8
33,1,6:17.0,Turnover by D. Cunningham (step out of bounds),,14,8
34,1,5:58.0,,Turnover by K. Caldwell-Pope (lost ball; steal by T. Evans),14,8
35,1,5:39.0,Ö. Aşık misses 2-pt layup at rim (block by K. Caldwell-Pope),,14,8
36,1,5:38.0,,Defensive rebound by G. Monroe,14,8
37,1,5:33.0,,B. Jennings misses 3-pt jump shot from 25 ft,14,8
38,1,5:32.0,Defensive rebound by D. Cunningham,,14,8
39,1,5:19.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),,17,8
40,1,5:06.0,R. Anderson enters the game for Ö. Aşık,,17,8
41,1,5:06.0,Q. Pondexter enters the game for T. Evans,,17,8
42,1,4:54.0,,G. Monroe makes 2-pt layup at rim (assist by K. Caldwell-Pope),17,10
43,1,4:33.0,E. Gordon misses 2-pt layup at rim,,17,10
44,1,4:33.0,,Defensive rebound by A. Drummond,17,10
45,1,4:33.0,Loose ball foul by D. Cunningham (drawn by A. Drummond),,17,10
46,1,4:19.0,,K. Singler misses 3-pt jump shot from 27 ft,17,10
47,1,4:17.0,Defensive rebound by R. Anderson,,17,10
48,1,4:09.0,Def 3 sec tech foul by K. Singler,,17,10
49,1,4:09.0,A. Davis makes technical free throw,,18,10
50,1,4:01.0,Turnover by E. Gordon (lost ball; steal by K. Singler),,18,10
51,1,3:56.0,,B. Jennings makes 2-pt layup at rim (assist by K. Singler),18,12
52,1,3:56.0,New Orleans full timeout,,18,12
53,1,3:56.0,,J. Meeks enters the game for A. Drummond,18,12
54,1,3:56.0,,J. Jerebko enters the game for K. Caldwell-Pope,18,12
55,1,3:37.0,Turnover by E. Gordon (lost ball; steal by B. Jennings),,18,12
56,1,3:15.0,,B. Jennings misses 3-pt jump shot from 26 ft,18,12
57,1,3:14.0,Defensive rebound by Q. Pondexter,,18,12
58,1,2:57.0,J. Fredette enters the game for D. Cunningham,,18,12
59,1,2:53.0,R. Anderson makes 2-pt jump shot from 19 ft (assist by Q. Pondexter),,20,12
60,1,2:31.0,,Turnover by J. Meeks (bad pass; steal by A. Davis),20,12
61,1,2:25.0,E. Gordon makes 2-pt layup from 1 ft,,22,12
62,1,2:08.0,,C. Butler enters the game for K. Singler,22,12
63,1,2:08.0,,D. Augustin enters the game for B. Jennings,22,12
64,1,2:01.0,,D. Augustin makes 2-pt layup at rim,22,14
65,1,1:47.0,E. Gordon misses 2-pt layup from 3 ft (block by G. Monroe),,22,14
66,1,1:46.0,Offensive rebound by E. Gordon,,22,14
67,1,1:37.0,J. Fredette misses 3-pt jump shot from 26 ft,,22,14
68,1,1:36.0,,Defensive rebound by G. Monroe,22,14
69,1,1:30.0,,Shooting foul by J. Fredette (drawn by D. Augustin),22,14
70,1,1:30.0,,D. Augustin makes free throw 1 of 2,22,15
71,1,1:30.0,T. Evans enters the game for E. Gordon,,22,15
72,1,1:30.0,,D. Augustin makes free throw 2 of 2,22,16
73,1,1:03.0,A. Davis misses 2-pt jump shot from 17 ft,,22,16
74,1,1:02.0,,Defensive rebound by G. Monroe,22,16
75,1,0:54.0,,J. Jerebko misses 3-pt jump shot from 25 ft,22,16
76,1,0:53.0,Defensive rebound by Q. Pondexter,,22,16
77,1,0:47.0,Personal foul by G. Monroe (drawn by A. Davis),,22,16
78,1,0:34.0,T. Evans misses 2-pt layup from 1 ft,,22,16
79,1,0:33.0,,Defensive rebound by G. Monroe,22,16
80,1,0:16.0,,G. Monroe makes 2-pt jump shot from 5 ft,22,18
81,1,0:03.0,T. Evans misses 2-pt layup from 2 ft (block by J. Jerebko),,22,18
82,1,0:01.0,,Defensive rebound by J. Jerebko,22,18
83,2,11:34.0,,J. Meeks misses 2-pt layup from 1 ft,22,18
84,2,11:32.0,Defensive rebound by Ö. Aşık,,22,18
85,2,11:15.0,R. Anderson makes 2-pt hook shot from 4 ft,,24,18
86,2,10:59.0,,J. Meeks makes 2-pt layup from 1 ft (assist by J. Jerebko),24,20
87,2,10:43.0,R. Anderson misses 2-pt layup from 1 ft,,24,20
88,2,10:42.0,,Defensive rebound by A. Drummond,24,20
89,2,10:36.0,,C. Butler misses 3-pt jump shot from 27 ft,24,20
90,2,10:35.0,Defensive rebound by Ö. Aşık,,24,20
91,2,10:12.0,Turnover by Team (shot clock),,24,20
92,2,9:58.0,,D. Augustin makes 2-pt layup at rim (assist by J. Meeks),24,22
93,2,9:39.0,T. Evans misses 2-pt jump shot from 20 ft,,24,22
94,2,9:38.0,Offensive rebound by Q. Pondexter,,24,22
95,2,9:29.0,Ö. Aşık makes 2-pt layup at rim (assist by Q. Pondexter),,26,22
96,2,9:09.0,,A. Drummond misses 2-pt jump shot from 6 ft,26,22
97,2,9:08.0,Defensive rebound by R. Anderson,,26,22
98,2,8:58.0,J. Fredette makes 2-pt jump shot from 5 ft,,28,22
99,2,8:41.0,,Turnover by D. Augustin (lost ball),28,22
100,2,8:41.0,Official timeout,,28,22
101,2,8:23.0,Shooting foul by J. Jerebko (drawn by R. Anderson),,28,22
102,2,8:23.0,R. Anderson makes free throw 1 of 2,,29,22
103,2,8:23.0,R. Anderson makes free throw 2 of 2,,30,22
104,2,8:13.0,,Personal foul by Ö. Aşık (drawn by A. Drummond),30,22
105,2,8:05.0,,D. Augustin misses 2-pt jump shot from 18 ft,30,22
106,2,8:04.0,Defensive rebound by Ö. Aşık,,30,22
107,2,7:53.0,J. Fredette makes 2-pt jump shot from 7 ft,,32,22
108,2,7:53.0,Shooting foul by D. Augustin (drawn by J. Fredette),,32,22
109,2,7:53.0,J. Fredette makes free throw 1 of 1,,33,22
110,2,7:33.0,,J. Jerebko misses 2-pt hook shot from 5 ft,33,22
111,2,7:30.0,Defensive rebound by T. Evans,,33,22
112,2,7:30.0,Shooting foul by C. Butler (drawn by T. Evans),,33,22
113,2,7:30.0,T. Evans makes free throw 1 of 2,,34,22
114,2,7:30.0,T. Evans makes free throw 2 of 2,,35,22
115,2,7:11.0,,C. Butler misses 2-pt jump shot from 19 ft,35,22
116,2,7:10.0,Defensive rebound by Team,,35,22
117,2,6:58.0,Shooting foul by D. Augustin (drawn by J. Fredette),,35,22
118,2,6:58.0,J. Fredette makes 2-pt jump shot from 14 ft,,37,22
119,2,6:58.0,,K. Caldwell-Pope enters the game for C. Butler,37,22
120,2,6:58.0,,B. Jennings enters the game for D. Augustin,37,22
121,2,6:58.0,,A. Tolliver enters the game for J. Jerebko,37,22
122,2,6:58.0,J. Fredette makes free throw 1 of 1,,38,22
123,2,6:37.0,,A. Tolliver misses 2-pt jump shot from 17 ft,38,22
124,2,6:35.0,Defensive rebound by Ö. Aşık,,38,22
125,2,6:26.0,J. Fredette misses 3-pt jump shot from 25 ft,,38,22
126,2,6:25.0,,Defensive rebound by K. Caldwell-Pope,38,22
127,2,6:20.0,,Personal foul by Q. Pondexter (drawn by B. Jennings),38,22
128,2,6:08.0,,A. Tolliver makes 2-pt layup at rim (assist by B. Jennings),38,24
129,2,5:50.0,Ö. Aşık misses 2-pt layup from 2 ft (block by A. Drummond),,38,24
130,2,5:50.0,Offensive rebound by Team,,38,24
