,QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,K. Thompson misses 2-pt jump shot from 3 ft,0,0
1,1,11:43.0,Defensive rebound by D. Favors,,0,0
2,1,11:28.0,Turnover by E. Freedom (3 sec),,0,0
3,1,11:03.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),0,3
4,1,10:44.0,Turnover by T. Burke (bad pass),,0,3
5,1,10:39.0,,H. Barnes misses 2-pt jump shot from 5 ft (block by D. Favors),0,3
6,1,10:39.0,,Offensive rebound by Team,0,3
7,1,10:35.0,,H. Barnes misses 3-pt jump shot from 23 ft,0,3
8,1,10:34.0,Defensive rebound by T. Burke,,0,3
9,1,10:13.0,D. Favors misses 2-pt jump shot from 7 ft (block by A. Bogut),,0,3
10,1,10:12.0,,Defensive rebound by A. Bogut,0,3
11,1,10:06.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by A. Bogut),0,6
12,1,9:55.0,T. Burke misses 2-pt jump shot from 14 ft,,0,6
13,1,9:54.0,,Defensive rebound by D. Green,0,6
14,1,9:46.0,,K. Thompson misses 3-pt jump shot from 25 ft,0,6
15,1,9:45.0,,Offensive rebound by H. Barnes,0,6
16,1,9:40.0,,S. Curry misses 3-pt jump shot from 26 ft,0,6
17,1,9:39.0,Defensive rebound by G. Hayward,,0,6
18,1,9:20.0,G. Hayward misses 2-pt jump shot from 18 ft,,0,6
19,1,9:19.0,,Defensive rebound by S. Curry,0,6
20,1,9:15.0,,D. Green makes 2-pt dunk at rim (assist by S. Curry),0,8
21,1,9:15.0,Utah full timeout,,0,8
22,1,9:01.0,G. Hayward misses 2-pt jump shot from 18 ft (block by H. Barnes),,0,8
23,1,9:00.0,,Defensive rebound by D. Green,0,8
24,1,8:56.0,,H. Barnes makes 2-pt dunk at rim (assist by D. Green),0,10
25,1,8:34.0,D. Favors misses 2-pt jump shot from 8 ft,,0,10
26,1,8:33.0,,Defensive rebound by S. Curry,0,10
27,1,8:28.0,,S. Curry misses 2-pt jump shot from 17 ft,0,10
28,1,8:26.0,Defensive rebound by G. Hayward,,0,10
29,1,8:21.0,Turnover by E. Freedom (lost ball),,0,10
30,1,8:07.0,,H. Barnes makes 2-pt hook shot from 6 ft (assist by S. Curry),0,12
31,1,7:53.0,E. Freedom makes 2-pt jump shot from 16 ft (assist by T. Burke),,2,12
32,1,7:46.0,,D. Green misses 3-pt jump shot from 26 ft,2,12
33,1,7:44.0,Defensive rebound by Team,,2,12
34,1,7:34.0,D. Favors misses 2-pt jump shot from 3 ft,,2,12
35,1,7:33.0,,Defensive rebound by Team,2,12
36,1,7:31.0,,Turnover by S. Curry (bad pass; steal by D. Favors),2,12
37,1,7:18.0,A. Burks misses 2-pt jump shot from 7 ft,,2,12
