,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
0,1,11:42.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by T. Lawson),0,2
1,1,11:28.0,P. Gasol makes 2-pt hook shot from 4 ft (assist by D. Rose),,2,2
2,1,11:13.0,,W. Chandler misses 2-pt jump shot from 4 ft,2,2
3,1,11:11.0,Defensive rebound by P. Gasol,,2,2
4,1,11:04.0,D. Rose misses 3-pt jump shot from 25 ft (block by T. Lawson),,2,2
5,1,11:01.0,,Defensive rebound by T. Lawson,2,2
6,1,10:57.0,,T. Lawson makes 2-pt layup at rim,2,4
7,1,10:38.0,P. Gasol misses 2-pt jump shot from 17 ft,,2,4
8,1,10:36.0,,Defensive rebound by K. Faried,2,4
9,1,10:25.0,,W. Chandler makes 3-pt jump shot from 23 ft (assist by T. Lawson),2,7
10,1,10:08.0,J. Butler makes 2-pt jump shot from 18 ft (assist by D. Rose),,4,7
11,1,9:51.0,,K. Faried makes 2-pt jump shot from 15 ft (assist by T. Lawson),4,9
12,1,9:34.0,J. Butler makes 2-pt jump shot from 18 ft (assist by D. Rose),,6,9
13,1,9:20.0,,T. Mozgov makes 2-pt jump shot from 16 ft (assist by T. Lawson),6,11
14,1,8:53.0,P. Gasol makes 2-pt jump shot from 11 ft,,8,11
15,1,8:28.0,,T. Lawson misses 2-pt jump shot from 14 ft,8,11
16,1,8:26.0,Defensive rebound by M. Dunleavy,,8,11
17,1,8:17.0,D. Rose misses 3-pt jump shot from 25 ft,,8,11
18,1,8:16.0,,Defensive rebound by A. Afflalo,8,11
19,1,8:13.0,,W. Chandler makes 2-pt dunk at rim (assist by A. Afflalo),8,13
20,1,7:50.0,P. Gasol misses 2-pt jump shot from 8 ft,,8,13
21,1,7:49.0,,Defensive rebound by T. Mozgov,8,13
22,1,7:45.0,,Personal foul by C. Bairstow (drawn by K. Faried),8,13
23,1,7:39.0,,T. Mozgov misses 2-pt jump shot from 14 ft,8,13
