,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:43.0,,M. Dunleavy misses 2-pt jump shot from 22 ft,0,0
1,1,11:42.0,Defensive rebound by E. Payton,,0,0
2,1,11:36.0,E. Payton misses 2-pt layup from 3 ft (block by T. Gibson),,0,0
3,1,11:35.0,,Defensive rebound by Team,0,0
4,1,11:20.0,,J. Butler makes 2-pt jump shot from 20 ft,0,2
5,1,11:03.0,E. Fournier makes 2-pt layup from 1 ft,,2,2
6,1,11:03.0,Shooting foul by P. Gasol (drawn by E. Fournier),,2,2
7,1,11:03.0,E. Fournier makes free throw 1 of 1,,3,2
8,1,10:56.0,,Personal foul by T. Harris (drawn by J. Butler),3,2
9,1,10:43.0,,P. Gasol misses 2-pt jump shot from 7 ft,3,2
10,1,10:42.0,Defensive rebound by C. Frye,,3,2
11,1,10:36.0,Turnover by N. Vučević (bad pass),,3,2
12,1,10:25.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by M. Dunleavy),3,4
13,1,10:04.0,T. Harris misses 2-pt jump shot from 18 ft,,3,4
14,1,10:02.0,,Defensive rebound by J. Butler,3,4
15,1,9:54.0,,T. Gibson makes 2-pt layup from 1 ft (assist by P. Gasol),3,6
16,1,9:41.0,C. Frye makes 3-pt jump shot from 24 ft (assist by E. Payton),,6,6
17,1,9:30.0,,Offensive foul by M. Dunleavy (drawn by C. Frye),6,6
18,1,9:30.0,,Turnover by M. Dunleavy (offensive foul),6,6
19,1,9:14.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by C. Frye),,9,6
20,1,9:07.0,,Chicago full timeout,9,6
21,1,8:54.0,,T. Gibson misses 2-pt layup from 2 ft (block by C. Frye),9,6
22,1,8:50.0,,Offensive rebound by M. Dunleavy,9,6
23,1,8:47.0,,J. Butler misses 3-pt jump shot from 33 ft,9,6
24,1,8:46.0,Defensive rebound by N. Vučević,,9,6
25,1,8:39.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,11,6
26,1,8:12.0,,K. Hinrich misses 2-pt jump shot from 7 ft,11,6
27,1,8:11.0,Defensive rebound by N. Vučević,,11,6
28,1,8:08.0,T. Harris misses 2-pt jump shot from 21 ft,,11,6
29,1,8:06.0,,Defensive rebound by T. Gibson,11,6
30,1,8:04.0,,Turnover by K. Hinrich (bad pass; steal by E. Payton),11,6
31,1,7:55.0,E. Payton makes 2-pt layup from 1 ft,,13,6
32,1,7:33.0,,J. Butler misses 2-pt jump shot from 17 ft,13,6
33,1,7:32.0,Defensive rebound by N. Vučević,,13,6
