,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:48.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),0,2
1,1,11:23.0,J. Jack misses 2-pt jump shot from 5 ft,,0,2
2,1,11:22.0,Offensive rebound by B. Lopez,,0,2
3,1,11:20.0,B. Lopez misses 2-pt jump shot from 5 ft,,0,2
4,1,11:20.0,,Defensive rebound by N. Hilário,0,2
5,1,11:15.0,,Shooting foul by A. Anderson (drawn by O. Porter),0,2
6,1,11:15.0,,O. Porter makes 2-pt jump shot from 2 ft (assist by N. Hilário),0,4
7,1,11:15.0,,O. Porter makes free throw 1 of 1,0,5
8,1,11:15.0,B. Lopez makes 2-pt jump shot from 3 ft (assist by J. Jack),,2,5
9,1,11:05.0,,O. Porter misses 2-pt jump shot from 4 ft,2,5
10,1,11:04.0,Defensive rebound by B. Lopez,,2,5
11,1,10:57.0,Turnover by J. Jack (bad pass; steal by N. Hilário),,2,5
12,1,10:53.0,,Turnover by J. Wall (bad pass; steal by J. Jack),2,5
13,1,10:40.0,A. Anderson misses 3-pt jump shot from 27 ft,,2,5
14,1,10:39.0,Offensive rebound by M. Plumlee,,2,5
15,1,10:34.0,J. Johnson misses 3-pt jump shot from 28 ft,,2,5
16,1,10:33.0,,Defensive rebound by O. Porter,2,5
17,1,10:24.0,,M. Gortat misses 2-pt layup from 1 ft (block by M. Plumlee),2,5
18,1,10:23.0,,Offensive rebound by M. Gortat,2,5
19,1,10:20.0,,N. Hilário misses 2-pt jump shot from 14 ft,2,5
20,1,10:19.0,,Offensive rebound by M. Gortat,2,5
21,1,10:15.0,,Shooting foul by M. Plumlee (drawn by M. Gortat),2,5
22,1,10:15.0,,M. Gortat misses free throw 1 of 2,2,5
23,1,10:15.0,,Offensive rebound by Team,2,5
24,1,10:15.0,,M. Gortat makes free throw 2 of 2,2,6
