,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
0,1,11:45.0,Violation by A. Davis (def goaltending),,0,0
1,1,11:45.0,,A. Varejão makes 2-pt layup from 3 ft (assist by K. Love),0,2
2,1,11:25.0,A. Davis misses 2-pt jump shot from 14 ft,,0,2
3,1,11:24.0,,Defensive rebound by L. James,0,2
4,1,11:18.0,,L. James misses 2-pt layup from 2 ft (block by T. Evans),0,2
5,1,11:17.0,Defensive rebound by T. Evans,,0,2
6,1,11:13.0,T. Evans misses 2-pt layup at rim (block by A. Varejão),,0,2
7,1,11:11.0,Offensive rebound by Ö. Aşık,,0,2
8,1,11:06.0,Turnover by Ö. Aşık (bad pass; steal by L. James),,0,2
9,1,11:00.0,,L. James makes 2-pt layup at rim (assist by S. Marion),0,4
10,1,10:44.0,A. Davis misses 2-pt jump shot from 16 ft,,0,4
11,1,10:43.0,,Defensive rebound by K. Love,0,4
12,1,10:32.0,,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),0,7
13,1,10:07.0,A. Davis makes 2-pt jump shot from 12 ft (assist by T. Evans),,2,7
14,1,9:46.0,,L. James misses 3-pt jump shot from 26 ft,2,7
15,1,9:45.0,Defensive rebound by Team,,2,7
16,1,9:32.0,J. Holiday misses 2-pt jump shot from 15 ft,,2,7
17,1,9:31.0,,Defensive rebound by L. James,2,7
18,1,9:16.0,,K. Irving misses 2-pt jump shot from 6 ft,2,7
19,1,9:15.0,Defensive rebound by A. Davis,,2,7
20,1,9:03.0,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),,4,7
21,1,8:44.0,,Shooting foul by Ö. Aşık (drawn by A. Varejão),4,7
22,1,8:44.0,,A. Varejão makes free throw 1 of 2,4,8
23,1,8:44.0,,A. Varejão makes free throw 2 of 2,4,9
24,1,8:28.0,Turnover by T. Evans (bad pass; steal by S. Marion),,4,9
25,1,8:20.0,,K. Irving misses 3-pt jump shot from 25 ft,4,9
26,1,8:19.0,Defensive rebound by Ö. Aşık,,4,9
27,1,8:18.0,New Orleans full timeout,,4,9
28,1,7:59.0,E. Gordon misses 2-pt jump shot from 5 ft,,4,9
29,1,7:58.0,Offensive rebound by Ö. Aşık,,4,9
30,1,7:56.0,Ö. Aşık misses 2-pt layup at rim (block by A. Varejão),,4,9
31,1,7:45.0,Offensive rebound by A. Davis,,4,9
32,1,7:44.0,A. Davis makes 2-pt dunk at rim,,6,9
33,1,7:31.0,,Turnover by K. Irving (bad pass; steal by E. Gordon),6,9
34,1,7:19.0,E. Gordon misses 3-pt jump shot from 26 ft,,6,9
35,1,7:18.0,,Defensive rebound by L. James,6,9
36,1,6:57.0,,Turnover by L. James (bad pass; steal by A. Davis),6,9
37,1,6:53.0,T. Evans makes 2-pt layup from 2 ft (assist by A. Davis),,8,9
38,1,6:37.0,,Shooting foul by A. Davis (drawn by A. Varejão),8,9
39,1,6:37.0,,A. Varejão makes free throw 1 of 2,8,10
40,1,6:37.0,R. Anderson enters the game for Ö. Aşık,,8,10
41,1,6:37.0,,A. Varejão makes free throw 2 of 2,8,11
42,1,6:18.0,J. Holiday misses 2-pt jump shot from 8 ft,,8,11
43,1,6:16.0,Offensive rebound by A. Davis,,8,11
44,1,6:16.0,A. Davis makes 2-pt tip-in at rim,,10,11
45,1,6:02.0,,S. Marion misses 2-pt jump shot from 7 ft,10,11
46,1,5:58.0,,Offensive rebound by S. Marion,10,11
47,1,5:58.0,,S. Marion makes 2-pt layup at rim,10,13
48,1,5:47.0,,M. Miller enters the game for S. Marion,10,13
49,1,5:45.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by T. Evans),,13,13
50,1,5:31.0,,K. Love misses 2-pt layup from 2 ft,13,13
51,1,5:28.0,Defensive rebound by R. Anderson,,13,13
52,1,5:22.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by T. Evans),,16,13
53,1,5:20.0,,Cleveland full timeout,16,13
54,1,5:20.0,,S. Marion enters the game for K. Irving,16,13
55,1,5:04.0,,A. Varejão makes 2-pt layup at rim (assist by L. James),16,15
56,1,4:50.0,Turnover by J. Holiday (bad pass; steal by K. Love),,16,15
57,1,4:28.0,,M. Miller makes 3-pt jump shot from 26 ft (assist by A. Varejão),16,18
58,1,4:10.0,T. Evans misses 2-pt jump shot from 15 ft,,16,18
59,1,4:09.0,Offensive rebound by E. Gordon,,16,18
60,1,4:09.0,E. Gordon misses 2-pt tip-in from 1 ft,,16,18
61,1,4:09.0,Offensive rebound by R. Anderson,,16,18
62,1,4:09.0,Shooting foul by M. Miller (drawn by R. Anderson),,16,18
63,1,4:09.0,R. Anderson makes free throw 1 of 2,,17,18
64,1,4:09.0,A. Rivers enters the game for E. Gordon,,17,18
65,1,4:09.0,,K. Irving enters the game for K. Love,17,18
66,1,4:09.0,,T. Thompson enters the game for A. Varejão,17,18
67,1,4:09.0,R. Anderson makes free throw 2 of 2,,18,18
68,1,3:46.0,,K. Irving misses 2-pt jump shot from 10 ft,18,18
69,1,3:43.0,Defensive rebound by A. Davis,,18,18
70,1,3:28.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by R. Anderson),,21,18
71,1,3:07.0,,S. Marion misses 2-pt jump shot from 10 ft,21,18
72,1,3:05.0,Defensive rebound by R. Anderson,,21,18
73,1,2:53.0,T. Evans makes 2-pt layup from 1 ft (assist by A. Rivers),,23,18
74,1,2:45.0,,Turnover by L. James (traveling),23,18
75,1,2:29.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by A. Davis),,26,18
76,1,2:10.0,,K. Irving makes 3-pt jump shot from 24 ft,26,21
77,1,1:56.0,T. Evans misses 3-pt jump shot from 26 ft,,26,21
78,1,1:54.0,,Defensive rebound by K. Irving,26,21
79,1,1:46.0,,T. Thompson makes 2-pt layup from 1 ft (assist by K. Irving),26,23
80,1,1:32.0,J. Holiday misses 2-pt layup from 1 ft,,26,23
81,1,1:31.0,Offensive rebound by R. Anderson,,26,23
82,1,1:31.0,R. Anderson makes 2-pt tip-in at rim,,28,23
83,1,1:06.0,,L. James misses 2-pt jump shot from 21 ft,28,23
84,1,1:05.0,Defensive rebound by A. Davis,,28,23
