,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BROOKLYN_ACTION,PHOENIX_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,Turnover by M. Brown (bad pass; steal by E. Bledsoe),0,0
1,1,11:44.0,E. Bledsoe makes 2-pt layup at rim,,2,0
2,1,11:27.0,,D. Williams misses 2-pt jump shot from 21 ft,2,0
3,1,11:26.0,,Offensive rebound by M. Plumlee,2,0
4,1,11:21.0,,M. Brown makes 3-pt jump shot from 23 ft (assist by J. Johnson),2,3
5,1,11:05.0,M. Morris makes 2-pt jump shot from 8 ft (assist by B. Knight),,4,3
6,1,10:48.0,,D. Williams misses 2-pt layup at rim,4,3
7,1,10:47.0,Defensive rebound by B. Knight,,4,3
8,1,10:40.0,M. Morris misses 3-pt jump shot from 23 ft,,4,3
9,1,10:39.0,,Defensive rebound by A. Anderson,4,3
10,1,10:27.0,,M. Plumlee misses 2-pt dunk at rim,4,3
11,1,10:26.0,Defensive rebound by Team,,4,3
12,1,10:19.0,Personal foul by M. Brown (drawn by E. Bledsoe),,4,3
13,1,10:08.0,M. Morris misses 2-pt jump shot from 18 ft,,4,3
14,1,10:08.0,,Defensive rebound by J. Johnson,4,3
15,1,9:49.0,,Turnover by D. Williams (bad pass; steal by M. Morris),4,3
16,1,9:42.0,A. Len makes 2-pt layup from 1 ft (assist by E. Bledsoe),,6,3
17,1,9:42.0,Shooting foul by M. Plumlee (drawn by A. Len),,6,3
18,1,9:42.0,A. Len makes free throw 1 of 1,,7,3
19,1,9:30.0,,Turnover by M. Brown (lost ball; steal by M. Morris),7,3
20,1,9:24.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by M. Morris),,9,3
21,1,9:23.0,,Brooklyn full timeout,9,3
22,1,9:06.0,,A. Anderson misses 2-pt jump shot from 5 ft,9,3
23,1,9:05.0,Defensive rebound by Team,,9,3
24,1,8:50.0,B. Knight misses 2-pt jump shot from 19 ft,,9,3
25,1,8:49.0,Offensive rebound by M. Morris,,9,3
26,1,8:42.0,Shooting foul by M. Brown (drawn by E. Bledsoe),,9,3
27,1,8:42.0,E. Bledsoe makes free throw 1 of 2,,10,3
28,1,8:42.0,,J. Jack enters the game for M. Brown,10,3
29,1,8:42.0,E. Bledsoe makes free throw 2 of 2,,11,3
30,1,8:34.0,,Personal foul by M. Morris (drawn by A. Anderson),11,3
31,1,8:29.0,,A. Anderson makes 3-pt jump shot from 24 ft (assist by J. Jack),11,6
32,1,8:20.0,Turnover by E. Bledsoe (traveling),,11,6
33,1,8:07.0,,J. Jack misses 2-pt jump shot from 20 ft,11,6
34,1,8:06.0,Defensive rebound by A. Len,,11,6
35,1,7:56.0,M. Morris misses 2-pt jump shot from 16 ft,,11,6
36,1,7:54.0,,Defensive rebound by A. Anderson,11,6
37,1,7:37.0,,J. Johnson misses 3-pt jump shot from 25 ft,11,6
38,1,7:35.0,Defensive rebound by M. Morris,,11,6
39,1,7:31.0,E. Bledsoe misses 2-pt jump shot from 6 ft,,11,6
40,1,7:30.0,Offensive rebound by M. Morris,,11,6
41,1,7:29.0,M. Morris makes 2-pt layup at rim,,13,6
42,1,7:13.0,,Shooting foul by E. Bledsoe (drawn by J. Jack),13,6
43,1,7:13.0,,J. Jack makes free throw 1 of 2,13,7
44,1,7:13.0,,J. Jack makes free throw 2 of 2,13,8
45,1,6:56.0,M. Morris misses 2-pt layup from 2 ft,,13,8
46,1,6:55.0,,Defensive rebound by J. Jack,13,8
47,1,6:51.0,,Personal foul by E. Bledsoe (drawn by J. Jack),13,8
48,1,6:51.0,G. Green enters the game for E. Bledsoe,,13,8
49,1,6:40.0,,J. Jack makes 2-pt jump shot from 10 ft,13,10
50,1,6:18.0,B. Knight misses 3-pt jump shot from 24 ft,,13,10
51,1,6:17.0,Offensive rebound by A. Len,,13,10
52,1,6:16.0,Shooting foul by M. Plumlee (drawn by A. Len),,13,10
53,1,6:16.0,A. Len misses free throw 1 of 2,,13,10
54,1,6:16.0,Offensive rebound by Team,,13,10
55,1,6:16.0,,B. Lopez enters the game for M. Plumlee,13,10
56,1,6:16.0,A. Len misses free throw 2 of 2,,13,10
57,1,6:15.0,,Defensive rebound by B. Lopez,13,10
58,1,5:57.0,,J. Jack misses 2-pt jump shot from 13 ft,13,10
59,1,5:56.0,Defensive rebound by M. Morris,,13,10
60,1,5:47.0,A. Len misses 2-pt hook shot from 7 ft,,13,10
61,1,5:46.0,,Defensive rebound by D. Williams,13,10
62,1,5:39.0,,B. Lopez misses 2-pt jump shot from 11 ft,13,10
63,1,5:37.0,Defensive rebound by B. Knight,,13,10
64,1,5:28.0,,Brooklyn full timeout,13,10
65,1,5:22.0,Turnover by G. Green (bad pass),,13,10
