,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:47.0,T. Duncan misses 2-pt layup from 1 ft,,0,0
1,1,11:46.0,,Defensive rebound by J. Hill,0,0
2,1,11:23.0,,J. Lin makes 2-pt layup at rim,0,2
3,1,10:56.0,T. Parker misses 2-pt jump shot from 8 ft,,0,2
4,1,10:55.0,,Defensive rebound by J. Hill,0,2
5,1,10:36.0,,C. Boozer makes 2-pt jump shot from 1 ft,0,4
6,1,10:20.0,D. Green misses 2-pt layup from 1 ft (block by K. Bryant),,0,4
7,1,10:17.0,,Defensive rebound by K. Bryant,0,4
8,1,10:12.0,,C. Boozer misses 2-pt jump shot from 11 ft,0,4
9,1,10:10.0,Defensive rebound by M. Bonner,,0,4
10,1,10:00.0,Turnover by K. Leonard (bad pass; steal by K. Bryant),,0,4
11,1,9:42.0,,J. Hill misses 2-pt layup from 1 ft,0,4
12,1,9:37.0,Defensive rebound by T. Duncan,,0,4
13,1,9:34.0,T. Parker makes 2-pt layup from 1 ft,,2,4
14,1,9:16.0,,C. Boozer misses 2-pt jump shot from 15 ft,2,4
15,1,9:15.0,Defensive rebound by M. Bonner,,2,4
16,1,9:06.0,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),,4,4
17,1,8:49.0,,J. Hill misses 2-pt jump shot from 18 ft,4,4
18,1,8:46.0,Defensive rebound by T. Duncan,,4,4
19,1,8:34.0,Turnover by K. Leonard (offensive foul),,4,4
20,1,8:34.0,,Offensive charge foul by K. Leonard (drawn by J. Lin),4,4
21,1,8:19.0,,K. Bryant misses 2-pt jump shot from 13 ft,4,4
22,1,8:19.0,Defensive rebound by Team,,4,4
23,1,8:10.0,K. Leonard misses 2-pt layup from 2 ft (block by K. Bryant),,4,4
24,1,8:08.0,,Defensive rebound by W. Johnson,4,4
25,1,8:03.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by W. Johnson),4,7
26,1,7:43.0,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Duncan),,7,7
27,1,7:23.0,,J. Lin misses 2-pt layup from 1 ft,7,7
28,1,7:22.0,Defensive rebound by K. Leonard,,7,7
29,1,7:15.0,M. Bonner misses 3-pt jump shot from 24 ft,,7,7
30,1,7:13.0,,Defensive rebound by J. Lin,7,7
31,1,7:06.0,,J. Hill makes 2-pt jump shot from 14 ft,7,9
32,1,6:43.0,T. Parker misses 2-pt jump shot from 20 ft,,7,9
33,1,6:42.0,,Defensive rebound by C. Boozer,7,9
34,1,6:34.0,,W. Johnson misses 2-pt jump shot from 18 ft,7,9
35,1,6:33.0,Defensive rebound by T. Duncan,,7,9
36,1,6:23.0,D. Green makes 3-pt jump shot from 26 ft (assist by T. Parker),,10,9
37,1,6:01.0,,C. Boozer makes 2-pt layup from 2 ft (assist by J. Lin),10,11
38,1,6:01.0,San Antonio full timeout,,10,11
39,1,6:01.0,M. Ginóbili enters the game for D. Green,,10,11
40,1,5:41.0,K. Leonard makes 2-pt dunk at rim (assist by T. Parker),,12,11
