,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:46.0,,P. Gasol makes 2-pt layup from 1 ft,0,2
2,1,11:31.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,0,2
3,1,11:30.0,,Defensive rebound by J. Butler,0,2
4,1,11:12.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),0,4
5,1,10:49.0,G. Antetokounmpo misses 2-pt jump shot from 10 ft,,0,4
6,1,10:47.0,,Defensive rebound by J. Noah,0,4
7,1,10:32.0,,P. Gasol makes 2-pt hook shot from 12 ft,0,6
8,1,10:32.0,,Shooting foul by Z. Pachulia (drawn by P. Gasol),0,6
9,1,10:32.0,,P. Gasol makes free throw 1 of 1,0,7
10,1,10:20.0,B. Knight makes 2-pt layup from 1 ft (assist by Z. Pachulia),,2,7
11,1,10:01.0,,P. Gasol misses 2-pt jump shot from 21 ft,2,7
12,1,10:00.0,,Offensive rebound by K. Hinrich,2,7
13,1,9:55.0,,T. Snell misses 3-pt jump shot from 25 ft,2,7
14,1,9:53.0,Defensive rebound by K. Middleton,,2,7
15,1,9:39.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Butler),,2,7
16,1,9:34.0,,Personal foul by K. Middleton (drawn by J. Butler),2,7
17,1,9:19.0,,T. Snell misses 2-pt jump shot from 13 ft (block by J. O'Bryant),2,7
18,1,9:18.0,Defensive rebound by Z. Pachulia,,2,7
19,1,9:06.0,Z. Pachulia misses 2-pt jump shot from 18 ft,,2,7
20,1,9:06.0,,Defensive rebound by J. Noah,2,7
21,1,8:46.0,,K. Hinrich makes 3-pt jump shot from 24 ft (assist by P. Gasol),2,10
22,1,8:25.0,J. O'Bryant misses 2-pt layup from 1 ft,,2,10
23,1,8:24.0,Offensive rebound by Z. Pachulia,,2,10
24,1,8:24.0,Personal foul by K. Hinrich (drawn by Z. Pachulia),,2,10
25,1,8:22.0,Shooting foul by P. Gasol (drawn by Z. Pachulia),,2,10
26,1,8:22.0,Z. Pachulia makes free throw 1 of 2,,3,10
27,1,8:22.0,Z. Pachulia misses free throw 2 of 2,,3,10
28,1,8:20.0,,Defensive rebound by P. Gasol,3,10
29,1,8:00.0,,P. Gasol misses 2-pt layup from 1 ft,3,10
30,1,7:59.0,Defensive rebound by B. Knight,,3,10
31,1,7:50.0,Z. Pachulia makes 2-pt jump shot from 19 ft (assist by B. Knight),,5,10
32,1,7:29.0,,K. Hinrich misses 2-pt jump shot from 15 ft (block by J. O'Bryant),5,10
33,1,7:29.0,,Offensive rebound by Team,5,10
34,1,7:26.0,,Turnover by J. Butler (bad pass; steal by J. O'Bryant),5,10
35,1,7:21.0,Z. Pachulia misses 2-pt layup from 2 ft (block by J. Noah),,5,10
36,1,7:21.0,Offensive rebound by Team,,5,10
37,1,7:15.0,J. O'Bryant makes 2-pt jump shot from 17 ft (assist by K. Middleton),,7,10
38,1,7:00.0,,Shooting foul by Z. Pachulia (drawn by P. Gasol),7,10
39,1,7:00.0,,P. Gasol makes 2-pt jump shot from 9 ft (assist by T. Snell),7,12
40,1,7:00.0,J. Henson enters the game for Z. Pachulia,,7,12
41,1,7:00.0,,P. Gasol makes free throw 1 of 1,7,13
42,1,6:45.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft,,7,13
43,1,6:43.0,,Defensive rebound by P. Gasol,7,13
44,1,6:34.0,,Personal foul by G. Antetokounmpo (drawn by K. Hinrich),7,13
45,1,6:20.0,,Shooting foul by B. Knight (drawn by J. Butler),7,13
46,1,6:20.0,,J. Butler misses free throw 1 of 2,7,13
47,1,6:20.0,,Offensive rebound by Team,7,13
48,1,6:20.0,,J. Butler makes free throw 2 of 2,7,14
49,1,6:07.0,K. Middleton misses 2-pt jump shot from 19 ft,,7,14
50,1,6:06.0,,Defensive rebound by P. Gasol,7,14
51,1,5:56.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),7,16
52,1,5:43.0,J. Henson misses 2-pt hook shot from 10 ft,,7,16
53,1,5:42.0,,Defensive rebound by P. Gasol,7,16
54,1,5:33.0,,K. Hinrich misses 3-pt jump shot from 24 ft,7,16
55,1,5:32.0,,Offensive rebound by T. Snell,7,16
56,1,5:22.0,,K. Hinrich makes 3-pt jump shot from 24 ft (assist by J. Butler),7,19
57,1,5:20.0,Milwaukee full timeout,,7,19
58,1,5:20.0,O. Mayo enters the game for G. Antetokounmpo,,7,19
59,1,5:20.0,J. Dudley enters the game for J. O'Bryant,,7,19
