,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:40.0,J. Sampson misses 3-pt jump shot from 22 ft,,0,0
1,1,11:39.0,Offensive rebound by H. Sims,,0,0
2,1,11:37.0,H. Sims misses 2-pt hook shot from 8 ft,,0,0
3,1,11:36.0,,Defensive rebound by J. Valančiūnas,0,0
4,1,11:21.0,,D. DeRozan misses 2-pt jump shot from 15 ft,0,0
5,1,11:19.0,Defensive rebound by L. Mbah a Moute,,0,0
6,1,11:10.0,L. Mbah a Moute makes 2-pt dunk at rim,,2,0
7,1,10:58.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by A. Johnson),2,2
8,1,10:41.0,H. Sims misses 2-pt jump shot from 16 ft,,2,2
9,1,10:40.0,,Defensive rebound by J. Valančiūnas,2,2
10,1,10:23.0,,D. DeRozan makes 2-pt jump shot from 9 ft,2,4
11,1,10:23.0,,Shooting foul by J. Sampson (drawn by D. DeRozan),2,4
12,1,10:23.0,,D. DeRozan makes free throw 1 of 1,2,5
13,1,10:00.0,H. Thompson misses 2-pt jump shot from 3 ft,,2,5
14,1,9:57.0,,Defensive rebound by A. Johnson,2,5
15,1,9:57.0,Technical foul by Team,,2,5
16,1,9:57.0,,D. DeRozan makes technical free throw,2,6
17,1,9:43.0,,D. DeRozan misses 2-pt jump shot from 14 ft,2,6
18,1,9:41.0,Defensive rebound by T. Wroten,,2,6
19,1,9:34.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,2,6
20,1,9:32.0,Offensive rebound by Team,,2,6
21,1,9:14.0,Shooting block foul by A. Johnson (drawn by T. Wroten),,2,6
22,1,9:14.0,T. Wroten makes free throw 1 of 2,,3,6
23,1,9:14.0,T. Wroten makes free throw 2 of 2,,4,6
24,1,9:00.0,,K. Lowry misses 2-pt jump shot from 22 ft,4,6
25,1,8:59.0,,Offensive rebound by T. Ross,4,6
26,1,8:54.0,,Personal foul by H. Thompson (drawn by D. DeRozan),4,6
27,1,8:44.0,,D. DeRozan makes 2-pt jump shot from 14 ft,4,8
28,1,8:44.0,,Shooting foul by J. Sampson (drawn by D. DeRozan),4,8
29,1,8:44.0,K. McDaniels enters the game for J. Sampson,,4,8
30,1,8:44.0,,D. DeRozan makes free throw 1 of 1,4,9
31,1,8:25.0,L. Mbah a Moute makes 2-pt hook shot from 4 ft (assist by T. Wroten),,6,9
32,1,8:14.0,,Turnover by D. DeRozan (bad pass; steal by T. Wroten),6,9
33,1,8:02.0,H. Sims misses 2-pt jump shot from 14 ft,,6,9
34,1,7:59.0,,Defensive rebound by D. DeRozan,6,9
35,1,7:45.0,,T. Ross makes 2-pt jump shot from 19 ft,6,11
36,1,7:30.0,H. Thompson misses 3-pt jump shot from 24 ft,,6,11
37,1,7:29.0,,Defensive rebound by D. DeRozan,6,11
38,1,7:20.0,,T. Ross misses 3-pt jump shot from 23 ft,6,11
39,1,7:19.0,,Offensive rebound by Team,6,11
40,1,7:11.0,,Turnover by J. Valančiūnas (lost ball; steal by H. Sims),6,11
41,1,7:07.0,T. Wroten makes 2-pt layup from 1 ft (assist by H. Sims),,8,11
42,1,7:07.0,Shooting foul by D. DeRozan (drawn by T. Wroten),,8,11
43,1,7:07.0,T. Wroten misses free throw 1 of 1,,8,11
44,1,7:06.0,,Defensive rebound by J. Valančiūnas,8,11
45,1,6:52.0,,Personal foul by H. Sims (drawn by J. Valančiūnas),8,11
46,1,6:45.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,8,13
47,1,6:34.0,H. Sims misses 2-pt jump shot from 15 ft,,8,13
48,1,6:33.0,,Defensive rebound by D. DeRozan,8,13
49,1,6:22.0,,Turnover by J. Valančiūnas (traveling),8,13
50,1,6:22.0,Philadelphia full timeout,,8,13
51,1,6:10.0,T. Wroten misses 2-pt layup from 2 ft,,8,13
52,1,6:09.0,Offensive rebound by H. Sims,,8,13
53,1,6:06.0,H. Sims makes 2-pt layup from 1 ft,,10,13
54,1,5:48.0,,D. DeRozan misses 2-pt jump shot from 3 ft (block by K. McDaniels),10,13
55,1,5:48.0,,Offensive rebound by Team,10,13
56,1,5:48.0,B. Davies enters the game for H. Sims,,10,13
57,1,5:44.0,,D. DeRozan makes 2-pt jump shot from 11 ft (assist by K. Lowry),10,15
58,1,5:25.0,K. McDaniels makes 2-pt jump shot from 6 ft,,12,15
59,1,5:09.0,,A. Johnson makes 2-pt hook shot from 6 ft (assist by K. Lowry),12,17
60,1,4:57.0,T. Wroten makes 3-pt jump shot from 24 ft (assist by K. McDaniels),,15,17
61,1,4:44.0,,K. Lowry makes 2-pt jump shot from 21 ft,15,19
62,1,4:27.0,K. McDaniels misses 3-pt jump shot from 24 ft,,15,19
63,1,4:25.0,,Defensive rebound by J. Valančiūnas,15,19
64,1,4:20.0,,Turnover by K. Lowry (lost ball),15,19
65,1,4:20.0,C. Johnson enters the game for H. Thompson,,15,19
66,1,4:20.0,,T. Hansbrough enters the game for J. Valančiūnas,15,19
67,1,4:20.0,,P. Patterson enters the game for A. Johnson,15,19
68,1,4:07.0,C. Johnson misses 3-pt jump shot from 24 ft,,15,19
69,1,4:06.0,Offensive rebound by Team,,15,19
70,1,4:06.0,Personal foul by T. Hansbrough (drawn by B. Davies),,15,19
71,1,4:06.0,J. Sampson enters the game for L. Mbah a Moute,,15,19
72,1,3:51.0,Turnover by B. Davies (bad pass; steal by T. Ross),,15,19
73,1,3:35.0,,T. Ross makes 3-pt jump shot from 24 ft,15,22
74,1,3:26.0,B. Davies makes 3-pt jump shot from 24 ft (assist by T. Wroten),,18,22
75,1,3:07.0,,Shooting block foul by B. Davies (drawn by K. Lowry),18,22
76,1,3:07.0,,K. Lowry makes free throw 1 of 2,18,23
77,1,3:07.0,,L. Williams enters the game for T. Ross,18,23
78,1,3:07.0,,K. Lowry makes free throw 2 of 2,18,24
79,1,2:43.0,K. McDaniels misses 3-pt jump shot from 26 ft (block by D. DeRozan),,18,24
80,1,2:43.0,Offensive rebound by B. Davies,,18,24
81,1,2:43.0,B. Davies misses 2-pt hook shot from 10 ft,,18,24
82,1,2:43.0,Offensive rebound by Team,,18,24
83,1,2:43.0,Turnover by Team (shot clock),,18,24
84,1,2:43.0,,Toronto full timeout,18,24
85,1,2:43.0,,G. Vásquez enters the game for D. DeRozan,18,24
86,1,2:43.0,A. Shved enters the game for T. Wroten,,18,24
87,1,2:25.0,,T. Hansbrough makes 2-pt hook shot from 3 ft (assist by G. Vásquez),18,26
88,1,2:11.0,A. Shved makes 2-pt jump shot from 16 ft,,20,26
89,1,1:56.0,,Shooting foul by C. Johnson (drawn by K. Lowry),20,26
90,1,1:56.0,,K. Lowry makes free throw 1 of 2,20,27
91,1,1:56.0,,K. Lowry makes free throw 2 of 2,20,28
92,1,1:43.0,A. Shved misses 2-pt layup from 2 ft,,20,28
93,1,1:42.0,,Defensive rebound by T. Hansbrough,20,28
94,1,1:37.0,,Turnover by L. Williams (bad pass; steal by B. Davies),20,28
95,1,1:34.0,Personal foul by K. Lowry (drawn by J. Sampson),,20,28
96,1,1:34.0,J. Sampson misses free throw 1 of 2,,20,28
97,1,1:34.0,Offensive rebound by Team,,20,28
98,1,1:34.0,J. Sampson misses free throw 2 of 2,,20,28
99,1,1:32.0,,Defensive rebound by T. Hansbrough,20,28
100,1,1:19.0,,Shooting foul by B. Davies (drawn by T. Hansbrough),20,28
101,1,1:19.0,,T. Hansbrough makes free throw 1 of 2,20,29
102,1,1:19.0,,J. Johnson enters the game for K. Lowry,20,29
103,1,1:19.0,H. Sims enters the game for B. Davies,,20,29
104,1,1:19.0,,T. Hansbrough makes free throw 2 of 2,20,30
105,1,1:05.0,J. Sampson misses 2-pt layup from 1 ft,,20,30
106,1,1:04.0,,Defensive rebound by T. Hansbrough,20,30
107,1,0:51.0,,G. Vásquez makes 3-pt jump shot from 22 ft (assist by T. Hansbrough),20,33
108,1,0:34.0,A. Shved misses 3-pt jump shot from 25 ft,,20,33
109,1,0:32.0,,Defensive rebound by Team,20,33
110,1,0:13.0,,Turnover by J. Johnson (traveling),20,33
111,1,0:13.0,H. Thompson enters the game for H. Sims,,20,33
112,1,0:01.0,A. Shved misses 3-pt jump shot from 24 ft,,20,33
113,1,0:00.0,Offensive rebound by Team,,20,33
114,2,11:40.0,,L. Williams misses 2-pt jump shot from 16 ft,20,33
115,2,11:39.0,Defensive rebound by H. Sims,,20,33
116,2,11:25.0,K. McDaniels makes 2-pt layup from 1 ft (assist by C. Johnson),,22,33
117,2,11:13.0,,L. Williams makes 2-pt jump shot from 16 ft (assist by P. Patterson),22,35
118,2,11:13.0,,Shooting foul by A. Shved (drawn by L. Williams),22,35
119,2,11:13.0,,L. Williams makes free throw 1 of 1,22,36
120,2,11:01.0,Turnover by K. McDaniels (bad pass),,22,36
121,2,10:50.0,,Personal foul by C. Johnson (drawn by G. Vásquez),22,36
