,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,M. Belinelli makes 2-pt jump shot from 22 ft (assist by C. Joseph),0,2
1,1,11:23.0,N. Hilário makes 2-pt jump shot from 17 ft,,2,2
2,1,11:10.0,,M. Belinelli misses 3-pt jump shot from 24 ft,2,2
3,1,11:09.0,Defensive rebound by P. Pierce,,2,2
4,1,10:52.0,P. Pierce misses 3-pt jump shot from 26 ft,,2,2
5,1,10:51.0,,Defensive rebound by C. Joseph,2,2
6,1,10:38.0,,Personal foul by P. Pierce (drawn by M. Belinelli),2,2
7,1,10:26.0,,C. Joseph makes 2-pt jump shot from 18 ft,2,4
8,1,10:04.0,J. Wall makes 2-pt jump shot from 16 ft,,4,4
9,1,9:44.0,,T. Splitter makes 2-pt hook shot from 9 ft,4,6
10,1,9:38.0,J. Wall makes 2-pt jump shot from 18 ft,,6,6
11,1,9:14.0,,T. Splitter makes 2-pt jump shot from 5 ft (assist by M. Belinelli),6,8
12,1,9:02.0,N. Hilário makes 2-pt jump shot from 13 ft (assist by B. Beal),,8,8
13,1,8:43.0,,C. Joseph makes 2-pt jump shot from 13 ft (assist by M. Belinelli),8,10
14,1,8:26.0,B. Beal misses 2-pt jump shot from 10 ft (block by T. Duncan),,8,10
15,1,8:26.0,,Defensive rebound by T. Splitter,8,10
16,1,8:15.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Duncan),8,13
17,1,7:50.0,B. Beal makes 2-pt jump shot from 19 ft,,10,13
18,1,7:34.0,,Turnover by T. Splitter (bad pass; steal by N. Hilário),10,13
19,1,7:27.0,N. Hilário makes 2-pt layup from 1 ft,,12,13
20,1,7:09.0,,Shooting foul by M. Gortat (drawn by T. Splitter),12,13
21,1,7:09.0,,T. Splitter makes free throw 1 of 2,12,14
22,1,7:09.0,,B. Diaw enters the game for D. Green,12,14
23,1,7:09.0,,K. Anderson enters the game for T. Duncan,12,14
24,1,7:09.0,,P. Mills enters the game for M. Belinelli,12,14
25,1,7:09.0,,M. Ginóbili enters the game for C. Joseph,12,14
26,1,7:09.0,,T. Splitter makes free throw 2 of 2,12,15
27,1,6:58.0,M. Gortat makes 2-pt layup from 2 ft (assist by P. Pierce),,14,15
28,1,6:35.0,,T. Splitter misses 2-pt layup at rim,14,15
29,1,6:34.0,,Offensive rebound by P. Mills,14,15
30,1,6:29.0,,P. Mills makes 3-pt jump shot from 23 ft,14,18
31,1,6:12.0,P. Pierce makes 3-pt jump shot from 23 ft (assist by M. Gortat),,17,18
32,1,6:04.0,,Turnover by B. Diaw (bad pass; steal by M. Gortat),17,18
33,1,5:59.0,J. Wall makes 2-pt layup at rim,,19,18
34,1,5:59.0,,San Antonio full timeout,19,18
35,1,5:59.0,,A. Baynes enters the game for T. Splitter,19,18
36,1,5:45.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by B. Diaw),19,21
37,1,5:18.0,N. Hilário misses 2-pt layup from 1 ft,,19,21
38,1,5:17.0,Offensive rebound by M. Gortat,,19,21
39,1,5:16.0,M. Gortat makes 2-pt layup from 2 ft,,21,21
40,1,5:03.0,,K. Anderson makes 2-pt jump shot from 14 ft,21,23
41,1,4:49.0,P. Pierce misses 2-pt jump shot from 18 ft,,21,23
42,1,4:47.0,,Defensive rebound by A. Baynes,21,23
43,1,4:30.0,,P. Mills makes 2-pt jump shot from 21 ft (assist by K. Anderson),21,25
44,1,4:22.0,Personal block foul by P. Mills (drawn by J. Wall),,21,25
45,1,4:22.0,R. Butler enters the game for N. Hilário,,21,25
46,1,4:22.0,K. Humphries enters the game for P. Pierce,,21,25
47,1,4:16.0,B. Beal makes 2-pt jump shot from 19 ft,,23,25
48,1,4:06.0,,P. Mills makes 2-pt layup from 1 ft (assist by M. Ginóbili),23,27
49,1,3:49.0,R. Butler makes 3-pt jump shot from 24 ft (assist by J. Wall),,26,27
50,1,3:35.0,,A. Baynes misses 2-pt jump shot from 8 ft,26,27
51,1,3:34.0,Defensive rebound by R. Butler,,26,27
52,1,3:26.0,J. Wall makes 2-pt layup from 1 ft,,28,27
53,1,3:13.0,,A. Baynes makes 2-pt dunk at rim (assist by K. Anderson),28,29
54,1,3:05.0,Washington full timeout,,28,29
55,1,2:55.0,J. Wall makes 2-pt jump shot from 12 ft,,30,29
56,1,2:43.0,,K. Anderson misses 2-pt jump shot from 18 ft,30,29
57,1,2:42.0,Defensive rebound by K. Humphries,,30,29
58,1,2:31.0,J. Wall misses 2-pt jump shot from 12 ft,,30,29
59,1,2:30.0,,Defensive rebound by A. Baynes,30,29
60,1,2:10.0,,A. Baynes misses 2-pt jump shot from 17 ft,30,29
61,1,2:09.0,Defensive rebound by K. Humphries,,30,29
62,1,1:53.0,M. Gortat misses 2-pt jump shot from 15 ft,,30,29
63,1,1:52.0,,Defensive rebound by A. Baynes,30,29
64,1,1:43.0,,M. Ginóbili misses 3-pt jump shot from 26 ft,30,29
65,1,1:42.0,Defensive rebound by R. Butler,,30,29
66,1,1:41.0,Personal foul by M. Ginóbili (drawn by R. Butler),,30,29
67,1,1:41.0,,M. Belinelli enters the game for K. Anderson,30,29
68,1,1:41.0,,C. Joseph enters the game for B. Diaw,30,29
69,1,1:41.0,,D. Green enters the game for M. Ginóbili,30,29
70,1,1:41.0,,T. Duncan enters the game for P. Mills,30,29
71,1,1:41.0,,T. Splitter enters the game for A. Baynes,30,29
72,1,1:41.0,O. Porter enters the game for B. Beal,,30,29
73,1,1:27.0,K. Humphries makes 2-pt jump shot from 19 ft (assist by J. Wall),,32,29
74,1,1:10.0,,Turnover by M. Belinelli (lost ball; steal by K. Humphries),32,29
75,1,1:06.0,R. Butler misses 2-pt jump shot from 5 ft,,32,29
76,1,1:05.0,Offensive rebound by Team,,32,29
77,1,0:53.0,M. Gortat makes 2-pt layup from 2 ft,,34,29
78,1,0:42.0,,D. Green makes 2-pt jump shot from 17 ft,34,31
79,1,0:35.0,J. Wall misses 2-pt jump shot from 19 ft,,34,31
80,1,0:34.0,,Defensive rebound by T. Duncan,34,31
81,1,0:15.0,,M. Belinelli misses 2-pt layup from 1 ft (block by O. Porter),34,31
82,1,0:14.0,Defensive rebound by K. Humphries,,34,31
83,1,0:00.0,Shooting foul by C. Joseph (drawn by J. Wall),,34,31
84,1,0:00.0,J. Wall makes free throw 1 of 2,,35,31
85,1,0:00.0,K. Séraphin enters the game for M. Gortat,,35,31
86,1,0:00.0,J. Wall misses free throw 2 of 2,,35,31
87,1,0:00.0,,Defensive rebound by T. Duncan,35,31
88,2,11:42.0,R. Butler misses 2-pt jump shot from 17 ft,,35,31
89,2,11:41.0,Offensive rebound by K. Humphries,,35,31
90,2,11:32.0,R. Butler misses 2-pt jump shot from 17 ft,,35,31
91,2,11:31.0,Offensive rebound by K. Séraphin,,35,31
92,2,11:25.0,O. Porter makes 2-pt jump shot from 14 ft (assist by K. Séraphin),,37,31
93,2,11:07.0,,T. Duncan misses 2-pt jump shot from 12 ft (block by K. Séraphin),37,31
94,2,11:05.0,Defensive rebound by K. Humphries,,37,31
95,2,10:56.0,K. Séraphin makes 2-pt layup from 2 ft (assist by A. Miller),,39,31
96,2,10:40.0,,C. Joseph makes 2-pt layup from 2 ft,39,33
97,2,10:25.0,K. Humphries makes 2-pt jump shot from 14 ft,,41,33
98,2,10:13.0,,Personal foul by K. Séraphin (drawn by T. Duncan),41,33
99,2,10:03.0,,T. Duncan makes 2-pt layup from 2 ft (assist by M. Belinelli),41,35
100,2,9:38.0,K. Humphries misses 2-pt jump shot from 16 ft,,41,35
101,2,9:35.0,,Defensive rebound by Team,41,35
102,2,9:16.0,,T. Duncan misses 2-pt jump shot from 11 ft,41,35
103,2,9:15.0,,Offensive rebound by C. Joseph,41,35
104,2,9:15.0,,C. Joseph makes 2-pt tip-in at rim,41,37
105,2,8:57.0,K. Humphries makes 2-pt jump shot from 17 ft (assist by R. Butler),,43,37
106,2,8:33.0,,Shooting foul by A. Miller (drawn by C. Joseph),43,37
107,2,8:33.0,Official timeout,,43,37
108,2,8:33.0,,B. Diaw enters the game for D. Green,43,37
109,2,8:33.0,,A. Baynes enters the game for T. Duncan,43,37
110,2,8:33.0,,M. Ginóbili enters the game for T. Splitter,43,37
111,2,8:33.0,,K. Anderson enters the game for M. Belinelli,43,37
112,2,8:33.0,,C. Joseph makes free throw 1 of 3,43,38
113,2,8:33.0,,C. Joseph misses free throw 2 of 3,43,38
114,2,8:33.0,,Offensive rebound by Team,43,38
115,2,8:33.0,,C. Joseph makes free throw 3 of 3,43,39
116,2,8:21.0,Personal foul by K. Anderson (drawn by O. Porter),,43,39
117,2,8:21.0,,P. Mills enters the game for C. Joseph,43,39
118,2,8:10.0,K. Séraphin makes 2-pt jump shot from 17 ft (assist by O. Porter),,45,39
119,2,7:57.0,,M. Ginóbili misses 2-pt layup from 1 ft,45,39
120,2,7:56.0,,Offensive rebound by Team,45,39
121,2,7:53.0,,Personal foul by R. Butler (drawn by P. Mills),45,39
122,2,7:43.0,,B. Diaw makes 2-pt jump shot from 3 ft (assist by K. Anderson),45,41
123,2,7:24.0,O. Porter makes 2-pt jump shot from 19 ft (assist by A. Miller),,47,41
124,2,7:16.0,,Turnover by M. Ginóbili (bad pass; steal by A. Miller),47,41
125,2,7:12.0,Shooting foul by P. Mills (drawn by O. Porter),,47,41
126,2,7:12.0,O. Porter misses free throw 1 of 2,,47,41
127,2,7:12.0,Offensive rebound by Team,,47,41
128,2,7:12.0,O. Porter makes free throw 2 of 2,,48,41
129,2,6:58.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,48,41
130,2,6:56.0,Defensive rebound by R. Butler,,48,41
131,2,6:50.0,K. Séraphin makes 2-pt layup at rim (assist by O. Porter),,50,41
132,2,6:50.0,Shooting foul by P. Mills (drawn by K. Séraphin),,50,41
133,2,6:50.0,K. Séraphin makes free throw 1 of 1,,51,41
134,2,6:36.0,,A. Baynes makes 2-pt jump shot from 5 ft (assist by P. Mills),51,43
135,2,6:12.0,K. Séraphin misses 2-pt jump shot from 13 ft,,51,43
136,2,6:11.0,,Defensive rebound by K. Anderson,51,43
