,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:44.0,K. Faried misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by Team,0,0
2,1,11:24.0,,G. Hayward misses 3-pt jump shot from 23 ft,0,0
3,1,11:22.0,Defensive rebound by D. Gallinari,,0,0
4,1,11:08.0,D. Gallinari misses 3-pt jump shot from 24 ft,,0,0
5,1,11:07.0,,Defensive rebound by J. Ingles,0,0
6,1,10:53.0,,D. Favors makes 2-pt dunk at rim,0,2
7,1,10:26.0,T. Lawson misses 3-pt jump shot from 24 ft,,0,2
8,1,10:25.0,,Defensive rebound by G. Hayward,0,2
9,1,10:06.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Gobert),0,5
10,1,9:56.0,Personal foul by J. Ingles (drawn by R. Foye),,0,5
11,1,9:51.0,K. Faried makes 2-pt jump shot from 5 ft (assist by T. Lawson),,2,5
12,1,9:34.0,,D. Favors misses 2-pt jump shot from 5 ft,2,5
13,1,9:33.0,Defensive rebound by W. Chandler,,2,5
14,1,9:26.0,Personal foul by R. Gobert (drawn by D. Gallinari),,2,5
15,1,9:16.0,R. Foye misses 3-pt jump shot from 23 ft,,2,5
16,1,9:15.0,Offensive rebound by Team,,2,5
17,1,9:12.0,R. Foye makes 2-pt jump shot from 19 ft (assist by W. Chandler),,4,5
18,1,8:50.0,,Turnover by D. Exum (bad pass; steal by D. Gallinari),4,5
19,1,8:41.0,R. Foye makes 3-pt jump shot from 24 ft (assist by D. Gallinari),,7,5
20,1,8:16.0,,J. Ingles misses 3-pt jump shot from 24 ft,7,5
21,1,8:14.0,,Offensive rebound by Team,7,5
22,1,8:01.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),7,7
23,1,7:35.0,T. Lawson makes 2-pt jump shot from 23 ft,,9,7
24,1,7:18.0,,Personal foul by R. Foye (drawn by J. Ingles),9,7
25,1,7:03.0,,D. Exum misses 3-pt jump shot from 23 ft,9,7
26,1,7:02.0,,Offensive rebound by Team,9,7
