,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:41.0,M. Morris misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by W. Chandler,0,0
2,1,11:26.0,,A. Afflalo makes 2-pt jump shot from 13 ft,0,2
3,1,11:08.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,0,2
4,1,11:07.0,,Defensive rebound by A. Afflalo,0,2
5,1,10:57.0,,A. Afflalo misses 2-pt jump shot from 16 ft,0,2
6,1,10:56.0,Defensive rebound by G. Dragić,,0,2
7,1,10:47.0,G. Dragić misses 2-pt jump shot from 18 ft,,0,2
8,1,10:45.0,,Defensive rebound by T. Lawson,0,2
9,1,10:36.0,,W. Chandler misses 3-pt jump shot from 25 ft,0,2
10,1,10:36.0,Defensive rebound by Team,,0,2
11,1,10:36.0,,Loose ball foul by K. Faried (drawn by M. Morris),0,2
12,1,10:15.0,M. Morris makes 2-pt jump shot from 12 ft (assist by G. Dragić),,2,2
13,1,9:58.0,,W. Chandler misses 3-pt jump shot from 25 ft,2,2
14,1,9:56.0,Defensive rebound by M. Morris,,2,2
15,1,9:44.0,G. Dragić misses 2-pt layup at rim,,2,2
16,1,9:43.0,,Defensive rebound by T. Mozgov,2,2
17,1,9:33.0,,T. Lawson makes 2-pt jump shot from 17 ft,2,4
18,1,9:24.0,E. Bledsoe misses 2-pt jump shot from 5 ft,,2,4
19,1,9:23.0,,Defensive rebound by K. Faried,2,4
20,1,9:16.0,,W. Chandler makes 2-pt dunk at rim (assist by K. Faried),2,6
21,1,9:02.0,M. Morris misses 2-pt jump shot from 8 ft,,2,6
22,1,9:01.0,,Defensive rebound by K. Faried,2,6
23,1,8:48.0,,T. Mozgov makes 2-pt layup at rim,2,8
24,1,8:42.0,Phoenix full timeout,,2,8
25,1,8:30.0,M. Morris makes 2-pt jump shot from 13 ft,,4,8
26,1,8:12.0,,K. Faried makes 2-pt dunk at rim,4,10
