,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:39.0,M. Morris misses 2-pt jump shot from 18 ft,,0,0
1,1,11:38.0,,Defensive rebound by W. Matthews,0,0
2,1,11:29.0,,L. Aldridge misses 3-pt jump shot from 24 ft,0,0
3,1,11:28.0,,Offensive rebound by D. Lillard,0,0
4,1,11:24.0,,D. Lillard misses 3-pt jump shot from 24 ft,0,0
5,1,11:22.0,,Offensive rebound by N. Batum,0,0
6,1,11:19.0,,W. Matthews misses 3-pt jump shot from 24 ft,0,0
7,1,11:17.0,Defensive rebound by M. Morris,,0,0
8,1,11:13.0,P. Tucker misses 2-pt jump shot from 19 ft,,0,0
9,1,11:12.0,,Defensive rebound by L. Aldridge,0,0
10,1,10:49.0,,R. Lopez misses 2-pt hook shot from 5 ft (block by A. Len),0,0
11,1,10:47.0,Defensive rebound by E. Bledsoe,,0,0
12,1,10:43.0,E. Bledsoe misses 2-pt layup from 1 ft,,0,0
13,1,10:42.0,,Defensive rebound by W. Matthews,0,0
14,1,10:37.0,,N. Batum makes 2-pt layup at rim (assist by W. Matthews),0,2
15,1,10:19.0,M. Morris misses 3-pt jump shot from 24 ft,,0,2
16,1,10:17.0,,Defensive rebound by Team,0,2
17,1,9:54.0,,Turnover by L. Aldridge (bad pass; steal by P. Tucker),0,2
18,1,9:46.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,3,2
19,1,9:22.0,,W. Matthews misses 2-pt jump shot from 7 ft,3,2
20,1,9:21.0,Defensive rebound by M. Morris,,3,2
21,1,9:09.0,M. Morris misses 2-pt jump shot from 14 ft,,3,2
22,1,9:08.0,,Defensive rebound by W. Matthews,3,2
23,1,8:58.0,,L. Aldridge misses 2-pt jump shot from 13 ft,3,2
24,1,8:57.0,,Offensive rebound by R. Lopez,3,2
25,1,8:55.0,,R. Lopez makes 2-pt hook shot from 3 ft,3,4
26,1,8:44.0,Turnover by E. Bledsoe (step out of bounds),,3,4
27,1,8:35.0,,N. Batum misses 3-pt jump shot from 24 ft,3,4
28,1,8:34.0,Defensive rebound by Team,,3,4
29,1,8:19.0,A. Len makes 2-pt jump shot from 14 ft (assist by G. Dragić),,5,4
30,1,8:00.0,,R. Lopez misses 2-pt jump shot from 18 ft,5,4
31,1,7:59.0,Defensive rebound by M. Morris,,5,4
32,1,7:52.0,Turnover by M. Morris (bad pass),,5,4
33,1,7:44.0,,L. Aldridge misses 2-pt layup from 1 ft,5,4
34,1,7:43.0,Defensive rebound by A. Len,,5,4
35,1,7:34.0,G. Dragić misses 2-pt layup from 1 ft (block by R. Lopez),,5,4
36,1,7:31.0,Offensive rebound by E. Bledsoe,,5,4
37,1,7:25.0,Turnover by E. Bledsoe (bad pass),,5,4
38,1,7:13.0,,Personal foul by A. Len (drawn by W. Matthews),5,4
39,1,6:58.0,,W. Matthews misses 3-pt jump shot from 24 ft,5,4
40,1,6:57.0,Defensive rebound by P. Tucker,,5,4
41,1,6:52.0,G. Dragić misses 2-pt layup at rim (block by D. Lillard),,5,4
42,1,6:50.0,,Defensive rebound by L. Aldridge,5,4
43,1,6:33.0,,Shooting foul by A. Len (drawn by L. Aldridge),5,4
44,1,6:33.0,,L. Aldridge makes free throw 1 of 2,5,5
45,1,6:33.0,B. Wright enters the game for A. Len,,5,5
46,1,6:33.0,,L. Aldridge makes free throw 2 of 2,5,6
47,1,6:15.0,Turnover by E. Bledsoe (step out of bounds),,5,6
