,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:43.0,Personal foul by D. Favors (drawn by D. Howard),,0,0
1,1,11:38.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,0
2,1,11:37.0,,Defensive rebound by E. Freedom,0,0
3,1,11:17.0,,D. Favors misses 2-pt jump shot from 5 ft,0,0
4,1,11:16.0,,Offensive rebound by D. Favors,0,0
5,1,11:14.0,,D. Favors makes 2-pt layup from 2 ft,0,2
6,1,11:07.0,Turnover by P. Beverley (bad pass; steal by D. Favors),,0,2
7,1,10:47.0,,T. Burke misses 2-pt jump shot from 4 ft,0,2
8,1,10:46.0,Defensive rebound by T. Jones,,0,2
9,1,10:33.0,D. Howard makes 2-pt layup from 1 ft,,2,2
10,1,10:13.0,,Shooting foul by T. Jones (drawn by G. Hayward),2,2
11,1,10:13.0,,G. Hayward makes free throw 1 of 2,2,3
12,1,10:13.0,,G. Hayward makes free throw 2 of 2,2,4
13,1,9:56.0,D. Howard misses 2-pt hook shot from 8 ft,,2,4
14,1,9:53.0,Offensive rebound by T. Ariza,,2,4
15,1,9:53.0,T. Ariza makes 2-pt jump shot from 7 ft,,4,4
16,1,9:45.0,,Personal foul by T. Ariza (drawn by G. Hayward),4,4
17,1,9:37.0,,E. Freedom makes 2-pt layup from 1 ft,4,6
18,1,9:25.0,D. Howard makes 2-pt dunk at rim,,6,6
19,1,9:06.0,,E. Freedom misses 3-pt jump shot from 24 ft,6,6
20,1,9:04.0,Defensive rebound by T. Ariza,,6,6
21,1,8:49.0,J. Harden misses 2-pt jump shot from 4 ft,,6,6
22,1,8:46.0,Offensive rebound by D. Howard,,6,6
23,1,8:46.0,D. Howard makes 2-pt dunk at rim,,8,6
24,1,8:35.0,,Personal foul by J. Harden (drawn by A. Burks),8,6
25,1,8:22.0,,D. Favors makes 2-pt hook shot from 4 ft (assist by T. Burke),8,8
26,1,8:02.0,D. Howard makes 2-pt hook shot from 4 ft,,10,8
27,1,7:35.0,,D. Favors makes 2-pt jump shot from 15 ft (assist by T. Burke),10,10
28,1,7:18.0,D. Howard makes 2-pt dunk at rim,,12,10
29,1,7:12.0,,A. Burks makes 2-pt layup from 2 ft,12,12
30,1,7:01.0,Houston full timeout,,12,12
31,1,6:49.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),,15,12
32,1,6:32.0,,E. Freedom makes 2-pt layup from 1 ft,15,14
33,1,6:20.0,Turnover by J. Harden (bad pass),,15,14
34,1,5:59.0,,A. Burks makes 2-pt layup at rim,15,16
35,1,5:38.0,D. Howard makes 2-pt jump shot from 3 ft,,17,16
36,1,5:18.0,Violation by D. Howard (def goaltending),,17,16
37,1,5:18.0,,E. Freedom makes 2-pt hook shot from 4 ft,17,18
38,1,5:06.0,T. Ariza misses 3-pt jump shot from 24 ft,,17,18
39,1,5:04.0,,Defensive rebound by E. Freedom,17,18
40,1,4:57.0,,Personal foul by D. Howard (drawn by A. Burks),17,18
41,1,4:57.0,,R. Hood enters the game for A. Burks,17,18
42,1,4:57.0,D. Motiejūnas enters the game for T. Jones,,17,18
43,1,4:57.0,T. Black enters the game for P. Beverley,,17,18
44,1,4:57.0,J. Terry enters the game for D. Howard,,17,18
45,1,4:49.0,,D. Favors makes 2-pt jump shot from 14 ft (assist by G. Hayward),17,20
46,1,4:24.0,J. Harden misses 2-pt jump shot from 20 ft,,17,20
47,1,4:23.0,,Defensive rebound by D. Favors,17,20
48,1,4:07.0,,T. Burke misses 2-pt layup from 4 ft,17,20
49,1,4:06.0,Defensive rebound by D. Motiejūnas,,17,20
50,1,4:03.0,J. Harden makes 2-pt layup from 1 ft,,19,20
51,1,4:03.0,Shooting foul by G. Hayward (drawn by J. Harden),,19,20
52,1,4:03.0,,T. Booker enters the game for E. Freedom,19,20
53,1,4:03.0,K. Papanikolaou enters the game for T. Ariza,,19,20
54,1,4:03.0,J. Harden makes free throw 1 of 1,,20,20
55,1,3:48.0,,Turnover by D. Favors (bad pass; steal by T. Black),20,20
