,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,H. Barnes misses 2-pt jump shot from 7 ft,,0,0
1,1,11:36.0,,Defensive rebound by B. Griffin,0,0
2,1,11:17.0,,B. Griffin makes 2-pt jump shot from 7 ft (assist by J. Redick),0,2
3,1,11:02.0,K. Thompson misses 3-pt jump shot from 24 ft,,0,2
4,1,11:01.0,,Defensive rebound by D. Jordan,0,2
5,1,10:51.0,,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),0,4
6,1,10:37.0,Offensive foul by A. Bogut (drawn by D. Jordan),,0,4
7,1,10:37.0,Turnover by A. Bogut (offensive foul),,0,4
8,1,10:21.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by B. Griffin),0,7
9,1,10:08.0,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),,2,7
10,1,9:43.0,,C. Paul misses 3-pt jump shot from 25 ft,2,7
11,1,9:41.0,Defensive rebound by A. Bogut,,2,7
12,1,9:38.0,Shooting foul by B. Griffin (drawn by H. Barnes),,2,7
13,1,9:38.0,H. Barnes misses free throw 1 of 2,,2,7
14,1,9:38.0,Offensive rebound by Team,,2,7
15,1,9:38.0,H. Barnes makes free throw 2 of 2,,3,7
16,1,9:29.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by B. Griffin),3,9
17,1,9:17.0,D. Lee makes 2-pt dunk at rim (assist by S. Curry),,5,9
18,1,9:03.0,,Shooting foul by K. Thompson (drawn by J. Redick),5,9
19,1,9:03.0,,J. Redick makes free throw 1 of 2,5,10
20,1,9:03.0,,J. Redick makes free throw 2 of 2,5,11
21,1,8:55.0,H. Barnes misses 3-pt jump shot from 25 ft,,5,11
22,1,8:53.0,Offensive rebound by D. Lee,,5,11
23,1,8:44.0,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Thompson),,8,11
24,1,8:28.0,,D. Jordan misses 2-pt hook shot from 2 ft,8,11
25,1,8:26.0,Defensive rebound by H. Barnes,,8,11
26,1,8:20.0,S. Curry misses 3-pt jump shot from 26 ft,,8,11
27,1,8:18.0,,Defensive rebound by D. Jordan,8,11
28,1,8:12.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),8,13
29,1,7:56.0,H. Barnes misses 2-pt jump shot from 4 ft,,8,13
30,1,7:54.0,,Defensive rebound by D. Jordan,8,13
31,1,7:39.0,,M. Barnes misses 3-pt jump shot from 24 ft,8,13
32,1,7:37.0,,Offensive rebound by M. Barnes,8,13
33,1,7:34.0,,M. Barnes misses 2-pt jump shot from 3 ft,8,13
34,1,7:33.0,Defensive rebound by H. Barnes,,8,13
35,1,7:26.0,K. Thompson misses 3-pt jump shot from 24 ft,,8,13
36,1,7:23.0,,Defensive rebound by D. Jordan,8,13
37,1,7:13.0,,B. Griffin misses 2-pt jump shot from 16 ft,8,13
38,1,7:12.0,Defensive rebound by K. Thompson,,8,13
39,1,6:58.0,A. Bogut misses 2-pt jump shot from 7 ft,,8,13
40,1,6:56.0,,Defensive rebound by D. Jordan,8,13
41,1,6:41.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),8,15
42,1,6:30.0,S. Curry misses 2-pt layup from 1 ft,,8,15
43,1,6:28.0,Offensive rebound by A. Bogut,,8,15
44,1,6:28.0,A. Bogut makes 2-pt tip-in at rim,,10,15
45,1,6:10.0,,J. Redick misses 2-pt jump shot from 18 ft,10,15
46,1,6:08.0,Defensive rebound by K. Thompson,,10,15
47,1,5:55.0,K. Thompson misses 2-pt jump shot from 15 ft,,10,15
48,1,5:53.0,,Defensive rebound by M. Barnes,10,15
49,1,5:43.0,,C. Paul makes 2-pt layup from 1 ft,10,17
50,1,5:33.0,S. Curry misses 2-pt jump shot from 19 ft,,10,17
51,1,5:31.0,,Defensive rebound by D. Jordan,10,17
52,1,5:27.0,,LA Clippers full timeout,10,17
53,1,5:27.0,A. Iguodala enters the game for H. Barnes,,10,17
54,1,5:11.0,,M. Barnes makes 2-pt jump shot from 5 ft (assist by J. Redick),10,19
55,1,4:48.0,D. Lee makes 2-pt jump shot from 19 ft (assist by K. Thompson),,12,19
56,1,4:26.0,,B. Griffin makes 2-pt jump shot from 15 ft (assist by J. Redick),12,21
57,1,4:09.0,D. Lee misses 2-pt jump shot from 7 ft,,12,21
