,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,,A. Davis misses 2-pt jump shot from 13 ft,0,0
1,1,11:39.0,Defensive rebound by R. Sessions,,0,0
2,1,11:25.0,Turnover by D. Cousins (lost ball; steal by Ö. Aşık),,0,0
3,1,11:20.0,,Turnover by J. Holiday (bad pass; steal by R. Sessions),0,0
4,1,11:09.0,R. Sessions misses 2-pt jump shot from 3 ft,,0,0
5,1,11:08.0,,Defensive rebound by J. Holiday,0,0
6,1,10:49.0,,Ö. Aşık misses 2-pt hook shot from 5 ft,0,0
7,1,10:47.0,,Offensive rebound by Team,0,0
8,1,10:32.0,,J. Holiday makes 2-pt jump shot from 7 ft,0,2
9,1,10:12.0,R. Sessions misses 2-pt jump shot from 5 ft,,0,2
10,1,10:09.0,Offensive rebound by R. Sessions,,0,2
11,1,10:03.0,O. Casspi misses 2-pt jump shot from 7 ft,,0,2
12,1,10:02.0,,Defensive rebound by Ö. Aşık,0,2
13,1,9:48.0,,A. Davis misses 2-pt jump shot from 5 ft,0,2
14,1,9:47.0,Defensive rebound by J. Thompson,,0,2
15,1,9:37.0,J. Thompson misses 2-pt hook shot from 8 ft (block by A. Davis),,0,2
16,1,9:35.0,,Defensive rebound by A. Davis,0,2
17,1,9:22.0,,D. Miller misses 2-pt jump shot from 20 ft,0,2
18,1,9:20.0,Defensive rebound by J. Thompson,,0,2
19,1,9:12.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by R. Sessions),,2,2
20,1,8:54.0,,J. Holiday misses 2-pt jump shot from 15 ft,2,2
21,1,8:53.0,Defensive rebound by D. Cousins,,2,2
22,1,8:48.0,Shooting block foul by J. Holiday (drawn by R. Sessions),,2,2
23,1,8:48.0,R. Sessions makes free throw 1 of 2,,3,2
24,1,8:48.0,R. Sessions makes free throw 2 of 2,,4,2
25,1,8:34.0,,Turnover by T. Evans (bad pass; steal by R. Sessions),4,2
26,1,8:28.0,O. Casspi makes 2-pt layup from 2 ft (assist by R. Sessions),,6,2
27,1,8:09.0,,Ö. Aşık misses 2-pt jump shot from 3 ft (block by D. Cousins),6,2
28,1,8:06.0,Defensive rebound by B. McLemore,,6,2
29,1,7:58.0,D. Cousins misses 2-pt jump shot from 20 ft,,6,2
30,1,7:57.0,,Defensive rebound by J. Holiday,6,2
31,1,7:48.0,,D. Miller misses 3-pt jump shot from 26 ft,6,2
32,1,7:47.0,Defensive rebound by J. Thompson,,6,2
33,1,7:35.0,O. Casspi makes 2-pt layup from 2 ft (assist by D. Cousins),,8,2
34,1,7:20.0,,T. Evans misses 2-pt jump shot from 17 ft,8,2
35,1,7:19.0,Defensive rebound by O. Casspi,,8,2
36,1,7:12.0,Shooting foul by D. Miller (drawn by R. Sessions),,8,2
37,1,7:12.0,R. Sessions makes free throw 1 of 2,,9,2
38,1,7:12.0,R. Sessions makes free throw 2 of 2,,10,2
39,1,6:55.0,,Turnover by J. Holiday (bad pass; steal by B. McLemore),10,2
