,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by T. Duncan),0,2
1,1,11:23.0,K. Irving makes 2-pt jump shot from 11 ft (assist by K. Love),,2,2
2,1,11:07.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Splitter),2,5
3,1,10:50.0,K. Love makes 3-pt jump shot from 24 ft (assist by J. Smith),,5,5
4,1,10:36.0,,T. Parker makes 2-pt jump shot from 7 ft,5,7
5,1,10:24.0,K. Irving misses 2-pt jump shot from 3 ft (block by T. Duncan),,5,7
6,1,10:23.0,,Defensive rebound by T. Parker,5,7
7,1,10:06.0,,D. Green misses 2-pt jump shot from 13 ft,5,7
8,1,10:05.0,Defensive rebound by T. Mozgov,,5,7
9,1,9:47.0,L. James makes 2-pt dunk from 1 ft (assist by J. Smith),,7,7
10,1,9:31.0,,T. Parker makes 2-pt jump shot from 15 ft,7,9
11,1,9:15.0,L. James misses 2-pt layup from 2 ft,,7,9
12,1,9:14.0,Offensive rebound by T. Mozgov,,7,9
13,1,9:11.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,10,9
14,1,8:51.0,,D. Green makes 2-pt jump shot from 15 ft (assist by K. Leonard),10,11
15,1,8:34.0,K. Love misses 3-pt jump shot from 23 ft,,10,11
16,1,8:33.0,Offensive rebound by T. Mozgov,,10,11
17,1,8:29.0,J. Smith makes 3-pt jump shot from 24 ft (assist by T. Mozgov),,13,11
18,1,8:16.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),13,14
19,1,8:02.0,T. Mozgov misses 2-pt dunk at rim,,13,14
20,1,8:01.0,,Defensive rebound by K. Leonard,13,14
21,1,7:53.0,,K. Leonard makes 2-pt jump shot from 9 ft,13,16
22,1,7:28.0,T. Mozgov makes 2-pt jump shot from 10 ft (assist by J. Smith),,15,16
23,1,7:11.0,,Turnover by T. Duncan (lost ball; steal by L. James),15,16
24,1,7:02.0,Shooting foul by D. Green (drawn by T. Mozgov),,15,16
25,1,7:02.0,T. Mozgov misses free throw 1 of 2,,15,16
26,1,7:02.0,Offensive rebound by Team,,15,16
27,1,7:02.0,T. Mozgov makes free throw 2 of 2,,16,16
