,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,M. Williams misses 2-pt jump shot from 20 ft,0,0
1,1,11:45.0,Defensive rebound by M. Carter-Williams,,0,0
2,1,11:32.0,Shooting foul by A. Wiggins (drawn by M. Carter-Williams),,0,0
3,1,11:32.0,M. Carter-Williams misses free throw 1 of 2,,0,0
4,1,11:32.0,Offensive rebound by Team,,0,0
5,1,11:32.0,M. Carter-Williams makes free throw 2 of 2,,1,0
6,1,11:17.0,,A. Wiggins misses 2-pt jump shot from 6 ft,1,0
7,1,11:16.0,Defensive rebound by L. Mbah a Moute,,1,0
8,1,11:08.0,Turnover by M. Carter-Williams (bad pass; steal by C. Brewer),,1,0
9,1,11:03.0,,Turnover by M. Williams (bad pass; steal by H. Sims),1,0
10,1,10:56.0,Shooting foul by G. Dieng (drawn by L. Mbah a Moute),,1,0
11,1,10:56.0,L. Mbah a Moute makes free throw 1 of 2,,2,0
12,1,10:56.0,L. Mbah a Moute makes free throw 2 of 2,,3,0
13,1,10:42.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by M. Williams),3,2
14,1,10:33.0,Def 3 sec tech foul by G. Dieng,,3,2
15,1,10:33.0,H. Sims makes technical free throw,,4,2
16,1,10:26.0,H. Sims makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),,6,2
17,1,10:07.0,,T. Young misses 2-pt jump shot from 14 ft,6,2
18,1,10:06.0,Defensive rebound by H. Sims,,6,2
19,1,9:53.0,Turnover by L. Mbah a Moute (bad pass),,6,2
20,1,9:39.0,,T. Young misses 2-pt layup from 2 ft,6,2
21,1,9:37.0,,Offensive rebound by C. Brewer,6,2
22,1,9:34.0,,C. Brewer makes 2-pt jump shot from 4 ft,6,4
23,1,9:22.0,L. Mbah a Moute makes 2-pt dunk at rim (assist by H. Sims),,8,4
24,1,9:02.0,,T. Young misses 2-pt layup from 1 ft,8,4
25,1,9:01.0,Defensive rebound by L. Mbah a Moute,,8,4
26,1,8:51.0,Personal foul by M. Williams (drawn by M. Carter-Williams),,8,4
27,1,8:39.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,8,4
28,1,8:38.0,Offensive rebound by H. Sims,,8,4
29,1,8:36.0,H. Sims makes 2-pt layup at rim,,10,4
30,1,8:08.0,,G. Dieng misses 2-pt jump shot from 14 ft,10,4
31,1,8:07.0,,Offensive rebound by A. Wiggins,10,4
32,1,8:07.0,,A. Wiggins misses 2-pt tip-in at rim,10,4
33,1,8:06.0,Defensive rebound by L. Mbah a Moute,,10,4
34,1,7:55.0,N. Noel makes 2-pt hook shot from 5 ft,,12,4
35,1,7:54.0,,Minnesota full timeout,12,4
36,1,7:31.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by M. Williams),12,7
37,1,7:12.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,12,7
38,1,7:11.0,,Defensive rebound by G. Dieng,12,7
39,1,6:57.0,,G. Dieng makes 2-pt layup at rim (assist by T. Young),12,9
40,1,6:35.0,H. Sims misses 2-pt jump shot from 15 ft,,12,9
41,1,6:34.0,,Defensive rebound by G. Dieng,12,9
42,1,6:31.0,,Turnover by T. Young (bad pass; steal by L. Mbah a Moute),12,9
43,1,6:20.0,H. Thompson misses 3-pt jump shot from 25 ft,,12,9
44,1,6:19.0,,Defensive rebound by T. Young,12,9
45,1,6:16.0,,Turnover by T. Young (bad pass; steal by N. Noel),12,9
46,1,6:10.0,Turnover by H. Thompson (traveling),,12,9
47,1,6:10.0,K. McDaniels enters the game for L. Mbah a Moute,,12,9
48,1,6:00.0,,Turnover by C. Brewer (traveling),12,9
49,1,5:45.0,N. Noel misses 2-pt jump shot from 20 ft,,12,9
50,1,5:44.0,,Defensive rebound by C. Brewer,12,9
51,1,5:35.0,,G. Dieng makes 2-pt layup at rim (assist by M. Williams),12,11
52,1,5:35.0,,Shooting foul by N. Noel (drawn by G. Dieng),12,11
53,1,5:35.0,,R. Hummel enters the game for T. Young,12,11
54,1,5:35.0,B. Davies enters the game for H. Sims,,12,11
55,1,5:35.0,,G. Dieng makes free throw 1 of 1,12,12
56,1,5:27.0,Turnover by M. Carter-Williams (dbl dribble),,12,12
57,1,5:10.0,,Turnover by C. Brewer (bad pass; steal by H. Thompson),12,12
58,1,4:49.0,Turnover by B. Davies (bad pass),,12,12
59,1,4:43.0,,M. Williams misses 3-pt jump shot from 24 ft,12,12
60,1,4:42.0,Defensive rebound by H. Thompson,,12,12
61,1,4:37.0,M. Carter-Williams makes 2-pt layup from 2 ft,,14,12
62,1,4:12.0,,G. Dieng misses 2-pt jump shot from 9 ft,14,12
63,1,4:11.0,Defensive rebound by N. Noel,,14,12
64,1,3:57.0,N. Noel makes 2-pt jump shot from 6 ft,,16,12
65,1,3:46.0,,Shooting foul by H. Thompson (drawn by C. Brewer),16,12
66,1,3:46.0,,C. Brewer misses free throw 1 of 2,16,12
67,1,3:46.0,,Offensive rebound by Team,16,12
68,1,3:46.0,R. Covington enters the game for H. Thompson,,16,12
69,1,3:46.0,J. Grant enters the game for N. Noel,,16,12
70,1,3:46.0,,C. Brewer makes free throw 2 of 2,16,13
71,1,3:46.0,Philadelphia full timeout,,16,13
72,1,3:46.0,,S. Muhammad enters the game for C. Brewer,16,13
73,1,3:35.0,,A. Bennett enters the game for G. Dieng,16,13
74,1,3:29.0,Shooting foul by A. Bennett (drawn by J. Grant),,16,13
75,1,3:29.0,J. Grant misses free throw 1 of 2,,16,13
76,1,3:29.0,Offensive rebound by Team,,16,13
77,1,3:29.0,J. Grant makes free throw 2 of 2,,17,13
78,1,3:27.0,,Turnover by M. Williams (lost ball; steal by B. Davies),17,13
79,1,3:24.0,M. Carter-Williams makes 2-pt layup from 1 ft,,19,13
80,1,3:01.0,,S. Muhammad misses 2-pt layup from 1 ft (block by J. Grant),19,13
81,1,3:00.0,Defensive rebound by K. McDaniels,,19,13
82,1,2:49.0,M. Carter-Williams misses 2-pt jump shot from 5 ft,,19,13
83,1,2:47.0,,Defensive rebound by A. Bennett,19,13
84,1,2:35.0,,A. Bennett misses 2-pt layup from 2 ft,19,13
85,1,2:32.0,Defensive rebound by Team,,19,13
86,1,2:32.0,L. Mbah a Moute enters the game for M. Carter-Williams,,19,13
87,1,2:18.0,R. Covington misses 2-pt jump shot from 3 ft,,19,13
88,1,2:17.0,,Defensive rebound by R. Hummel,19,13
89,1,2:10.0,,Personal foul by B. Davies (drawn by R. Hummel),19,13
90,1,2:07.0,,Personal foul by R. Covington (drawn by S. Muhammad),19,13
91,1,1:54.0,,A. Bennett misses 2-pt layup from 2 ft,19,13
92,1,1:53.0,Defensive rebound by J. Grant,,19,13
93,1,1:46.0,J. Grant makes 2-pt layup at rim (assist by K. McDaniels),,21,13
94,1,1:32.0,,Turnover by M. Williams (lost ball; steal by K. McDaniels),21,13
95,1,1:20.0,R. Covington misses 3-pt jump shot from 24 ft,,21,13
96,1,1:19.0,Offensive rebound by B. Davies,,21,13
97,1,1:15.0,K. McDaniels misses 3-pt jump shot from 25 ft,,21,13
98,1,1:13.0,Offensive rebound by K. McDaniels,,21,13
99,1,1:05.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,23,13
100,1,0:46.0,,A. Wiggins misses 2-pt jump shot from 20 ft,23,13
101,1,0:44.0,Defensive rebound by Team,,23,13
102,1,0:44.0,,Z. LaVine enters the game for M. Williams,23,13
103,1,0:30.0,K. McDaniels misses 3-pt jump shot from 24 ft,,23,13
104,1,0:28.0,Offensive rebound by R. Covington,,23,13
105,1,0:27.0,R. Covington misses 2-pt layup at rim,,23,13
106,1,0:26.0,Offensive rebound by B. Davies,,23,13
107,1,0:05.0,R. Covington misses 2-pt layup from 1 ft (block by A. Bennett),,23,13
108,1,0:03.0,Offensive rebound by J. Grant,,23,13
109,1,0:02.0,J. Grant misses 2-pt jump shot from 10 ft,,23,13
110,1,0:02.0,Offensive rebound by Team,,23,13
111,1,0:02.0,Turnover by Team (shot clock),,23,13
112,2,11:36.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,23,13
113,2,11:31.0,,Defensive rebound by S. Muhammad,23,13
114,2,11:28.0,,S. Muhammad makes 2-pt layup from 1 ft (assist by C. Brewer),23,15
115,2,11:20.0,Shooting foul by Z. LaVine (drawn by M. Carter-Williams),,23,15
116,2,11:20.0,M. Carter-Williams misses free throw 1 of 2,,23,15
117,2,11:20.0,Offensive rebound by Team,,23,15
118,2,11:20.0,M. Carter-Williams makes free throw 2 of 2,,24,15
119,2,11:04.0,,G. Dieng misses 2-pt jump shot from 8 ft (block by K. McDaniels),24,15
120,2,11:02.0,Defensive rebound by M. Carter-Williams,,24,15
121,2,10:58.0,H. Sims makes 2-pt dunk at rim (assist by M. Carter-Williams),,26,15
122,2,10:37.0,,T. Young misses 2-pt hook shot from 7 ft,26,15
123,2,10:36.0,Defensive rebound by L. Mbah a Moute,,26,15
124,2,10:36.0,Personal foul by T. Young (drawn by L. Mbah a Moute),,26,15
125,2,10:20.0,R. Covington misses 2-pt jump shot from 6 ft,,26,15
126,2,10:19.0,,Defensive rebound by G. Dieng,26,15
127,2,10:01.0,,Turnover by Z. LaVine (bad pass; steal by M. Carter-Williams),26,15
128,2,9:54.0,K. McDaniels misses 3-pt jump shot from 24 ft,,26,15
129,2,9:52.0,,Defensive rebound by G. Dieng,26,15
130,2,9:35.0,,Z. LaVine misses 3-pt jump shot from 24 ft,26,15
131,2,9:33.0,,Offensive rebound by S. Muhammad,26,15
132,2,9:33.0,,S. Muhammad makes 2-pt tip-in at rim,26,17
133,2,9:16.0,Shooting foul by S. Muhammad (drawn by H. Sims),,26,17
134,2,9:16.0,H. Sims makes free throw 1 of 2,,27,17
135,2,9:16.0,N. Noel enters the game for K. McDaniels,,27,17
136,2,9:16.0,H. Sims misses free throw 2 of 2,,27,17
137,2,9:16.0,,Defensive rebound by G. Dieng,27,17
138,2,8:54.0,,S. Muhammad misses 2-pt jump shot from 13 ft,27,17
139,2,8:53.0,Defensive rebound by H. Sims,,27,17
140,2,8:45.0,R. Covington makes 2-pt layup at rim (assist by M. Carter-Williams),,29,17
141,2,8:37.0,,Minnesota full timeout,29,17
142,2,8:37.0,,C. Budinger enters the game for S. Muhammad,29,17
143,2,8:37.0,H. Thompson enters the game for L. Mbah a Moute,,29,17
144,2,8:22.0,,C. Brewer misses 2-pt jump shot from 7 ft,29,17
145,2,8:20.0,Defensive rebound by Team,,29,17
146,2,8:07.0,H. Sims misses 2-pt jump shot from 17 ft,,29,17
147,2,8:06.0,,Defensive rebound by G. Dieng,29,17
148,2,7:42.0,,C. Brewer misses 2-pt jump shot from 20 ft,29,17
149,2,7:42.0,,Offensive rebound by Team,29,17
150,2,7:42.0,,Turnover by Team (shot clock),29,17
151,2,7:27.0,Personal foul by Z. LaVine (drawn by M. Carter-Williams),,29,17
152,2,7:27.0,,M. Williams enters the game for Z. LaVine,29,17
153,2,7:21.0,Turnover by H. Thompson (traveling),,29,17
154,2,7:06.0,,G. Dieng makes 2-pt layup from 1 ft (assist by M. Williams),29,19
155,2,6:51.0,N. Noel misses 2-pt jump shot from 16 ft,,29,19
156,2,6:50.0,,Defensive rebound by C. Budinger,29,19
157,2,6:42.0,,C. Budinger misses 2-pt jump shot from 6 ft,29,19
158,2,6:41.0,Defensive rebound by H. Thompson,,29,19
159,2,6:20.0,N. Noel misses 2-pt jump shot from 13 ft,,29,19
160,2,6:19.0,,Defensive rebound by G. Dieng,29,19
161,2,6:11.0,,M. Williams misses 2-pt jump shot from 10 ft,29,19
162,2,6:10.0,,Offensive rebound by T. Young,29,19
163,2,6:08.0,,T. Young makes 2-pt layup at rim,29,21
164,2,6:07.0,Philadelphia full timeout,,29,21
165,2,6:07.0,K. McDaniels enters the game for R. Covington,,29,21
166,2,5:49.0,N. Noel makes 2-pt hook shot from 6 ft (assist by K. McDaniels),,31,21
167,2,5:32.0,,T. Young misses 2-pt dunk at rim,31,21
168,2,5:30.0,Defensive rebound by H. Thompson,,31,21
169,2,5:24.0,H. Sims misses 2-pt dunk at rim (block by T. Young),,31,21
170,2,5:22.0,,Defensive rebound by G. Dieng,31,21
171,2,5:12.0,B. Davies enters the game for H. Sims,,31,21
172,2,5:03.0,,C. Brewer misses 3-pt jump shot from 23 ft,31,21
173,2,5:03.0,Defensive rebound by Team,,31,21
174,2,4:56.0,Turnover by K. McDaniels (bad pass; steal by T. Young),,31,21
175,2,4:52.0,,T. Young makes 2-pt layup from 1 ft,31,23
176,2,4:35.0,Turnover by M. Carter-Williams (bad pass; steal by G. Dieng),,31,23
177,2,4:31.0,,G. Dieng misses 2-pt layup at rim (block by K. McDaniels),31,23
178,2,4:29.0,Defensive rebound by M. Carter-Williams,,31,23
179,2,4:23.0,H. Thompson misses 3-pt jump shot from 24 ft,,31,23
180,2,4:21.0,,Defensive rebound by T. Young,31,23
181,2,4:19.0,,Personal take foul by B. Davies (drawn by G. Dieng),31,23
182,2,4:07.0,,Personal foul by N. Noel (drawn by G. Dieng),31,23
183,2,4:07.0,L. Mbah a Moute enters the game for N. Noel,,31,23
184,2,4:07.0,,A. Wiggins enters the game for C. Budinger,31,23
185,2,3:54.0,,A. Wiggins misses 2-pt layup from 1 ft,31,23
186,2,3:53.0,Defensive rebound by K. McDaniels,,31,23
187,2,3:49.0,Turnover by K. McDaniels (lost ball; steal by C. Brewer),,31,23
188,2,3:46.0,,C. Brewer misses 2-pt layup at rim (block by K. McDaniels),31,23
189,2,3:45.0,,Offensive rebound by M. Williams,31,23
190,2,3:44.0,,M. Williams misses 2-pt layup at rim,31,23
191,2,3:43.0,Defensive rebound by K. McDaniels,,31,23
192,2,3:38.0,H. Thompson misses 3-pt jump shot from 24 ft,,31,23
193,2,3:37.0,,Defensive rebound by A. Wiggins,31,23
194,2,3:31.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by C. Brewer),31,26
195,2,3:28.0,Philadelphia full timeout,,31,26
196,2,3:11.0,Turnover by M. Carter-Williams (lost ball),,31,26
197,2,2:57.0,,Turnover by G. Dieng (bad pass; steal by H. Thompson),31,26
198,2,2:53.0,Shooting foul by M. Williams (drawn by H. Thompson),,31,26
199,2,2:53.0,Philadelphia full timeout,,31,26
200,2,2:53.0,R. Covington enters the game for M. Carter-Williams,,31,26
201,2,2:53.0,H. Thompson misses free throw 1 of 2,,31,26
