,QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
0,1,11:36.0,D. Favors misses 2-pt jump shot from 15 ft,,0,0
1,1,11:35.0,,Defensive rebound by L. Deng,0,0
2,1,11:15.0,,N. Cole misses 2-pt jump shot from 17 ft,0,0
3,1,11:14.0,Defensive rebound by G. Hayward,,0,0
4,1,10:54.0,E. Freedom misses 2-pt hook shot from 5 ft,,0,0
5,1,10:53.0,Offensive rebound by D. Favors,,0,0
6,1,10:52.0,D. Favors makes 2-pt layup from 2 ft,,2,0
7,1,10:37.0,,D. Wade makes 2-pt jump shot from 18 ft (assist by L. Deng),2,2
8,1,10:25.0,,Violation by C. Andersen (kicked ball),2,2
9,1,10:11.0,G. Hayward makes 2-pt jump shot from 18 ft,,4,2
10,1,9:46.0,,D. Wade makes 2-pt jump shot from 19 ft,4,4
11,1,9:30.0,D. Favors misses 2-pt jump shot from 11 ft,,4,4
12,1,9:29.0,,Defensive rebound by Team,4,4
13,1,9:29.0,Loose ball foul by E. Freedom (drawn by J. Hamilton),,4,4
14,1,9:12.0,,J. Hamilton makes 2-pt jump shot from 16 ft (assist by D. Wade),4,6
15,1,8:52.0,A. Burks makes 2-pt jump shot from 14 ft,,6,6
16,1,8:37.0,,Shooting foul by G. Hayward (drawn by D. Wade),6,6
17,1,8:37.0,,D. Wade misses free throw 1 of 2,6,6
18,1,8:37.0,,Offensive rebound by Team,6,6
19,1,8:37.0,,D. Wade makes free throw 2 of 2,6,7
20,1,8:21.0,Turnover by G. Hayward (traveling),,6,7
21,1,8:10.0,,Turnover by C. Andersen (bad pass),6,7
22,1,7:54.0,E. Freedom misses 2-pt jump shot from 15 ft,,6,7
23,1,7:53.0,,Defensive rebound by L. Deng,6,7
24,1,7:44.0,,J. Hamilton misses 3-pt jump shot from 25 ft,6,7
25,1,7:43.0,Defensive rebound by Team,,6,7
26,1,7:28.0,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),,9,7
27,1,7:07.0,,C. Andersen makes 2-pt jump shot from 19 ft (assist by N. Cole),9,9
28,1,6:50.0,E. Freedom makes 2-pt layup from 3 ft,,11,9
29,1,6:36.0,,N. Cole misses 2-pt layup from 1 ft,11,9
30,1,6:35.0,,Offensive rebound by L. Deng,11,9
31,1,6:34.0,,L. Deng makes 2-pt tip-in at rim,11,11
32,1,6:17.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by A. Burks),,14,11
33,1,6:04.0,,C. Andersen misses 2-pt jump shot from 16 ft,14,11
34,1,6:03.0,Defensive rebound by Team,,14,11
35,1,5:43.0,E. Freedom makes 2-pt layup at rim (assist by A. Burks),,16,11
36,1,5:43.0,,Miami full timeout,16,11
37,1,5:43.0,D. Exum enters the game for E. Freedom,,16,11
38,1,5:43.0,R. Hood enters the game for A. Burks,,16,11
39,1,5:43.0,T. Booker enters the game for T. Burke,,16,11
40,1,5:43.0,,M. Chalmers enters the game for N. Cole,16,11
41,1,5:23.0,,Shooting foul by R. Hood (drawn by D. Wade),16,11
42,1,5:23.0,,D. Wade makes free throw 1 of 2,16,12
43,1,5:23.0,,U. Haslem enters the game for C. Andersen,16,12
44,1,5:23.0,,D. Wade misses free throw 2 of 2,16,12
45,1,5:22.0,Defensive rebound by T. Booker,,16,12
46,1,5:07.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Exum),,19,12
47,1,4:50.0,,D. Wade misses 2-pt jump shot from 20 ft,19,12
48,1,4:49.0,Defensive rebound by G. Hayward,,19,12
49,1,4:44.0,Turnover by R. Hood (step out of bounds),,19,12
50,1,4:32.0,,M. Chalmers misses 2-pt jump shot from 9 ft,19,12
51,1,4:31.0,Defensive rebound by D. Exum,,19,12
52,1,4:20.0,T. Booker makes 2-pt hook shot from 10 ft (assist by R. Hood),,21,12
53,1,4:03.0,,Shooting foul by T. Booker (drawn by L. Deng),21,12
54,1,4:03.0,,L. Deng makes free throw 1 of 2,21,13
55,1,4:03.0,,S. Napier enters the game for D. Wade,21,13
56,1,4:03.0,,S. Williams enters the game for J. Hamilton,21,13
57,1,4:03.0,,L. Deng makes free throw 2 of 2,21,14
58,1,3:46.0,T. Booker makes 2-pt jump shot from 14 ft (assist by G. Hayward),,23,14
59,1,3:27.0,,U. Haslem misses 2-pt jump shot from 15 ft,23,14
60,1,3:26.0,Defensive rebound by T. Booker,,23,14
61,1,3:11.0,T. Booker misses 2-pt layup from 1 ft,,23,14
62,1,3:09.0,,Defensive rebound by M. Chalmers,23,14
63,1,3:07.0,,M. Chalmers misses 2-pt layup from 1 ft,23,14
64,1,3:06.0,Defensive rebound by Team,,23,14
65,1,3:06.0,,Loose ball foul by U. Haslem (drawn by D. Favors),23,14
66,1,3:06.0,Utah full timeout,,23,14
67,1,3:06.0,R. Gobert enters the game for D. Favors,,23,14
68,1,2:50.0,R. Hood makes 3-pt jump shot from 25 ft (assist by D. Exum),,26,14
69,1,2:40.0,,Turnover by S. Napier (bad pass),26,14
70,1,2:29.0,G. Hayward makes 2-pt layup from 1 ft,,28,14
71,1,2:29.0,Shooting foul by S. Williams (drawn by G. Hayward),,28,14
72,1,2:29.0,G. Hayward makes free throw 1 of 1,,29,14
73,1,2:18.0,,Turnover by S. Williams (traveling),29,14
74,1,2:03.0,Turnover by G. Hayward (bad pass; steal by M. Chalmers),,29,14
75,1,1:51.0,,Shooting foul by D. Exum (drawn by S. Napier),29,14
76,1,1:51.0,,S. Napier misses free throw 1 of 2,29,14
77,1,1:51.0,,Offensive rebound by Team,29,14
78,1,1:51.0,,J. Ennis enters the game for L. Deng,29,14
79,1,1:51.0,,S. Napier misses free throw 2 of 2,29,14
80,1,1:50.0,Defensive rebound by R. Gobert,,29,14
81,1,1:36.0,D. Exum makes 2-pt jump shot from 21 ft (assist by R. Gobert),,31,14
82,1,1:20.0,,M. Chalmers misses 2-pt layup at rim,31,14
83,1,1:19.0,Defensive rebound by T. Booker,,31,14
84,1,1:09.0,D. Exum misses 3-pt jump shot from 25 ft,,31,14
85,1,1:08.0,,Defensive rebound by S. Williams,31,14
86,1,0:56.0,,Shooting foul by R. Hood (drawn by J. Ennis),31,14
87,1,0:56.0,,J. Ennis makes free throw 1 of 2,31,15
88,1,0:56.0,J. Ingles enters the game for R. Hood,,31,15
89,1,0:56.0,,J. Ennis makes free throw 2 of 2,31,16
90,1,0:56.0,Turnover by T. Booker (bad pass),,31,16
91,1,0:44.0,,M. Chalmers misses 2-pt jump shot from 11 ft,31,16
92,1,0:43.0,Defensive rebound by G. Hayward,,31,16
93,1,0:40.0,Shooting foul by M. Chalmers (drawn by G. Hayward),,31,16
94,1,0:40.0,G. Hayward makes free throw 1 of 2,,32,16
95,1,0:40.0,G. Hayward makes free throw 2 of 2,,33,16
96,1,0:24.0,,S. Williams misses 3-pt jump shot from 22 ft,33,16
97,1,0:23.0,Defensive rebound by J. Ingles,,33,16
98,1,0:03.0,G. Hayward misses 2-pt jump shot from 22 ft,,33,16
99,1,0:01.0,,Defensive rebound by S. Napier,33,16
100,2,11:38.0,,Shooting foul by A. Burks (drawn by M. Chalmers),33,16
101,2,11:38.0,,M. Chalmers misses free throw 1 of 2,33,16
102,2,11:38.0,,Offensive rebound by Team,33,16
103,2,11:38.0,,M. Chalmers makes free throw 2 of 2,33,17
104,2,11:18.0,Offensive foul by E. Freedom (drawn by U. Haslem),,33,17
105,2,11:18.0,Turnover by E. Freedom (offensive foul),,33,17
106,2,11:05.0,,Shooting foul by R. Gobert (drawn by U. Haslem),33,17
107,2,11:05.0,,U. Haslem misses free throw 1 of 2,33,17
108,2,11:05.0,,Offensive rebound by Team,33,17
109,2,11:05.0,T. Booker enters the game for E. Freedom,,33,17
110,2,11:05.0,,U. Haslem misses free throw 2 of 2,33,17
111,2,11:04.0,Defensive rebound by R. Gobert,,33,17
112,2,10:49.0,Turnover by D. Exum (lost ball),,33,17
113,2,10:27.0,,S. Napier misses 3-pt jump shot from 24 ft,33,17
114,2,10:26.0,Defensive rebound by Team,,33,17
115,2,10:02.0,T. Booker misses 2-pt jump shot from 19 ft,,33,17
116,2,10:01.0,,Defensive rebound by S. Napier,33,17
117,2,9:42.0,,S. Napier misses 2-pt jump shot from 18 ft,33,17
118,2,9:41.0,Defensive rebound by R. Gobert,,33,17
119,2,9:29.0,Personal foul by U. Haslem (drawn by J. Ingles),,33,17
120,2,9:29.0,,D. Wade enters the game for S. Napier,33,17
121,2,9:13.0,,Def 3 sec tech foul by T. Booker,33,17
122,2,9:13.0,,D. Wade makes technical free throw,33,18
123,2,9:10.0,,Turnover by D. Wade (bad pass; steal by R. Gobert),33,18
124,2,9:06.0,R. Gobert makes 2-pt layup from 1 ft,,35,18
125,2,8:49.0,,S. Williams misses 3-pt jump shot from 25 ft,35,18
126,2,8:48.0,Defensive rebound by D. Exum,,35,18
127,2,8:32.0,Turnover by D. Exum (bad pass; steal by S. Williams),,35,18
128,2,8:28.0,,D. Wade makes 2-pt dunk at rim (assist by S. Williams),35,20
129,2,8:03.0,D. Exum makes 3-pt jump shot from 25 ft (assist by J. Ingles),,38,20
130,2,8:03.0,,Miami full timeout,38,20
131,2,7:42.0,,Shooting foul by A. Burks (drawn by D. Wade),38,20
132,2,7:42.0,,D. Wade makes free throw 1 of 2,38,21
133,2,7:42.0,G. Hayward enters the game for A. Burks,,38,21
134,2,7:42.0,,C. Andersen enters the game for U. Haslem,38,21
135,2,7:42.0,,D. Wade makes free throw 2 of 2,38,22
136,2,7:18.0,J. Ingles misses 3-pt jump shot from 26 ft,,38,22
137,2,7:16.0,,Defensive rebound by J. Ennis,38,22
138,2,7:09.0,,J. Ennis makes 2-pt jump shot from 4 ft (assist by D. Wade),38,24
139,2,7:09.0,,Shooting foul by T. Booker (drawn by J. Ennis),38,24
140,2,7:09.0,R. Hood enters the game for J. Ingles,,38,24
141,2,7:09.0,E. Freedom enters the game for T. Booker,,38,24
142,2,7:09.0,,J. Ennis makes free throw 1 of 1,38,25
143,2,6:47.0,R. Hood makes 3-pt jump shot from 26 ft (assist by D. Exum),,41,25
144,2,6:39.0,,Personal foul by R. Hood (drawn by D. Wade),41,25
145,2,6:39.0,,D. Wade misses free throw 1 of 2,41,25
146,2,6:39.0,,Offensive rebound by Team,41,25
