,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
0,1,11:45.0,,D. West makes 2-pt jump shot from 16 ft (assist by C. Watson),0,2
1,1,11:32.0,Shooting foul by S. Hill (drawn by A. Wiggins),,0,2
2,1,11:32.0,A. Wiggins makes free throw 1 of 2,,1,2
3,1,11:32.0,A. Wiggins makes free throw 2 of 2,,2,2
4,1,11:13.0,,R. Hibbert misses 2-pt jump shot from 3 ft,2,2
5,1,11:12.0,,Offensive rebound by R. Hibbert,2,2
6,1,11:10.0,,R. Hibbert misses 2-pt tip-in from 1 ft,2,2
7,1,11:07.0,Defensive rebound by C. Budinger,,2,2
8,1,11:00.0,T. Young misses 2-pt jump shot from 17 ft,,2,2
9,1,10:59.0,,Defensive rebound by C. Watson,2,2
10,1,10:38.0,,Shooting foul by M. Williams (drawn by C. Watson),2,2
11,1,10:38.0,,C. Watson makes free throw 1 of 2,2,3
12,1,10:38.0,,C. Watson makes free throw 2 of 2,2,4
13,1,10:27.0,C. Budinger makes 3-pt jump shot from 25 ft (assist by M. Williams),,5,4
14,1,10:05.0,,R. Hibbert makes 2-pt hook shot from 6 ft,5,6
15,1,9:51.0,G. Dieng makes 2-pt dunk at rim (assist by T. Young),,7,6
16,1,9:39.0,,R. Hibbert makes 2-pt jump shot from 17 ft (assist by C. Watson),7,8
17,1,9:30.0,M. Williams makes 2-pt jump shot from 14 ft,,9,8
18,1,9:16.0,,C. Miles misses 3-pt jump shot from 26 ft,9,8
19,1,9:14.0,Defensive rebound by T. Young,,9,8
20,1,9:03.0,T. Young misses 2-pt jump shot from 18 ft,,9,8
21,1,9:02.0,,Defensive rebound by S. Hill,9,8
22,1,8:49.0,,C. Watson makes 3-pt jump shot from 23 ft (assist by S. Hill),9,11
23,1,8:36.0,C. Budinger misses 2-pt jump shot from 3 ft,,9,11
24,1,8:35.0,,Defensive rebound by R. Hibbert,9,11
25,1,8:26.0,,Turnover by S. Hill (bad pass; steal by G. Dieng),9,11
26,1,8:19.0,Turnover by C. Budinger (traveling),,9,11
27,1,8:08.0,,C. Miles misses 2-pt layup from 2 ft (block by G. Dieng),9,11
28,1,8:07.0,,Offensive rebound by Team,9,11
29,1,8:05.0,,S. Hill misses 2-pt jump shot from 17 ft,9,11
30,1,8:04.0,Defensive rebound by G. Dieng,,9,11
31,1,7:47.0,G. Dieng misses 2-pt jump shot from 11 ft,,9,11
32,1,7:46.0,,Defensive rebound by D. West,9,11
33,1,7:33.0,,D. West misses 2-pt jump shot from 17 ft,9,11
34,1,7:32.0,Defensive rebound by M. Williams,,9,11
35,1,7:24.0,Turnover by M. Williams (lost ball; steal by C. Watson),,9,11
36,1,7:16.0,,Turnover by S. Hill (bad pass; steal by C. Budinger),9,11
37,1,7:09.0,T. Young makes 2-pt layup from 1 ft (assist by A. Wiggins),,11,11
38,1,6:49.0,,D. West misses 2-pt layup from 2 ft,11,11
39,1,6:47.0,,Offensive rebound by R. Hibbert,11,11
40,1,6:47.0,,R. Hibbert makes 2-pt tip-in at rim,11,13
41,1,6:35.0,A. Wiggins misses 2-pt jump shot from 15 ft,,11,13
42,1,6:34.0,,Defensive rebound by R. Hibbert,11,13
43,1,6:23.0,,Turnover by R. Hibbert (bad pass; steal by C. Budinger),11,13
44,1,6:09.0,M. Williams misses 2-pt jump shot from 17 ft,,11,13
45,1,6:08.0,,Defensive rebound by C. Miles,11,13
46,1,6:01.0,,C. Miles misses 2-pt jump shot from 6 ft,11,13
47,1,6:00.0,Defensive rebound by M. Williams,,11,13
48,1,5:52.0,M. Williams makes 2-pt jump shot from 16 ft,,13,13
49,1,5:43.0,,Indiana full timeout,13,13
50,1,5:38.0,,R. Hibbert misses 2-pt jump shot from 16 ft,13,13
51,1,5:36.0,Defensive rebound by M. Williams,,13,13
52,1,5:25.0,G. Dieng makes 2-pt dunk at rim (assist by M. Williams),,15,13
53,1,5:06.0,,D. West makes 2-pt layup from 1 ft (assist by R. Hibbert),15,15
54,1,4:48.0,C. Budinger misses 2-pt layup from 1 ft,,15,15
55,1,4:46.0,,Defensive rebound by C. Miles,15,15
56,1,4:41.0,,C. Watson makes 2-pt jump shot from 20 ft,15,17
57,1,4:19.0,M. Williams misses 2-pt jump shot from 16 ft,,15,17
58,1,4:17.0,Offensive rebound by T. Young,,15,17
59,1,4:14.0,T. Young misses 2-pt tip-in at rim,,15,17
60,1,4:12.0,,Defensive rebound by D. West,15,17
61,1,3:57.0,,R. Hibbert misses 2-pt jump shot from 11 ft,15,17
62,1,3:56.0,Defensive rebound by Team,,15,17
63,1,3:56.0,,L. Scola enters the game for D. West,15,17
64,1,3:56.0,,R. Stuckey enters the game for C. Miles,15,17
65,1,3:35.0,Turnover by G. Dieng (lost ball; steal by R. Stuckey),,15,17
66,1,3:27.0,,R. Hibbert misses 2-pt layup from 1 ft (block by G. Dieng),15,17
67,1,3:23.0,,Offensive rebound by Team,15,17
68,1,3:23.0,A. Bennett enters the game for C. Budinger,,15,17
69,1,3:23.0,R. Hummel enters the game for T. Young,,15,17
70,1,3:15.0,,Turnover by L. Scola (bad pass; steal by G. Dieng),15,17
71,1,3:08.0,M. Williams makes 2-pt jump shot from 15 ft,,17,17
72,1,2:55.0,,Shooting foul by A. Wiggins (drawn by R. Stuckey),17,17
73,1,2:55.0,Minnesota full timeout,,17,17
74,1,2:55.0,,R. Stuckey makes free throw 1 of 2,17,18
75,1,2:55.0,,R. Stuckey makes free throw 2 of 2,17,19
76,1,2:40.0,G. Dieng makes 2-pt layup from 2 ft (assist by A. Wiggins),,19,19
77,1,2:21.0,,R. Stuckey misses 3-pt jump shot from 22 ft,19,19
78,1,2:20.0,Defensive rebound by G. Dieng,,19,19
79,1,2:16.0,Personal foul by R. Stuckey (drawn by A. Wiggins),,19,19
80,1,2:11.0,Personal foul by S. Hill (drawn by A. Wiggins),,19,19
81,1,2:11.0,,D. Rudež enters the game for S. Hill,19,19
82,1,2:02.0,A. Wiggins makes 2-pt layup from 2 ft (assist by G. Dieng),,21,19
83,1,1:50.0,,Personal foul by G. Dieng (drawn by R. Hibbert),21,19
84,1,1:44.0,,L. Scola misses 2-pt jump shot from 4 ft (block by A. Wiggins),21,19
85,1,1:42.0,Defensive rebound by A. Bennett,,21,19
86,1,1:32.0,R. Hummel misses 3-pt jump shot from 23 ft,,21,19
87,1,1:30.0,Offensive rebound by Team,,21,19
88,1,1:30.0,,L. Allen enters the game for R. Hibbert,21,19
89,1,1:30.0,,D. Sloan enters the game for C. Watson,21,19
90,1,1:24.0,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),,23,19
91,1,0:58.0,,L. Allen makes 2-pt jump shot from 11 ft (assist by D. Sloan),23,21
92,1,0:46.0,M. Williams misses 3-pt jump shot from 26 ft,,23,21
93,1,0:43.0,Offensive rebound by Team,,23,21
94,1,0:26.0,A. Bennett makes 2-pt jump shot from 20 ft (assist by M. Williams),,25,21
95,1,0:02.0,,L. Allen misses 2-pt jump shot from 17 ft,25,21
96,1,0:02.0,,Offensive rebound by Team,25,21
97,1,0:02.0,,Turnover by Team (shot clock),25,21
98,1,0:00.0,M. Williams misses 3-pt jump shot from 58 ft,,25,21
99,1,0:00.0,Offensive rebound by Team,,25,21
100,2,11:47.0,A. Wiggins misses 2-pt jump shot from 7 ft,,25,21
101,2,11:46.0,,Defensive rebound by L. Allen,25,21
