,QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
0,1,11:34.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,0
1,1,11:30.0,,Defensive rebound by K. Humphries,0,0
2,1,11:15.0,,M. Gortat misses 2-pt jump shot from 16 ft,0,0
3,1,11:13.0,Defensive rebound by P. Millsap,,0,0
4,1,10:58.0,P. Millsap misses 2-pt jump shot from 4 ft,,0,0
5,1,10:54.0,Offensive rebound by A. Horford,,0,0
6,1,10:49.0,A. Horford makes 2-pt layup from 3 ft,,2,0
7,1,10:49.0,,Personal block foul by D. Carroll (drawn by P. Pierce),2,0
8,1,10:39.0,,P. Pierce misses 2-pt layup from 3 ft,2,0
9,1,10:37.0,,Offensive rebound by M. Gortat,2,0
10,1,10:36.0,,M. Gortat misses 2-pt layup from 3 ft,2,0
11,1,10:29.0,,Offensive rebound by G. Temple,2,0
12,1,10:29.0,,Turnover by G. Temple (bad pass; steal by P. Millsap),2,0
13,1,10:21.0,K. Korver misses 3-pt jump shot from 25 ft,,2,0
14,1,10:21.0,,Defensive rebound by J. Wall,2,0
15,1,10:21.0,,Shooting foul by A. Horford (drawn by M. Gortat),2,0
16,1,10:21.0,,M. Gortat misses free throw 1 of 2,2,0
17,1,10:21.0,,Offensive rebound by Team,2,0
18,1,10:21.0,,M. Gortat makes free throw 2 of 2,2,1
19,1,10:08.0,J. Teague makes 2-pt jump shot from 6 ft,,4,1
20,1,9:58.0,,K. Humphries misses 2-pt jump shot from 16 ft,4,1
21,1,9:57.0,,Offensive rebound by Team,4,1
22,1,9:57.0,Loose ball foul by A. Horford (drawn by M. Gortat),,4,1
23,1,9:57.0,P. Antić enters the game for A. Horford,,4,1
24,1,9:42.0,,M. Gortat misses 2-pt hook shot from 1 ft,4,1
25,1,9:41.0,Defensive rebound by P. Millsap,,4,1
26,1,9:24.0,J. Teague makes 2-pt jump shot from 4 ft,,6,1
27,1,9:05.0,,J. Wall makes 3-pt jump shot from 27 ft (assist by G. Temple),6,4
28,1,8:42.0,P. Antić makes 3-pt jump shot from 27 ft (assist by J. Teague),,9,4
29,1,8:28.0,,P. Pierce misses 2-pt jump shot from 23 ft,9,4
30,1,8:25.0,Defensive rebound by P. Millsap,,9,4
31,1,8:21.0,P. Antić makes 2-pt jump shot from 6 ft (assist by P. Millsap),,11,4
32,1,8:21.0,,Violation by M. Gortat (def goaltending),11,4
33,1,8:02.0,,Turnover by P. Pierce (bad pass; steal by P. Millsap),11,4
34,1,8:02.0,Personal foul by M. Gortat (drawn by P. Millsap),,11,4
35,1,7:56.0,Turnover by P. Millsap (traveling),,11,4
36,1,7:43.0,,M. Gortat makes 2-pt layup from 3 ft (assist by J. Wall),11,6
37,1,7:31.0,J. Teague makes 2-pt layup from 2 ft,,13,6
38,1,7:10.0,,Turnover by M. Gortat (lost ball; steal by D. Carroll),13,6
39,1,6:59.0,J. Teague misses 3-pt jump shot from 26 ft,,13,6
40,1,6:57.0,,Defensive rebound by J. Wall,13,6
41,1,6:51.0,,G. Temple misses 3-pt jump shot from 22 ft,13,6
42,1,6:51.0,,Offensive rebound by J. Wall,13,6
43,1,6:51.0,,Personal foul by J. Teague (drawn by J. Wall),13,6
44,1,6:51.0,,J. Wall makes free throw 1 of 2,13,7
45,1,6:51.0,,B. Beal enters the game for G. Temple,13,7
46,1,6:51.0,,J. Wall makes free throw 2 of 2,13,8
47,1,6:51.0,Atlanta full timeout,,13,8
48,1,6:30.0,P. Antić misses 2-pt jump shot from 15 ft,,13,8
49,1,6:28.0,,Defensive rebound by K. Humphries,13,8
50,1,6:22.0,,P. Pierce misses 3-pt jump shot from 24 ft,13,8
51,1,6:22.0,Defensive rebound by P. Millsap,,13,8
