,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,A. Roberson misses 3-pt jump shot from 22 ft,0,0
1,1,11:41.0,Defensive rebound by G. Hayward,,0,0
2,1,11:23.0,D. Favors makes 2-pt dunk at rim,,2,0
3,1,11:01.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by K. Durant),2,3
4,1,10:38.0,Turnover by T. Burke (bad pass; steal by S. Ibaka),,2,3
5,1,10:28.0,,K. Durant makes 2-pt jump shot from 8 ft,2,5
6,1,10:12.0,D. Favors makes 2-pt layup from 1 ft (assist by T. Burke),,4,5
7,1,9:57.0,Violation by D. Favors (kicked ball),,4,5
8,1,9:52.0,,Shooting foul by R. Gobert (drawn by R. Westbrook),4,5
9,1,9:52.0,,R. Westbrook makes free throw 1 of 2,4,6
10,1,9:52.0,,R. Westbrook makes free throw 2 of 2,4,7
11,1,9:37.0,T. Burke makes 3-pt jump shot from 25 ft (assist by R. Gobert),,7,7
12,1,9:21.0,,Turnover by S. Adams (bad pass; steal by T. Burke),7,7
13,1,9:15.0,Turnover by T. Burke (bad pass; steal by A. Roberson),,7,7
14,1,8:58.0,,S. Ibaka misses 2-pt jump shot from 18 ft,7,7
15,1,8:57.0,Defensive rebound by T. Burke,,7,7
16,1,8:45.0,G. Hayward misses 2-pt layup from 1 ft (block by S. Adams),,7,7
17,1,8:43.0,,Defensive rebound by S. Ibaka,7,7
18,1,8:41.0,,Shooting foul by J. Ingles (drawn by R. Westbrook),7,7
19,1,8:41.0,,R. Westbrook makes free throw 1 of 2,7,8
20,1,8:41.0,,R. Westbrook makes free throw 2 of 2,7,9
21,1,8:33.0,Personal foul by K. Durant (drawn by T. Burke),,7,9
22,1,8:20.0,D. Favors misses 2-pt jump shot from 14 ft,,7,9
23,1,8:18.0,Offensive rebound by R. Gobert,,7,9
24,1,8:18.0,R. Gobert makes 2-pt tip-in from 1 ft,,9,9
25,1,8:01.0,,Turnover by K. Durant (bad pass; steal by R. Gobert),9,9
26,1,7:56.0,Turnover by D. Favors (bad pass; steal by A. Roberson),,9,9
27,1,7:50.0,,S. Adams misses 2-pt dunk at rim (block by R. Gobert),9,9
28,1,7:49.0,Defensive rebound by R. Gobert,,9,9
29,1,7:38.0,G. Hayward misses 3-pt jump shot from 24 ft,,9,9
30,1,7:37.0,,Defensive rebound by K. Durant,9,9
31,1,7:34.0,,A. Roberson makes 2-pt dunk at rim (assist by K. Durant),9,11
32,1,7:10.0,G. Hayward makes 2-pt jump shot from 8 ft,,11,11
33,1,6:57.0,,S. Ibaka misses 2-pt jump shot from 18 ft,11,11
34,1,6:56.0,Defensive rebound by J. Ingles,,11,11
35,1,6:42.0,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),,13,11
36,1,6:41.0,,Oklahoma City full timeout,13,11
37,1,6:41.0,,K. Perkins enters the game for S. Adams,13,11
38,1,6:30.0,,K. Durant misses 3-pt jump shot from 23 ft,13,11
39,1,6:29.0,Defensive rebound by J. Ingles,,13,11
40,1,6:03.0,T. Burke misses 2-pt jump shot from 20 ft,,13,11
41,1,6:02.0,,Defensive rebound by K. Durant,13,11
42,1,5:54.0,,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Durant),13,13
43,1,5:37.0,Offensive foul by D. Favors (drawn by R. Westbrook),,13,13
44,1,5:37.0,Turnover by D. Favors (offensive foul),,13,13
45,1,5:37.0,,D. Waiters enters the game for A. Roberson,13,13
46,1,5:27.0,,K. Durant makes 2-pt layup from 1 ft,13,15
47,1,5:13.0,J. Ingles misses 3-pt jump shot from 24 ft,,13,15
48,1,5:12.0,,Defensive rebound by S. Ibaka,13,15
49,1,5:06.0,,D. Waiters makes 2-pt jump shot from 17 ft,13,17
50,1,4:50.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by J. Ingles),,16,17
51,1,4:24.0,,K. Perkins misses 2-pt jump shot from 11 ft,16,17
52,1,4:22.0,Defensive rebound by D. Favors,,16,17
53,1,4:14.0,D. Favors misses 2-pt layup from 2 ft (block by S. Ibaka),,16,17
54,1,4:13.0,,Defensive rebound by K. Perkins,16,17
55,1,4:08.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),16,19
56,1,3:48.0,Personal foul by S. Ibaka (drawn by G. Hayward),,16,19
57,1,3:48.0,D. Exum enters the game for T. Burke,,16,19
58,1,3:40.0,Turnover by G. Hayward (lost ball; steal by K. Durant),,16,19
59,1,3:37.0,,Turnover by K. Perkins (lost ball; steal by G. Hayward),16,19
60,1,3:25.0,G. Hayward makes 2-pt jump shot from 19 ft,,18,19
61,1,3:12.0,,Turnover by K. Perkins (bad pass; steal by R. Gobert),18,19
62,1,2:55.0,Turnover by G. Hayward (bad pass; steal by R. Westbrook),,18,19
63,1,2:49.0,,D. Waiters makes 2-pt jump shot from 14 ft (assist by K. Durant),18,21
64,1,2:49.0,Utah full timeout,,18,21
65,1,2:49.0,,A. Morrow enters the game for K. Durant,18,21
66,1,2:49.0,,N. Collison enters the game for S. Ibaka,18,21
67,1,2:49.0,T. Booker enters the game for D. Favors,,18,21
68,1,2:49.0,E. Millsap enters the game for J. Ingles,,18,21
69,1,2:38.0,Turnover by D. Exum (lost ball; steal by D. Waiters),,18,21
70,1,2:33.0,,R. Westbrook makes 2-pt dunk at rim (assist by D. Waiters),18,23
71,1,2:19.0,Turnover by E. Millsap (lost ball; steal by D. Waiters),,18,23
72,1,2:15.0,,Turnover by D. Waiters (bad pass; steal by G. Hayward),18,23
73,1,2:09.0,E. Millsap misses 2-pt layup from 1 ft (block by K. Perkins),,18,23
74,1,2:07.0,Offensive rebound by T. Booker,,18,23
75,1,1:57.0,G. Hayward misses 2-pt jump shot from 19 ft,,18,23
76,1,1:56.0,,Defensive rebound by N. Collison,18,23
77,1,1:35.0,,Turnover by D. Waiters (lost ball; steal by E. Millsap),18,23
78,1,1:23.0,E. Millsap makes 3-pt jump shot from 22 ft (assist by D. Exum),,21,23
79,1,1:06.0,,D. Waiters makes 2-pt jump shot from 17 ft,21,25
80,1,1:06.0,,Shooting foul by D. Exum (drawn by D. Waiters),21,25
81,1,1:06.0,,R. Jackson enters the game for R. Westbrook,21,25
82,1,1:06.0,,D. Waiters misses free throw 1 of 1,21,25
83,1,1:06.0,Defensive rebound by R. Gobert,,21,25
84,1,0:50.0,Shooting foul by K. Perkins (drawn by G. Hayward),,21,25
85,1,0:50.0,G. Hayward makes 2-pt jump shot from 7 ft,,23,25
86,1,0:50.0,G. Hayward makes free throw 1 of 1,,24,25
87,1,0:32.0,,D. Waiters makes 2-pt jump shot from 16 ft,24,27
88,1,0:16.0,D. Exum makes 3-pt jump shot from 25 ft (assist by R. Gobert),,27,27
89,1,0:00.0,,D. Waiters misses 2-pt jump shot from 16 ft,27,27
90,1,0:00.0,Defensive rebound by Team,,27,27
91,2,11:46.0,D. Favors makes 2-pt jump shot from 18 ft (assist by T. Burke),,29,27
92,2,11:23.0,,D. Waiters misses 2-pt jump shot from 19 ft,29,27
93,2,11:21.0,Defensive rebound by D. Exum,,29,27
94,2,11:13.0,E. Millsap makes 3-pt jump shot from 24 ft (assist by D. Exum),,32,27
95,2,10:50.0,,K. Perkins misses 2-pt hook shot from 3 ft (block by D. Favors),32,27
96,2,10:48.0,Defensive rebound by D. Favors,,32,27
97,2,10:40.0,E. Millsap makes 3-pt jump shot from 24 ft (assist by D. Favors),,35,27
98,2,10:28.0,,Turnover by R. Jackson (lost ball; steal by T. Booker),35,27
99,2,10:27.0,Personal take foul by D. Waiters (drawn by D. Exum),,35,27
100,2,10:27.0,,Oklahoma City full timeout,35,27
