,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:37.0,T. Harris misses 3-pt jump shot from 25 ft,,0,0
1,1,11:36.0,,Defensive rebound by A. Bradley,0,0
2,1,11:23.0,,M. Smart misses 2-pt layup at rim,0,0
3,1,11:21.0,,Offensive rebound by T. Zeller,0,0
4,1,11:21.0,,T. Zeller misses 2-pt tip-in at rim,0,0
5,1,11:20.0,Defensive rebound by E. Payton,,0,0
6,1,11:09.0,E. Payton makes 3-pt jump shot from 23 ft (assist by N. Vučević),,3,0
7,1,10:47.0,,B. Bass misses 2-pt jump shot from 16 ft,3,0
8,1,10:46.0,Defensive rebound by N. Vučević,,3,0
9,1,10:37.0,E. Payton misses 2-pt layup at rim,,3,0
10,1,10:36.0,,Defensive rebound by T. Zeller,3,0
11,1,10:30.0,,E. Turner misses 3-pt jump shot from 26 ft,3,0
12,1,10:29.0,Defensive rebound by T. Harris,,3,0
13,1,10:19.0,V. Oladipo misses 2-pt jump shot from 20 ft,,3,0
14,1,10:18.0,,Defensive rebound by E. Turner,3,0
15,1,10:10.0,,E. Turner misses 2-pt layup from 2 ft,3,0
16,1,10:09.0,Defensive rebound by D. Dedmon,,3,0
17,1,10:05.0,,Offensive charge foul by V. Oladipo (drawn by T. Zeller),3,0
18,1,10:05.0,Turnover by V. Oladipo (offensive foul),,3,0
19,1,9:53.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by T. Zeller),3,2
20,1,9:38.0,N. Vučević misses 2-pt jump shot from 22 ft,,3,2
21,1,9:37.0,,Defensive rebound by E. Turner,3,2
22,1,9:25.0,,M. Smart misses 3-pt jump shot from 26 ft,3,2
23,1,9:23.0,Defensive rebound by V. Oladipo,,3,2
24,1,9:02.0,E. Payton misses 2-pt jump shot from 11 ft,,3,2
25,1,9:01.0,,Defensive rebound by B. Bass,3,2
26,1,8:45.0,,E. Turner misses 3-pt jump shot from 23 ft,3,2
27,1,8:44.0,Defensive rebound by T. Harris,,3,2
28,1,8:26.0,Turnover by T. Harris (lost ball; steal by E. Turner),,3,2
29,1,8:16.0,,A. Bradley misses 2-pt jump shot from 19 ft,3,2
30,1,8:15.0,Defensive rebound by Team,,3,2
31,1,8:06.0,Turnover by E. Payton (bad pass),,3,2
32,1,7:54.0,,E. Turner misses 2-pt jump shot from 14 ft,3,2
33,1,7:53.0,,Offensive rebound by T. Zeller,3,2
34,1,7:53.0,,T. Zeller misses 2-pt tip-in at rim,3,2
35,1,7:52.0,,Offensive rebound by T. Zeller,3,2
36,1,7:52.0,,T. Zeller misses 2-pt tip-in at rim,3,2
37,1,7:49.0,,Offensive rebound by B. Bass,3,2
38,1,7:47.0,,B. Bass makes 2-pt dunk at rim,3,4
39,1,7:19.0,D. Dedmon misses 2-pt hook shot from 14 ft,,3,4
40,1,7:18.0,,Defensive rebound by E. Turner,3,4
41,1,6:58.0,,M. Smart makes 2-pt layup at rim,3,6
42,1,6:58.0,Orlando full timeout,,3,6
43,1,6:58.0,L. Ridnour enters the game for E. Payton,,3,6
44,1,6:35.0,L. Ridnour misses 3-pt jump shot from 23 ft,,3,6
45,1,6:34.0,,Defensive rebound by A. Bradley,3,6
46,1,6:19.0,,A. Bradley misses 3-pt jump shot from 25 ft,3,6
47,1,6:18.0,,Offensive rebound by T. Zeller,3,6
48,1,6:14.0,,T. Zeller misses 2-pt layup at rim,3,6
49,1,6:13.0,Defensive rebound by N. Vučević,,3,6
50,1,6:03.0,N. Vučević makes 2-pt hook shot from 11 ft (assist by T. Harris),,5,6
51,1,5:52.0,,E. Turner misses 2-pt jump shot from 16 ft,5,6
52,1,5:51.0,Defensive rebound by V. Oladipo,,5,6
53,1,5:29.0,T. Harris makes 3-pt jump shot from 25 ft (assist by L. Ridnour),,8,6
54,1,5:11.0,,Turnover by M. Smart (bad pass; steal by T. Harris),8,6
55,1,5:06.0,V. Oladipo makes 2-pt dunk at rim (assist by T. Harris),,10,6
56,1,4:53.0,,Turnover by A. Bradley (lost ball; steal by V. Oladipo),10,6
57,1,4:47.0,N. Vučević makes 2-pt layup at rim (assist by V. Oladipo),,12,6
58,1,4:40.0,,A. Bradley misses 3-pt jump shot from 25 ft,12,6
59,1,4:39.0,Defensive rebound by T. Harris,,12,6
60,1,4:31.0,V. Oladipo misses 2-pt layup at rim,,12,6
61,1,4:30.0,Offensive rebound by D. Dedmon,,12,6
62,1,4:30.0,D. Dedmon makes 2-pt dunk at rim,,14,6
63,1,4:11.0,Violation by D. Dedmon (def goaltending),,14,6
64,1,4:11.0,,B. Bass makes 2-pt jump shot from 17 ft,14,8
65,1,3:48.0,Shooting foul by E. Turner (drawn by T. Harris),,14,8
66,1,3:48.0,T. Harris makes free throw 1 of 2,,15,8
67,1,3:48.0,,P. Pressey enters the game for E. Turner,15,8
68,1,3:48.0,,J. Crowder enters the game for T. Zeller,15,8
69,1,3:48.0,,K. Olynyk enters the game for M. Smart,15,8
70,1,3:48.0,T. Harris makes free throw 2 of 2,,16,8
71,1,3:23.0,,A. Bradley misses 2-pt jump shot from 17 ft,16,8
72,1,3:22.0,,Offensive rebound by Team,16,8
73,1,3:10.0,,Turnover by A. Bradley (bad pass),16,8
74,1,2:55.0,V. Oladipo makes 2-pt layup at rim,,18,8
75,1,2:41.0,,J. Crowder misses 2-pt jump shot from 14 ft,18,8
76,1,2:40.0,Defensive rebound by N. Vučević,,18,8
77,1,2:37.0,Turnover by L. Ridnour (lost ball; steal by A. Bradley),,18,8
78,1,2:33.0,,B. Bass makes 2-pt dunk at rim (assist by A. Bradley),18,10
79,1,2:09.0,V. Oladipo misses 3-pt jump shot from 26 ft,,18,10
80,1,2:06.0,,Defensive rebound by B. Bass,18,10
81,1,1:57.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by P. Pressey),18,13
82,1,1:35.0,N. Vučević misses 2-pt jump shot from 19 ft,,18,13
83,1,1:34.0,,Defensive rebound by P. Pressey,18,13
84,1,1:24.0,,A. Bradley misses 2-pt jump shot from 19 ft,18,13
85,1,1:23.0,Defensive rebound by N. Vučević,,18,13
86,1,1:18.0,Personal foul by A. Bradley (drawn by V. Oladipo),,18,13
87,1,1:18.0,,Boston full timeout,18,13
