,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,,A. Bogut misses 2-pt hook shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by A. Shved,,0,0
2,1,11:27.0,Turnover by A. Shved (bad pass; steal by D. Green),,0,0
3,1,11:23.0,,Turnover by D. Green (bad pass; steal by A. Shved),0,0
4,1,11:15.0,L. Thomas misses 3-pt jump shot from 22 ft,,0,0
5,1,11:14.0,Offensive rebound by L. Amundson,,0,0
6,1,11:10.0,A. Shved makes 3-pt jump shot from 27 ft (assist by L. Amundson),,3,0
7,1,11:02.0,,Shooting foul by L. Amundson (drawn by K. Thompson),3,0
8,1,11:02.0,,K. Thompson makes free throw 1 of 2,3,1
9,1,11:02.0,,K. Thompson makes free throw 2 of 2,3,2
10,1,10:46.0,L. Amundson misses 2-pt jump shot from 3 ft,,3,2
11,1,10:45.0,,Defensive rebound by H. Barnes,3,2
12,1,10:40.0,,K. Thompson misses 2-pt jump shot from 7 ft,3,2
13,1,10:39.0,Defensive rebound by L. Galloway,,3,2
14,1,10:34.0,Shooting foul by S. Curry (drawn by A. Shved),,3,2
15,1,10:34.0,A. Shved misses free throw 1 of 3,,3,2
16,1,10:34.0,Offensive rebound by Team,,3,2
17,1,10:34.0,A. Shved makes free throw 2 of 3,,4,2
18,1,10:34.0,A. Shved makes free throw 3 of 3,,5,2
19,1,10:16.0,,A. Bogut misses 2-pt hook shot from 6 ft,5,2
20,1,10:15.0,Defensive rebound by A. Shved,,5,2
21,1,9:52.0,A. Shved misses 3-pt jump shot from 25 ft,,5,2
22,1,9:51.0,,Defensive rebound by K. Thompson,5,2
23,1,9:38.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),5,5
24,1,9:29.0,Turnover by A. Bargnani (lost ball; steal by D. Green),,5,5
25,1,9:23.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),5,8
26,1,8:59.0,L. Amundson makes 2-pt jump shot from 15 ft (assist by L. Thomas),,7,8
27,1,8:53.0,,S. Curry misses 3-pt jump shot from 26 ft,7,8
28,1,8:52.0,Defensive rebound by A. Bargnani,,7,8
29,1,8:41.0,A. Bargnani misses 2-pt jump shot from 18 ft,,7,8
30,1,8:39.0,,Defensive rebound by A. Bogut,7,8
31,1,8:36.0,,H. Barnes misses 2-pt layup from 1 ft (block by A. Bargnani),7,8
32,1,8:33.0,,Offensive rebound by H. Barnes,7,8
33,1,8:26.0,,K. Thompson misses 2-pt jump shot from 12 ft,7,8
34,1,8:25.0,Defensive rebound by L. Amundson,,7,8
35,1,8:04.0,L. Galloway makes 3-pt jump shot from 26 ft,,10,8
36,1,7:55.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),10,10
37,1,7:35.0,A. Bargnani misses 2-pt jump shot from 11 ft,,10,10
38,1,7:34.0,Offensive rebound by Team,,10,10
39,1,7:27.0,A. Shved misses 2-pt jump shot from 14 ft,,10,10
40,1,7:26.0,,Defensive rebound by D. Green,10,10
41,1,7:22.0,,Turnover by D. Green (lost ball; steal by A. Shved),10,10
42,1,7:14.0,L. Galloway makes 2-pt jump shot from 20 ft (assist by A. Shved),,12,10
43,1,7:07.0,,H. Barnes makes 2-pt jump shot from 18 ft,12,12
44,1,6:43.0,A. Bargnani makes 2-pt jump shot from 17 ft,,14,12
45,1,6:32.0,,S. Curry misses 2-pt jump shot from 3 ft,14,12
46,1,6:30.0,Defensive rebound by L. Amundson,,14,12
47,1,6:17.0,A. Bargnani makes 2-pt jump shot from 15 ft (assist by L. Galloway),,16,12
48,1,6:02.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),16,14
49,1,6:02.0,,Shooting foul by A. Bargnani (drawn by K. Thompson),16,14
50,1,6:02.0,,K. Thompson makes free throw 1 of 1,16,15
51,1,5:46.0,A. Shved misses 2-pt jump shot from 15 ft,,16,15
52,1,5:45.0,Offensive rebound by A. Bargnani,,16,15
53,1,5:45.0,A. Bargnani misses 2-pt tip-in at rim,,16,15
54,1,5:42.0,,Defensive rebound by D. Green,16,15
55,1,5:36.0,,K. Thompson misses 3-pt jump shot from 25 ft,16,15
56,1,5:35.0,Defensive rebound by L. Galloway,,16,15
57,1,5:31.0,New York full timeout,,16,15
58,1,5:31.0,C. Aldrich enters the game for L. Amundson,,16,15
59,1,5:28.0,Personal foul by D. Green (drawn by A. Bargnani),,16,15
60,1,5:16.0,L. Galloway misses 2-pt jump shot from 18 ft,,16,15
61,1,5:15.0,Offensive rebound by C. Aldrich,,16,15
62,1,5:13.0,C. Aldrich misses 2-pt hook shot from 6 ft,,16,15
63,1,5:11.0,Offensive rebound by A. Shved,,16,15
