,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,J. Redick misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by K. O'Quinn,,0,0
2,1,11:27.0,E. Fournier misses 2-pt jump shot from 10 ft,,0,0
3,1,11:25.0,,Defensive rebound by D. Jordan,0,0
4,1,11:15.0,,B. Griffin misses 2-pt jump shot from 17 ft,0,0
5,1,11:14.0,,Offensive rebound by D. Jordan,0,0
6,1,11:09.0,,B. Griffin makes 2-pt layup from 2 ft,0,2
7,1,10:54.0,E. Fournier misses 3-pt jump shot from 25 ft,,0,2
8,1,10:53.0,,Defensive rebound by D. Jordan,0,2
9,1,10:40.0,,M. Barnes misses 3-pt jump shot from 23 ft,0,2
10,1,10:39.0,,Offensive rebound by D. Jordan,0,2
11,1,10:32.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),0,4
12,1,10:05.0,E. Fournier misses 2-pt layup from 2 ft (block by D. Jordan),,0,4
13,1,10:02.0,,Defensive rebound by B. Griffin,0,4
14,1,9:57.0,,J. Redick makes 2-pt layup from 2 ft (assist by B. Griffin),0,6
15,1,9:57.0,Orlando full timeout,,0,6
16,1,9:42.0,Turnover by Team (back court),,0,6
17,1,9:42.0,Violation by Team (delay of game),,0,6
18,1,9:31.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),0,9
19,1,9:16.0,T. Harris makes 3-pt jump shot from 24 ft (assist by E. Fournier),,3,9
20,1,9:06.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),3,11
21,1,8:50.0,C. Frye misses 3-pt jump shot from 25 ft,,3,11
22,1,8:48.0,,Defensive rebound by M. Barnes,3,11
23,1,8:40.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),3,14
24,1,8:30.0,Turnover by V. Oladipo (step out of bounds),,3,14
25,1,8:30.0,E. Payton enters the game for K. O'Quinn,,3,14
26,1,8:18.0,,Personal foul by V. Oladipo (drawn by B. Griffin),3,14
