,QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
0,1,11:43.0,,T. Harris misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by T. Burke,,0,0
2,1,11:24.0,D. Favors misses 2-pt jump shot from 11 ft,,0,0
3,1,11:23.0,Offensive rebound by E. Freedom,,0,0
4,1,11:22.0,Turnover by E. Freedom (lost ball),,0,0
5,1,11:03.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by T. Harris),0,3
6,1,10:34.0,D. Favors misses 2-pt hook shot from 9 ft,,0,3
7,1,10:33.0,,Defensive rebound by T. Harris,0,3
8,1,10:32.0,,Turnover by T. Harris (lost ball),0,3
9,1,10:18.0,D. Favors makes 2-pt dunk at rim,,2,3
10,1,10:07.0,,Personal foul by T. Burke (drawn by V. Oladipo),2,3
11,1,9:55.0,,N. Vučević misses 2-pt hook shot from 8 ft,2,3
12,1,9:54.0,Defensive rebound by A. Burks,,2,3
13,1,9:35.0,E. Freedom makes 2-pt jump shot from 20 ft (assist by T. Burke),,4,3
14,1,9:14.0,,Offensive foul by C. Frye (drawn by G. Hayward),4,3
15,1,9:14.0,,Turnover by C. Frye (offensive foul),4,3
16,1,8:59.0,D. Favors makes 2-pt layup from 1 ft (assist by T. Burke),,6,3
17,1,8:44.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Fournier),6,5
18,1,8:30.0,G. Hayward misses 2-pt jump shot from 18 ft,,6,5
19,1,8:28.0,,Defensive rebound by V. Oladipo,6,5
20,1,8:21.0,,V. Oladipo makes 2-pt layup from 1 ft,6,7
21,1,8:21.0,,Shooting foul by D. Favors (drawn by V. Oladipo),6,7
22,1,8:21.0,,V. Oladipo misses free throw 1 of 1,6,7
23,1,8:21.0,Defensive rebound by D. Favors,,6,7
24,1,8:01.0,E. Freedom misses 3-pt jump shot from 23 ft,,6,7
25,1,8:00.0,,Defensive rebound by V. Oladipo,6,7
26,1,7:52.0,,C. Frye misses 3-pt jump shot from 26 ft,6,7
27,1,7:50.0,Defensive rebound by A. Burks,,6,7
28,1,7:33.0,D. Favors makes 2-pt jump shot from 15 ft,,8,7
29,1,7:19.0,,Turnover by E. Fournier (bad pass),8,7
30,1,7:01.0,T. Burke makes 2-pt layup from 1 ft,,10,7
31,1,6:45.0,,N. Vučević misses 2-pt hook shot from 8 ft,10,7
32,1,6:44.0,Defensive rebound by A. Burks,,10,7
33,1,6:29.0,D. Favors misses 2-pt jump shot from 15 ft,,10,7
34,1,6:28.0,,Defensive rebound by N. Vučević,10,7
35,1,6:13.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by E. Fournier),10,10
36,1,5:57.0,,Orlando full timeout,10,10
37,1,5:45.0,T. Burke makes 2-pt jump shot from 14 ft (assist by D. Favors),,12,10
38,1,5:27.0,,Shooting foul by A. Burks (drawn by E. Fournier),12,10
39,1,5:27.0,,E. Fournier makes free throw 1 of 2,12,11
40,1,5:27.0,,K. O'Quinn enters the game for C. Frye,12,11
41,1,5:27.0,D. Exum enters the game for E. Freedom,,12,11
42,1,5:27.0,T. Booker enters the game for T. Burke,,12,11
43,1,5:27.0,,E. Fournier misses free throw 2 of 2,12,11
44,1,5:26.0,Defensive rebound by D. Favors,,12,11
45,1,5:05.0,T. Booker makes 2-pt jump shot from 13 ft (assist by D. Favors),,14,11
46,1,4:46.0,,E. Fournier misses 3-pt jump shot from 25 ft,14,11
47,1,4:45.0,Defensive rebound by T. Booker,,14,11
48,1,4:29.0,T. Booker makes 2-pt jump shot from 12 ft,,16,11
49,1,4:10.0,,T. Harris misses 2-pt jump shot from 6 ft (block by G. Hayward),16,11
50,1,4:10.0,,Offensive rebound by Team,16,11
51,1,4:10.0,,B. Gordon enters the game for E. Fournier,16,11
52,1,4:07.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by V. Oladipo),16,13
53,1,3:42.0,A. Burks misses 3-pt jump shot from 25 ft,,16,13
54,1,3:40.0,,Defensive rebound by Team,16,13
55,1,3:40.0,,D. Dedmon enters the game for N. Vučević,16,13
56,1,3:22.0,,Turnover by V. Oladipo (lost ball; steal by D. Exum),16,13
