,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,R. Hibbert makes 2-pt jump shot from 16 ft (assist by G. Hill),,2,0
1,1,11:23.0,,T. Evans makes 2-pt jump shot from 23 ft,2,2
2,1,11:09.0,C. Miles makes 2-pt layup from 1 ft (assist by R. Hibbert),,4,2
3,1,11:09.0,Shooting foul by D. Cunningham (drawn by C. Miles),,4,2
4,1,11:09.0,C. Miles makes free throw 1 of 1,,5,2
5,1,10:48.0,,D. Cunningham misses 2-pt jump shot from 18 ft,5,2
6,1,10:47.0,Defensive rebound by D. West,,5,2
7,1,10:36.0,C. Miles misses 2-pt jump shot from 3 ft (block by D. Cunningham),,5,2
8,1,10:34.0,Offensive rebound by S. Hill,,5,2
9,1,10:23.0,G. Hill misses 2-pt jump shot from 22 ft,,5,2
10,1,10:22.0,,Defensive rebound by A. Ajinça,5,2
11,1,10:10.0,,A. Ajinça makes 2-pt jump shot from 13 ft (assist by E. Gordon),5,4
12,1,9:46.0,S. Hill makes 3-pt jump shot from 23 ft (assist by G. Hill),,8,4
13,1,9:26.0,,Turnover by E. Gordon (lost ball),8,4
14,1,9:14.0,Personal foul by T. Evans (drawn by G. Hill),,8,4
15,1,9:06.0,D. West makes 2-pt jump shot from 18 ft (assist by S. Hill),,10,4
16,1,8:48.0,,Turnover by Ö. Aşık (lost ball; steal by S. Hill),10,4
17,1,8:42.0,C. Miles misses 3-pt jump shot from 26 ft,,10,4
18,1,8:41.0,,Defensive rebound by A. Ajinça,10,4
19,1,8:36.0,,Shooting foul by G. Hill (drawn by T. Evans),10,4
20,1,8:36.0,,T. Evans makes free throw 1 of 2,10,5
21,1,8:36.0,,T. Evans makes free throw 2 of 2,10,6
22,1,8:29.0,Personal foul by A. Ajinça (drawn by R. Hibbert),,10,6
23,1,8:29.0,,J. Withey enters the game for A. Ajinça,10,6
24,1,8:20.0,D. West makes 2-pt jump shot from 17 ft (assist by G. Hill),,12,6
25,1,8:00.0,,E. Gordon misses 2-pt jump shot from 16 ft,12,6
26,1,7:59.0,Defensive rebound by C. Miles,,12,6
27,1,7:48.0,G. Hill misses 2-pt jump shot from 14 ft,,12,6
28,1,7:47.0,,Defensive rebound by Ö. Aşık,12,6
29,1,7:38.0,,T. Evans makes 2-pt jump shot from 19 ft,12,8
30,1,7:25.0,Shooting foul by J. Withey (drawn by D. West),,12,8
31,1,7:25.0,D. West misses free throw 1 of 2,,12,8
32,1,7:25.0,Offensive rebound by Team,,12,8
