,QUARTER,TIME_REMAINING,UTAH_ACTION,CHICAGO_ACTION,UTAH_SCORE,CHICAGO_SCORE
0,1,11:38.0,D. Favors makes 2-pt jump shot from 17 ft (assist by J. Ingles),,2,0
1,1,11:22.0,,Turnover by J. Butler (bad pass; steal by R. Gobert),2,0
2,1,11:18.0,R. Gobert misses 2-pt layup from 3 ft,,2,0
3,1,11:17.0,,Defensive rebound by P. Gasol,2,0
4,1,11:03.0,,D. Rose misses 2-pt jump shot from 17 ft,2,0
5,1,11:03.0,Defensive rebound by J. Ingles,,2,0
6,1,10:46.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,4,0
7,1,10:25.0,,Shooting foul by D. Favors (drawn by J. Noah),4,0
8,1,10:25.0,,J. Noah misses free throw 1 of 2,4,0
9,1,10:25.0,,Offensive rebound by Team,4,0
10,1,10:25.0,,J. Noah makes free throw 2 of 2,4,1
11,1,10:04.0,T. Burke misses 2-pt jump shot from 20 ft,,4,1
12,1,10:03.0,Offensive rebound by J. Ingles,,4,1
13,1,9:57.0,G. Hayward misses 2-pt jump shot from 7 ft,,4,1
14,1,9:56.0,Offensive rebound by R. Gobert,,4,1
15,1,9:56.0,R. Gobert misses 2-pt tip-in at rim,,4,1
16,1,9:55.0,Offensive rebound by R. Gobert,,4,1
17,1,9:55.0,R. Gobert makes 2-pt dunk at rim,,6,1
18,1,9:41.0,,K. Hinrich misses 3-pt jump shot from 23 ft,6,1
19,1,9:40.0,Defensive rebound by G. Hayward,,6,1
20,1,9:35.0,G. Hayward makes 2-pt layup from 2 ft,,8,1
21,1,9:13.0,,K. Hinrich misses 3-pt jump shot from 25 ft,8,1
22,1,9:12.0,Defensive rebound by R. Gobert,,8,1
23,1,9:00.0,Turnover by T. Burke (bad pass; steal by J. Butler),,8,1
24,1,8:59.0,,J. Butler makes 2-pt layup from 1 ft,8,3
25,1,8:59.0,,Shooting foul by J. Ingles (drawn by J. Butler),8,3
26,1,8:59.0,,J. Butler makes free throw 1 of 1,8,4
27,1,8:45.0,D. Favors misses 2-pt jump shot from 16 ft,,8,4
28,1,8:44.0,,Defensive rebound by J. Butler,8,4
29,1,8:31.0,,P. Gasol makes 2-pt jump shot from 19 ft (assist by J. Noah),8,6
30,1,8:15.0,J. Ingles misses 2-pt layup from 3 ft (block by K. Hinrich),,8,6
31,1,8:14.0,,Defensive rebound by J. Noah,8,6
32,1,8:05.0,,J. Butler misses 2-pt layup from 1 ft,8,6
33,1,8:04.0,,Offensive rebound by J. Butler,8,6
34,1,8:01.0,,D. Rose misses 3-pt jump shot from 24 ft,8,6
35,1,7:55.0,Defensive rebound by D. Favors,,8,6
36,1,7:49.0,G. Hayward makes 2-pt jump shot from 19 ft,,10,6
37,1,7:27.0,,Turnover by P. Gasol (lost ball; steal by J. Ingles),10,6
38,1,7:24.0,,Offensive charge foul by J. Ingles (drawn by D. Rose),10,6
39,1,7:24.0,Turnover by J. Ingles (offensive foul),,10,6
40,1,7:24.0,D. Exum enters the game for J. Ingles,,10,6
41,1,7:09.0,,P. Gasol misses 2-pt hook shot from 1 ft,10,6
42,1,7:08.0,,Offensive rebound by P. Gasol,10,6
43,1,7:08.0,,P. Gasol makes 2-pt tip-in from 1 ft,10,8
44,1,6:55.0,Offensive foul by D. Favors (drawn by D. Rose),,10,8
45,1,6:55.0,Turnover by D. Favors (offensive foul),,10,8
46,1,6:55.0,T. Booker enters the game for D. Favors,,10,8
47,1,6:40.0,,J. Noah misses 2-pt layup from 2 ft,10,8
48,1,6:39.0,,Offensive rebound by J. Noah,10,8
49,1,6:33.0,,D. Rose misses 2-pt jump shot from 19 ft,10,8
50,1,6:32.0,Defensive rebound by R. Gobert,,10,8
51,1,6:23.0,T. Booker makes 2-pt jump shot from 15 ft (assist by G. Hayward),,12,8
52,1,6:01.0,,Shooting foul by D. Exum (drawn by P. Gasol),12,8
53,1,6:01.0,,P. Gasol makes free throw 1 of 2,12,9
54,1,6:01.0,,P. Gasol makes free throw 2 of 2,12,10
55,1,5:42.0,T. Burke misses 2-pt jump shot from 19 ft,,12,10
56,1,5:40.0,,Defensive rebound by D. Rose,12,10
57,1,5:29.0,,J. Noah misses 2-pt jump shot from 17 ft,12,10
58,1,5:28.0,,Offensive rebound by D. Rose,12,10
59,1,5:25.0,,D. Rose misses 2-pt jump shot from 12 ft,12,10
60,1,5:23.0,,Offensive rebound by D. Rose,12,10
61,1,5:23.0,,D. Rose misses 2-pt layup from 1 ft (block by R. Gobert),12,10
62,1,5:22.0,,Offensive rebound by J. Noah,12,10
63,1,5:14.0,,J. Butler misses 2-pt jump shot from 16 ft (block by T. Booker),12,10
64,1,5:11.0,Defensive rebound by R. Gobert,,12,10
65,1,4:59.0,G. Hayward misses 3-pt jump shot from 24 ft,,12,10
66,1,4:58.0,,Defensive rebound by J. Butler,12,10
67,1,4:54.0,,J. Butler makes 2-pt layup from 1 ft (assist by J. Noah),12,12
68,1,4:46.0,Utah full timeout,,12,12
69,1,4:46.0,,T. Gibson enters the game for J. Noah,12,12
70,1,4:46.0,E. Millsap enters the game for T. Burke,,12,12
71,1,4:34.0,Shooting foul by P. Gasol (drawn by R. Gobert),,12,12
72,1,4:34.0,R. Gobert misses free throw 1 of 2,,12,12
73,1,4:34.0,Offensive rebound by Team,,12,12
74,1,4:34.0,R. Gobert makes free throw 2 of 2,,13,12
75,1,4:25.0,,Turnover by D. Rose (bad pass; steal by G. Hayward),13,12
76,1,4:22.0,Shooting foul by J. Butler (drawn by G. Hayward),,13,12
77,1,4:22.0,G. Hayward makes free throw 1 of 2,,14,12
78,1,4:22.0,G. Hayward makes free throw 2 of 2,,15,12
79,1,4:05.0,,K. Hinrich misses 2-pt layup from 1 ft,15,12
80,1,4:04.0,,Offensive rebound by T. Gibson,15,12
81,1,4:04.0,,T. Gibson makes 2-pt tip-in from 2 ft,15,14
82,1,3:42.0,Personal foul by J. Butler (drawn by G. Hayward),,15,14
83,1,3:42.0,,A. Brooks enters the game for D. Rose,15,14
84,1,3:42.0,,N. Mirotić enters the game for K. Hinrich,15,14
85,1,3:36.0,Turnover by E. Millsap (bad pass; steal by T. Gibson),,15,14
86,1,3:19.0,,Turnover by N. Mirotić (lost ball),15,14
87,1,3:05.0,G. Hayward makes 2-pt layup from 1 ft,,17,14
88,1,2:49.0,,Personal foul by G. Hayward (drawn by J. Butler),17,14
89,1,2:49.0,,Chicago full timeout,17,14
90,1,2:39.0,,P. Gasol misses 2-pt jump shot from 4 ft (block by R. Gobert),17,14
91,1,2:38.0,,Offensive rebound by T. Gibson,17,14
92,1,2:36.0,,J. Butler misses 2-pt layup from 2 ft (block by E. Millsap),17,14
93,1,2:36.0,,Offensive rebound by Team,17,14
94,1,2:35.0,,Turnover by Team (shot clock),17,14
95,1,2:16.0,G. Hayward misses 2-pt jump shot from 15 ft,,17,14
96,1,2:15.0,,Defensive rebound by P. Gasol,17,14
97,1,2:10.0,,Turnover by T. Gibson (lost ball),17,14
98,1,1:55.0,D. Exum misses 3-pt jump shot from 26 ft,,17,14
99,1,1:55.0,,Defensive rebound by Team,17,14
100,1,1:34.0,,P. Gasol misses 2-pt layup from 2 ft,17,14
101,1,1:33.0,Defensive rebound by R. Gobert,,17,14
102,1,1:29.0,G. Hayward makes 2-pt layup from 1 ft (assist by D. Exum),,19,14
103,1,1:05.0,,T. Gibson makes 2-pt layup from 1 ft (assist by P. Gasol),19,16
104,1,0:42.0,T. Booker makes 3-pt jump shot from 25 ft (assist by D. Exum),,22,16
105,1,0:30.0,,A. Brooks misses 2-pt layup from 3 ft (block by R. Gobert),22,16
106,1,0:29.0,Defensive rebound by T. Booker,,22,16
107,1,0:03.0,T. Booker misses 2-pt jump shot from 21 ft,,22,16
108,1,0:03.0,Offensive rebound by Team,,22,16
109,1,0:01.0,T. Booker misses 2-pt jump shot from 10 ft,,22,16
110,1,0:00.0,,Defensive rebound by A. Brooks,22,16
111,2,11:44.0,,T. Gibson misses 2-pt jump shot from 14 ft,22,16
112,2,11:42.0,Defensive rebound by E. Millsap,,22,16
113,2,11:19.0,Turnover by Team (shot clock),,22,16
114,2,11:19.0,,T. Snell enters the game for J. Butler,22,16
115,2,11:03.0,,A. Brooks misses 2-pt jump shot from 11 ft,22,16
116,2,11:02.0,Defensive rebound by T. Burke,,22,16
117,2,10:47.0,T. Burke makes 2-pt jump shot from 18 ft,,24,16
118,2,10:29.0,,T. Snell misses 2-pt layup from 2 ft,24,16
119,2,10:28.0,Defensive rebound by T. Burke,,24,16
120,2,10:25.0,,Offensive charge foul by E. Millsap (drawn by A. Brooks),24,16
121,2,10:25.0,Turnover by E. Millsap (offensive foul),,24,16
122,2,10:25.0,J. Ingles enters the game for D. Exum,,24,16
123,2,10:10.0,,N. Mirotić makes 2-pt jump shot from 17 ft (assist by T. Gibson),24,18
124,2,9:55.0,T. Booker misses 2-pt layup from 1 ft (block by J. Noah),,24,18
125,2,9:53.0,Offensive rebound by T. Booker,,24,18
126,2,9:52.0,T. Booker misses 2-pt layup from 2 ft (block by N. Mirotić),,24,18
127,2,9:50.0,,Defensive rebound by T. Gibson,24,18
128,2,9:40.0,,T. Gibson makes 2-pt jump shot from 3 ft (assist by A. Brooks),24,20
129,2,9:23.0,D. Favors misses 2-pt jump shot from 12 ft,,24,20
130,2,9:22.0,,Defensive rebound by J. Noah,24,20
131,2,9:12.0,,A. Brooks makes 2-pt layup from 2 ft,24,22
132,2,8:49.0,E. Millsap misses 3-pt jump shot from 23 ft,,24,22
133,2,8:48.0,Offensive rebound by D. Favors,,24,22
134,2,8:37.0,T. Burke misses 2-pt jump shot from 18 ft,,24,22
135,2,8:36.0,,Defensive rebound by A. Brooks,24,22
136,2,8:27.0,,N. Mirotić misses 2-pt layup from 2 ft,24,22
137,2,8:26.0,Defensive rebound by E. Millsap,,24,22
138,2,8:21.0,Shooting foul by T. Snell (drawn by E. Millsap),,24,22
139,2,8:21.0,Utah full timeout,,24,22
140,2,8:21.0,R. Gobert enters the game for T. Booker,,24,22
141,2,8:21.0,E. Millsap misses free throw 1 of 2,,24,22
142,2,8:21.0,Offensive rebound by Team,,24,22
143,2,8:21.0,E. Millsap misses free throw 2 of 2,,24,22
144,2,8:20.0,,Defensive rebound by N. Mirotić,24,22
145,2,8:01.0,,T. Gibson misses 2-pt jump shot from 19 ft,24,22
146,2,8:00.0,,Offensive rebound by T. Snell,24,22
147,2,7:51.0,,A. Brooks misses 3-pt jump shot from 25 ft,24,22
148,2,7:50.0,Defensive rebound by D. Favors,,24,22
149,2,7:27.0,Turnover by E. Millsap (bad pass),,24,22
150,2,7:11.0,,N. Mirotić misses 2-pt jump shot from 10 ft,24,22
151,2,7:10.0,Defensive rebound by D. Favors,,24,22
152,2,6:55.0,J. Ingles misses 2-pt layup from 2 ft,,24,22
153,2,6:54.0,,Defensive rebound by T. Snell,24,22
154,2,6:49.0,,Personal foul by E. Millsap (drawn by T. Snell),24,22
155,2,6:49.0,I. Clark enters the game for E. Millsap,,24,22
156,2,6:49.0,,D. Rose enters the game for A. Brooks,24,22
157,2,6:44.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Noah),24,24
158,2,6:19.0,I. Clark misses 2-pt jump shot from 15 ft,,24,24
159,2,6:18.0,,Defensive rebound by J. Noah,24,24
160,2,6:11.0,,Shooting foul by T. Burke (drawn by D. Rose),24,24
161,2,6:11.0,,D. Rose misses free throw 1 of 2,24,24
162,2,6:11.0,,Offensive rebound by Team,24,24
163,2,6:11.0,,J. Butler enters the game for T. Snell,24,24
164,2,6:11.0,G. Hayward enters the game for I. Clark,,24,24
165,2,6:11.0,T. Booker enters the game for D. Favors,,24,24
166,2,6:11.0,,D. Rose makes free throw 2 of 2,24,25
167,2,5:57.0,,Chicago full timeout,24,25
168,2,5:50.0,R. Gobert misses 2-pt jump shot from 7 ft,,24,25
169,2,5:48.0,Offensive rebound by R. Gobert,,24,25
170,2,5:28.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by T. Burke),,27,25
171,2,5:10.0,,N. Mirotić misses 3-pt jump shot from 24 ft,27,25
172,2,5:09.0,Defensive rebound by T. Booker,,27,25
173,2,5:02.0,Shooting foul by D. Rose (drawn by T. Burke),,27,25
174,2,5:02.0,T. Burke makes free throw 1 of 2,,28,25
175,2,5:02.0,,K. Hinrich enters the game for N. Mirotić,28,25
176,2,5:02.0,,P. Gasol enters the game for J. Noah,28,25
177,2,5:02.0,D. Exum enters the game for J. Ingles,,28,25
178,2,5:02.0,T. Burke misses free throw 2 of 2,,28,25
179,2,4:59.0,Offensive rebound by R. Gobert,,28,25
180,2,4:54.0,G. Hayward misses 3-pt jump shot from 25 ft,,28,25
181,2,4:52.0,Offensive rebound by T. Booker,,28,25
182,2,4:43.0,Turnover by T. Burke (back court),,28,25
183,2,4:43.0,D. Favors enters the game for T. Booker,,28,25
184,2,4:20.0,,D. Rose misses 2-pt jump shot from 3 ft,28,25
185,2,4:19.0,Defensive rebound by D. Favors,,28,25
186,2,3:58.0,T. Burke misses 3-pt jump shot from 23 ft,,28,25
187,2,3:57.0,,Defensive rebound by J. Butler,28,25
188,2,3:52.0,,D. Rose misses 2-pt layup from 2 ft,28,25
189,2,3:52.0,Defensive rebound by Team,,28,25
190,2,3:39.0,G. Hayward misses 2-pt layup from 2 ft,,28,25
191,2,3:37.0,,Defensive rebound by J. Butler,28,25
192,2,3:26.0,,D. Rose misses 2-pt jump shot from 13 ft (block by R. Gobert),28,25
193,2,3:25.0,,Offensive rebound by P. Gasol,28,25
194,2,3:24.0,,P. Gasol makes 2-pt layup from 1 ft,28,27
195,2,3:24.0,Utah full timeout,,28,27
196,2,3:12.0,D. Favors misses 2-pt jump shot from 12 ft,,28,27
197,2,3:11.0,,Defensive rebound by Team,28,27
198,2,2:51.0,,K. Hinrich misses 2-pt jump shot from 20 ft,28,27
199,2,2:51.0,Defensive rebound by Team,,28,27
200,2,2:51.0,,Loose ball foul by P. Gasol (drawn by D. Favors),28,27
201,2,2:30.0,D. Favors misses 2-pt layup from 1 ft,,28,27
202,2,2:28.0,Offensive rebound by D. Favors,,28,27
203,2,2:28.0,D. Favors misses 2-pt layup from 1 ft,,28,27
204,2,2:26.0,,Defensive rebound by K. Hinrich,28,27
205,2,2:08.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by P. Gasol),28,30
206,2,1:56.0,D. Favors makes 2-pt layup from 3 ft (assist by G. Hayward),,30,30
207,2,1:38.0,,P. Gasol misses 2-pt jump shot from 20 ft,30,30
208,2,1:37.0,Defensive rebound by D. Favors,,30,30
209,2,1:25.0,D. Favors makes 2-pt layup from 1 ft (assist by D. Exum),,32,30
210,2,1:03.0,,T. Gibson makes 2-pt jump shot from 12 ft (assist by J. Butler),32,32
211,2,0:49.0,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),,34,32
212,2,0:35.0,,P. Gasol misses 2-pt hook shot from 2 ft,34,32
213,2,0:34.0,Defensive rebound by D. Favors,,34,32
214,2,0:10.0,T. Burke misses 2-pt jump shot from 19 ft,,34,32
215,2,0:09.0,Offensive rebound by T. Burke,,34,32
216,2,0:08.0,T. Burke makes 2-pt layup from 1 ft,,36,32
217,2,0:01.0,,D. Rose misses 2-pt layup from 1 ft,36,32
218,2,0:00.0,,Offensive rebound by J. Butler,36,32
219,2,0:00.0,,J. Butler misses 2-pt jump shot from 17 ft,36,32
220,2,0:00.0,,Offensive rebound by Team,36,32
221,3,11:47.0,,Turnover by D. Rose (bad pass; steal by R. Gobert),36,32
222,3,11:34.0,Turnover by G. Hayward (step out of bounds),,36,32
223,3,11:16.0,,P. Gasol makes 2-pt dunk at rim (assist by J. Butler),36,34
224,3,11:01.0,T. Burke makes 3-pt jump shot from 23 ft (assist by G. Hayward),,39,34
225,3,10:48.0,Violation by D. Favors (kicked ball),,39,34
226,3,10:37.0,,J. Butler misses 2-pt jump shot from 19 ft,39,34
227,3,10:36.0,Defensive rebound by R. Gobert,,39,34
228,3,10:31.0,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),,41,34
229,3,10:15.0,,P. Gasol misses 2-pt jump shot from 4 ft,41,34
230,3,10:15.0,Defensive rebound by D. Favors,,41,34
231,3,10:07.0,G. Hayward misses 3-pt jump shot from 23 ft,,41,34
232,3,10:07.0,Offensive rebound by R. Gobert,,41,34
233,3,10:04.0,Shooting foul by K. Hinrich (drawn by G. Hayward),,41,34
234,3,10:04.0,G. Hayward makes free throw 1 of 2,,42,34
235,3,10:04.0,G. Hayward makes free throw 2 of 2,,43,34
236,3,9:46.0,,D. Rose misses 2-pt jump shot from 13 ft,43,34
237,3,9:46.0,Defensive rebound by Team,,43,34
238,3,9:46.0,,Loose ball foul by J. Noah (drawn by D. Favors),43,34
239,3,9:30.0,T. Burke misses 3-pt jump shot from 25 ft,,43,34
240,3,9:29.0,Offensive rebound by R. Gobert,,43,34
241,3,9:23.0,Personal foul by K. Hinrich (drawn by R. Gobert),,43,34
242,3,9:13.0,Turnover by G. Hayward (bad pass),,43,34
243,3,9:05.0,,Personal foul by G. Hayward (drawn by J. Butler),43,34
244,3,9:01.0,,D. Rose makes 2-pt layup from 1 ft,43,36
245,3,8:42.0,R. Gobert makes 2-pt layup at rim (assist by G. Hayward),,45,36
246,3,8:22.0,,Shooting foul by R. Gobert (drawn by J. Butler),45,36
247,3,8:22.0,,J. Butler misses free throw 1 of 2,45,36
248,3,8:22.0,,Offensive rebound by Team,45,36
249,3,8:22.0,,J. Butler makes free throw 2 of 2,45,37
