,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,B. Lopez misses 2-pt hook shot from 6 ft,0,0
1,1,11:42.0,Defensive rebound by S. Williams,,0,0
2,1,11:22.0,Turnover by D. Granger (step out of bounds),,0,0
3,1,11:04.0,,B. Lopez misses 2-pt jump shot from 7 ft,0,0
4,1,11:03.0,Defensive rebound by S. Williams,,0,0
5,1,10:49.0,N. Cole misses 3-pt jump shot from 23 ft,,0,0
6,1,10:48.0,,Defensive rebound by B. Lopez,0,0
7,1,10:41.0,,D. Williams makes 2-pt jump shot from 16 ft,0,2
8,1,10:23.0,M. Chalmers makes 2-pt jump shot from 17 ft (assist by S. Williams),,2,2
9,1,10:06.0,,Turnover by B. Lopez (bad pass),2,2
10,1,9:46.0,N. Cole misses 2-pt layup from 1 ft,,2,2
11,1,9:45.0,,Defensive rebound by K. Garnett,2,2
12,1,9:25.0,,D. Williams makes 2-pt jump shot from 18 ft,2,4
13,1,9:05.0,D. Granger misses 3-pt jump shot from 24 ft,,2,4
14,1,9:04.0,,Defensive rebound by K. Garnett,2,4
15,1,8:47.0,,J. Johnson misses 3-pt jump shot from 23 ft,2,4
16,1,8:46.0,Defensive rebound by C. Bosh,,2,4
17,1,8:41.0,D. Granger makes 2-pt jump shot from 3 ft (assist by M. Chalmers),,4,4
18,1,8:23.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by B. Lopez),4,7
19,1,8:08.0,Shooting foul by B. Lopez (drawn by C. Bosh),,4,7
20,1,8:08.0,C. Bosh makes free throw 1 of 2,,5,7
21,1,8:08.0,C. Bosh makes free throw 2 of 2,,6,7
22,1,7:44.0,,J. Johnson makes 2-pt jump shot from 18 ft,6,9
23,1,7:26.0,Turnover by N. Cole (lost ball; steal by D. Williams),,6,9
24,1,7:24.0,,Turnover by D. Williams (lost ball),6,9
25,1,7:24.0,C. Andersen enters the game for S. Williams,,6,9
26,1,7:24.0,J. Ennis enters the game for M. Chalmers,,6,9
27,1,7:15.0,Turnover by C. Bosh (lost ball; steal by B. Lopez),,6,9
28,1,7:15.0,Loose ball foul by C. Bosh (drawn by B. Lopez),,6,9
29,1,6:57.0,,D. Williams misses 3-pt jump shot from 23 ft,6,9
30,1,6:56.0,Defensive rebound by C. Bosh,,6,9
31,1,6:35.0,N. Cole misses 2-pt jump shot from 20 ft,,6,9
32,1,6:33.0,Offensive rebound by C. Andersen,,6,9
33,1,6:32.0,C. Andersen makes 2-pt tip-in from 1 ft,,8,9
34,1,6:14.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by B. Lopez),8,11
35,1,5:46.0,C. Andersen makes 2-pt jump shot from 20 ft (assist by N. Cole),,10,11
36,1,5:37.0,,Brooklyn full timeout,10,11
37,1,5:37.0,,M. Plumlee enters the game for K. Garnett,10,11
38,1,5:19.0,,B. Lopez misses 2-pt jump shot from 18 ft,10,11
39,1,5:18.0,,Offensive rebound by B. Bogdanović,10,11
40,1,5:12.0,,J. Johnson makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),10,14
41,1,4:53.0,Shooting foul by B. Lopez (drawn by J. Ennis),,10,14
42,1,4:53.0,J. Ennis makes free throw 1 of 2,,11,14
43,1,4:53.0,,J. Jordan enters the game for B. Lopez,11,14
44,1,4:53.0,J. Ennis makes free throw 2 of 2,,12,14
45,1,4:43.0,,J. Johnson misses 2-pt jump shot from 8 ft,12,14
46,1,4:42.0,Defensive rebound by Team,,12,14
47,1,4:42.0,,Loose ball foul by J. Johnson (drawn by C. Andersen),12,14
