,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BROOKLYN_ACTION,CHARLOTTE_SCORE,BROOKLYN_SCORE
0,1,11:38.0,,A. Anderson misses 3-pt jump shot from 27 ft,0,0
1,1,11:37.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
2,1,11:24.0,A. Jefferson misses 2-pt hook shot from 10 ft,,0,0
3,1,11:23.0,,Defensive rebound by J. Johnson,0,0
4,1,11:00.0,,A. Anderson misses 2-pt jump shot from 15 ft,0,0
5,1,10:59.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
6,1,10:48.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by M. Williams),,2,0
7,1,10:34.0,,M. Brown makes 2-pt layup from 2 ft,2,2
8,1,10:09.0,M. Williams makes 3-pt jump shot from 23 ft (assist by M. Williams),,5,2
9,1,9:56.0,,J. Johnson misses 2-pt jump shot from 6 ft,5,2
10,1,9:54.0,,Offensive rebound by M. Brown,5,2
11,1,9:46.0,,D. Williams misses 3-pt jump shot from 24 ft,5,2
12,1,9:45.0,Defensive rebound by M. Kidd-Gilchrist,,5,2
13,1,9:30.0,G. Henderson misses 2-pt jump shot from 16 ft,,5,2
14,1,9:29.0,Offensive rebound by M. Kidd-Gilchrist,,5,2
15,1,9:28.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,7,2
16,1,9:20.0,,Personal foul by G. Henderson (drawn by D. Williams),7,2
17,1,9:12.0,,Turnover by D. Williams (lost ball; steal by A. Jefferson),7,2
18,1,9:08.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),,9,2
19,1,8:58.0,,Brooklyn full timeout,9,2
20,1,8:43.0,,J. Johnson misses 3-pt jump shot from 24 ft,9,2
21,1,8:42.0,Defensive rebound by A. Jefferson,,9,2
22,1,8:29.0,Shooting foul by M. Brown (drawn by M. Williams),,9,2
23,1,8:29.0,M. Williams makes free throw 1 of 2,,10,2
24,1,8:29.0,,B. Lopez enters the game for M. Plumlee,10,2
25,1,8:29.0,M. Williams makes free throw 2 of 2,,11,2
26,1,8:20.0,,B. Lopez misses 2-pt jump shot from 20 ft,11,2
27,1,8:19.0,Defensive rebound by M. Williams,,11,2
28,1,8:19.0,,Technical foul by Team,11,2
29,1,8:19.0,M. Williams misses technical free throw,,11,2
30,1,8:19.0,Offensive rebound by Team,,11,2
31,1,8:04.0,A. Jefferson makes 2-pt jump shot from 5 ft (assist by M. Williams),,13,2
32,1,7:49.0,,B. Lopez makes 2-pt hook shot from 6 ft (assist by D. Williams),13,4
33,1,7:33.0,M. Williams makes 3-pt jump shot from 22 ft (assist by M. Williams),,16,4
34,1,7:17.0,,D. Williams makes 2-pt jump shot from 18 ft,16,6
35,1,7:02.0,A. Jefferson makes 2-pt dunk at rim (assist by G. Henderson),,18,6
36,1,6:50.0,,M. Brown misses 2-pt jump shot from 19 ft,18,6
37,1,6:49.0,Defensive rebound by G. Henderson,,18,6
38,1,6:44.0,Personal foul by D. Williams (drawn by G. Henderson),,18,6
39,1,6:44.0,,J. Jack enters the game for M. Brown,18,6
40,1,6:27.0,Turnover by A. Jefferson (bad pass; steal by A. Anderson),,18,6
41,1,6:19.0,,B. Lopez misses 2-pt jump shot from 6 ft,18,6
42,1,6:18.0,Defensive rebound by M. Williams,,18,6
43,1,6:08.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by M. Williams),,20,6
44,1,5:49.0,,J. Jack misses 2-pt jump shot from 19 ft,20,6
45,1,5:48.0,Defensive rebound by A. Jefferson,,20,6
46,1,5:29.0,M. Kidd-Gilchrist makes 2-pt jump shot from 21 ft (assist by A. Jefferson),,22,6
47,1,5:10.0,,B. Lopez misses 2-pt jump shot from 7 ft,22,6
48,1,5:09.0,Defensive rebound by M. Williams,,22,6
49,1,4:53.0,A. Jefferson makes 2-pt jump shot from 15 ft,,24,6
50,1,4:51.0,,Brooklyn full timeout,24,6
51,1,4:43.0,,J. Jack misses 2-pt jump shot from 20 ft,24,6
52,1,4:42.0,Defensive rebound by A. Jefferson,,24,6
