,QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,Turnover by S. Curry (bad pass),0,0
1,1,11:32.0,Turnover by C. Watson (bad pass; steal by D. Green),,0,0
2,1,11:23.0,,H. Barnes misses 2-pt jump shot from 18 ft,0,0
3,1,11:22.0,Defensive rebound by C. Watson,,0,0
4,1,10:59.0,D. West makes 2-pt hook shot from 8 ft,,2,0
5,1,10:40.0,,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),2,3
6,1,10:22.0,C. Miles misses 2-pt jump shot from 22 ft,,2,3
7,1,10:18.0,,Defensive rebound by H. Barnes,2,3
8,1,10:11.0,,M. Speights misses 2-pt jump shot from 15 ft,2,3
9,1,10:10.0,Defensive rebound by C. Watson,,2,3
10,1,10:05.0,Offensive foul by R. Hibbert (drawn by M. Speights),,2,3
11,1,10:05.0,Turnover by R. Hibbert (offensive foul),,2,3
12,1,9:57.0,,K. Thompson makes 2-pt hook shot from 5 ft (assist by S. Curry),2,5
13,1,9:44.0,S. Hill makes 3-pt jump shot from 25 ft (assist by D. West),,5,5
14,1,9:35.0,,Turnover by S. Curry (bad pass),5,5
15,1,9:26.0,Turnover by C. Watson (bad pass; steal by S. Curry),,5,5
16,1,9:22.0,,K. Thompson makes 2-pt dunk at rim,5,7
17,1,8:59.0,S. Hill makes 3-pt jump shot from 25 ft (assist by C. Miles),,8,7
18,1,8:51.0,,S. Curry makes 2-pt jump shot from 20 ft,8,9
19,1,8:39.0,S. Hill makes 2-pt jump shot from 11 ft,,10,9
20,1,8:25.0,,M. Speights misses 2-pt jump shot from 18 ft,10,9
21,1,8:24.0,Defensive rebound by R. Hibbert,,10,9
22,1,8:16.0,Personal foul by M. Speights (drawn by R. Hibbert),,10,9
23,1,8:09.0,R. Hibbert makes 2-pt jump shot from 17 ft (assist by C. Watson),,12,9
24,1,7:58.0,,M. Speights misses 2-pt jump shot from 1 ft (block by R. Hibbert),12,9
25,1,7:57.0,,Offensive rebound by M. Speights,12,9
26,1,7:57.0,,M. Speights makes 2-pt layup from 1 ft,12,11
27,1,7:43.0,Offensive foul by D. West (drawn by D. Green),,12,11
28,1,7:43.0,Turnover by D. West (offensive foul),,12,11
29,1,7:32.0,,K. Thompson misses 2-pt jump shot from 17 ft,12,11
30,1,7:30.0,Defensive rebound by D. West,,12,11
31,1,7:16.0,Turnover by C. Miles (lost ball; steal by D. Green),,12,11
32,1,7:04.0,,K. Thompson makes 2-pt jump shot from 18 ft,12,13
33,1,6:47.0,R. Hibbert misses 2-pt jump shot from 18 ft,,12,13
34,1,6:47.0,,Defensive rebound by H. Barnes,12,13
35,1,6:44.0,,Turnover by S. Curry (bad pass; steal by C. Miles),12,13
36,1,6:37.0,C. Miles misses 2-pt layup from 2 ft (block by D. Green),,12,13
37,1,6:37.0,Offensive rebound by Team,,12,13
38,1,6:28.0,S. Hill misses 2-pt jump shot from 11 ft,,12,13
39,1,6:27.0,,Defensive rebound by D. Green,12,13
40,1,6:22.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),12,16
41,1,6:21.0,Indiana full timeout,,12,16
42,1,6:21.0,L. Allen enters the game for R. Hibbert,,12,16
43,1,6:06.0,Turnover by C. Miles (bad pass),,12,16
44,1,5:57.0,,H. Barnes misses 2-pt jump shot from 16 ft,12,16
45,1,5:56.0,,Offensive rebound by Team,12,16
46,1,5:52.0,,K. Thompson misses 2-pt jump shot from 15 ft,12,16
47,1,5:50.0,Defensive rebound by D. West,,12,16
48,1,5:42.0,L. Allen makes 2-pt layup from 2 ft (assist by D. West),,14,16
49,1,5:31.0,,S. Curry misses 2-pt jump shot from 21 ft,14,16
50,1,5:30.0,Defensive rebound by S. Hill,,14,16
51,1,5:24.0,C. Miles misses 3-pt jump shot from 23 ft,,14,16
