,QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
159,2,5:39.0,Defensive rebound by J. Anthony,,32,35
160,2,5:33.0,Detroit full timeout,,32,35
161,2,5:33.0,,N. Peković enters the game for G. Dieng,32,35
162,2,5:33.0,,A. Wiggins enters the game for S. Muhammad,32,35
163,2,5:33.0,A. Drummond enters the game for J. Anthony,,32,35
164,2,5:33.0,K. Singler enters the game for C. Butler,,32,35
165,2,5:30.0,A. Drummond makes 2-pt hook shot from 4 ft (assist by J. Smith),,34,35
166,2,5:18.0,Violation by D. Augustin (kicked ball),,34,35
167,2,5:13.0,,M. Williams makes 2-pt jump shot from 14 ft,34,37
168,2,4:57.0,J. Smith misses 2-pt hook shot from 3 ft,,34,37
169,2,4:56.0,,Defensive rebound by N. Peković,34,37
170,2,4:43.0,,Personal foul by K. Caldwell-Pope (drawn by A. Wiggins),34,37
171,2,4:43.0,,A. Wiggins misses free throw 1 of 2,34,37
172,2,4:43.0,,Offensive rebound by Team,34,37
173,2,4:43.0,,A. Wiggins misses free throw 2 of 2,34,37
174,2,4:42.0,,Offensive rebound by N. Peković,34,37
175,2,4:40.0,,N. Peković misses 2-pt layup at rim (block by A. Drummond),34,37
176,2,4:38.0,Defensive rebound by K. Singler,,34,37
177,2,4:28.0,K. Singler makes 2-pt layup from 1 ft (assist by D. Augustin),,36,37
178,2,4:12.0,,Turnover by A. Wiggins (lost ball),36,37
179,2,3:57.0,J. Smith misses 2-pt jump shot from 21 ft,,36,37
180,2,3:56.0,Offensive rebound by D. Augustin,,36,37
181,2,3:42.0,D. Augustin misses 2-pt jump shot from 6 ft,,36,37
182,2,3:39.0,Offensive rebound by K. Singler,,36,37
183,2,3:30.0,J. Smith misses 2-pt layup from 1 ft,,36,37
184,2,3:29.0,Offensive rebound by Team,,36,37
185,2,3:29.0,,T. Young enters the game for A. Bennett,36,37
186,2,3:29.0,,R. Rubio enters the game for M. Williams,36,37
187,2,3:08.0,D. Augustin misses 3-pt jump shot from 22 ft,,36,37
188,2,3:06.0,Offensive rebound by A. Drummond,,36,37
189,2,3:04.0,A. Drummond misses 2-pt layup from 2 ft,,36,37
190,2,3:03.0,,Defensive rebound by N. Peković,36,37
191,2,2:45.0,,T. Young misses 2-pt jump shot from 14 ft,36,37
192,2,2:44.0,Defensive rebound by A. Drummond,,36,37
193,2,2:34.0,D. Augustin makes 2-pt layup from 1 ft,,38,37
194,2,2:26.0,,Minnesota full timeout,38,37
195,2,2:26.0,,C. Brewer enters the game for Z. LaVine,38,37
196,2,2:16.0,,N. Peković makes 2-pt layup from 1 ft (assist by T. Young),38,39
197,2,2:01.0,Turnover by J. Smith (bad pass; steal by A. Wiggins),,38,39
198,2,1:56.0,,R. Rubio makes 2-pt layup at rim (assist by A. Wiggins),38,41
199,2,1:32.0,J. Smith makes 2-pt jump shot from 20 ft (assist by K. Caldwell-Pope),,40,41
200,2,1:16.0,,Shooting foul by J. Smith (drawn by N. Peković),40,41
201,2,1:16.0,,N. Peković makes free throw 1 of 2,40,42
202,2,1:16.0,C. Butler enters the game for K. Caldwell-Pope,,40,42
203,2,1:16.0,J. Jerebko enters the game for J. Smith,,40,42
204,2,1:16.0,,N. Peković makes free throw 2 of 2,40,43
205,2,0:56.0,D. Augustin makes 2-pt layup from 1 ft,,42,43
206,2,0:52.0,,A. Wiggins misses 2-pt jump shot from 16 ft,42,43
207,2,0:50.0,Defensive rebound by C. Butler,,42,43
208,2,0:40.0,D. Augustin makes 2-pt jump shot from 13 ft,,44,43
209,2,0:27.0,,T. Young makes 2-pt jump shot from 18 ft (assist by R. Rubio),44,45
210,2,0:03.0,D. Augustin misses 2-pt jump shot from 12 ft,,44,45
211,2,0:02.0,,Defensive rebound by A. Wiggins,44,45
212,3,11:48.0,,T. Young makes 2-pt jump shot from 11 ft,44,47
213,3,11:27.0,A. Drummond misses 2-pt jump shot from 3 ft,,44,47
214,3,11:26.0,,Defensive rebound by T. Young,44,47
215,3,11:19.0,,A. Wiggins makes 2-pt layup at rim (assist by R. Rubio),44,49
216,3,11:00.0,K. Singler misses 3-pt jump shot from 22 ft,,44,49
217,3,10:58.0,,Defensive rebound by A. Wiggins,44,49
218,3,10:46.0,,R. Rubio misses 2-pt jump shot from 14 ft,44,49
219,3,10:45.0,,Offensive rebound by N. Peković,44,49
220,3,10:44.0,,N. Peković makes 2-pt layup at rim,44,51
221,3,10:41.0,Detroit full timeout,,44,51
222,3,10:25.0,J. Smith misses 2-pt jump shot from 18 ft,,44,51
223,3,10:24.0,Offensive rebound by K. Caldwell-Pope,,44,51
224,3,10:08.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by B. Jennings),,47,51
225,3,9:46.0,,C. Brewer misses 2-pt jump shot from 16 ft,47,51
226,3,9:45.0,,Offensive rebound by N. Peković,47,51
227,3,9:44.0,,N. Peković makes 2-pt layup from 1 ft,47,53
228,3,9:32.0,J. Smith misses 2-pt layup from 1 ft,,47,53
229,3,9:31.0,,Defensive rebound by C. Brewer,47,53
230,3,9:17.0,,T. Young misses 2-pt jump shot from 16 ft,47,53
231,3,9:15.0,Defensive rebound by K. Caldwell-Pope,,47,53
232,3,9:06.0,J. Smith misses 2-pt jump shot from 7 ft,,47,53
233,3,9:05.0,,Defensive rebound by R. Rubio,47,53
234,3,8:57.0,,N. Peković misses 2-pt layup at rim (block by J. Smith),47,53
235,3,8:54.0,Defensive rebound by J. Smith,,47,53
236,3,8:50.0,Turnover by K. Singler (bad pass; steal by R. Rubio),,47,53
237,3,8:45.0,,C. Brewer makes 2-pt layup at rim,47,55
238,3,8:19.0,B. Jennings makes 2-pt layup from 2 ft,,49,55
239,3,8:06.0,,N. Peković makes 2-pt layup at rim (assist by R. Rubio),49,57
240,3,8:06.0,,Shooting foul by A. Drummond (drawn by N. Peković),49,57
241,3,8:06.0,,N. Peković makes free throw 1 of 1,49,58
