,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BOSTON_ACTION,PHOENIX_SCORE,BOSTON_SCORE
0,1,11:39.0,M. Morris makes 2-pt jump shot from 12 ft (assist by G. Dragić),,2,0
1,1,11:19.0,,J. Sullinger misses 2-pt jump shot from 5 ft,2,0
2,1,11:18.0,Defensive rebound by E. Bledsoe,,2,0
3,1,11:13.0,M. Plumlee misses 2-pt layup from 1 ft,,2,0
4,1,11:12.0,,Defensive rebound by K. Olynyk,2,0
5,1,11:04.0,,J. Sullinger misses 2-pt layup at rim,2,0
6,1,11:03.0,,Offensive rebound by J. Sullinger,2,0
7,1,11:03.0,,J. Sullinger makes 2-pt layup at rim,2,2
8,1,10:44.0,M. Morris misses 2-pt jump shot from 11 ft,,2,2
9,1,10:43.0,,Defensive rebound by K. Olynyk,2,2
10,1,10:33.0,,K. Olynyk misses 2-pt layup from 2 ft (block by M. Plumlee),2,2
11,1,10:32.0,,Offensive rebound by J. Sullinger,2,2
12,1,10:30.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by J. Sullinger),2,5
13,1,10:13.0,E. Bledsoe misses 2-pt jump shot from 14 ft,,2,5
14,1,10:12.0,,Defensive rebound by R. Rondo,2,5
15,1,10:05.0,,Shooting foul by M. Plumlee (drawn by J. Sullinger),2,5
16,1,10:05.0,,J. Sullinger makes free throw 1 of 2,2,6
17,1,10:05.0,,J. Sullinger makes free throw 2 of 2,2,7
18,1,9:47.0,Personal foul by J. Sullinger (drawn by E. Bledsoe),,2,7
19,1,9:36.0,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Morris),,5,7
20,1,9:22.0,,A. Bradley makes 2-pt layup from 1 ft (assist by J. Sullinger),5,9
21,1,9:12.0,G. Dragić makes 2-pt layup from 1 ft (assist by M. Morris),,7,9
22,1,9:12.0,Shooting foul by K. Olynyk (drawn by G. Dragić),,7,9
23,1,9:12.0,G. Dragić makes free throw 1 of 1,,8,9
24,1,8:57.0,,J. Sullinger misses 2-pt hook shot from 5 ft,8,9
25,1,8:55.0,Defensive rebound by M. Morris,,8,9
26,1,8:48.0,Offensive foul by M. Plumlee (drawn by R. Rondo),,8,9
27,1,8:48.0,Turnover by M. Plumlee (offensive foul),,8,9
28,1,8:48.0,A. Len enters the game for M. Plumlee,,8,9
29,1,8:35.0,,J. Green misses 3-pt jump shot from 25 ft,8,9
30,1,8:33.0,Defensive rebound by E. Bledsoe,,8,9
31,1,8:28.0,G. Dragić makes 2-pt layup from 1 ft (assist by E. Bledsoe),,10,9
32,1,8:19.0,,Personal foul by M. Morris (drawn by K. Olynyk),10,9
33,1,8:10.0,,J. Green misses 2-pt jump shot from 9 ft,10,9
34,1,8:09.0,Defensive rebound by G. Dragić,,10,9
35,1,7:59.0,M. Morris makes 2-pt layup from 1 ft (assist by G. Dragić),,12,9
36,1,7:43.0,,J. Sullinger makes 2-pt layup at rim (assist by A. Bradley),12,11
37,1,7:26.0,E. Bledsoe makes 2-pt jump shot from 3 ft,,14,11
38,1,7:15.0,,A. Bradley makes 2-pt jump shot from 13 ft,14,13
39,1,7:07.0,M. Morris misses 3-pt jump shot from 22 ft,,14,13
40,1,7:06.0,,Defensive rebound by R. Rondo,14,13
41,1,7:02.0,,J. Green misses 2-pt layup from 1 ft,14,13
42,1,7:01.0,Defensive rebound by G. Dragić,,14,13
43,1,6:49.0,M. Morris makes 2-pt jump shot from 18 ft (assist by G. Dragić),,16,13
44,1,6:34.0,,A. Bradley misses 2-pt jump shot from 18 ft,16,13
45,1,6:33.0,Defensive rebound by M. Morris,,16,13
46,1,6:31.0,Turnover by M. Morris (lost ball; steal by J. Sullinger),,16,13
47,1,6:27.0,,J. Sullinger misses 2-pt layup from 1 ft,16,13
48,1,6:26.0,Defensive rebound by M. Morris,,16,13
49,1,6:24.0,M. Morris makes 2-pt layup at rim (assist by G. Dragić),,18,13
50,1,6:24.0,Shooting foul by R. Rondo (drawn by M. Morris),,18,13
51,1,6:24.0,,B. Bass enters the game for J. Sullinger,18,13
52,1,6:24.0,,E. Turner enters the game for A. Bradley,18,13
53,1,6:24.0,M. Morris makes free throw 1 of 1,,19,13
54,1,6:23.0,,Boston full timeout,19,13
55,1,6:23.0,G. Green enters the game for M. Morris,,19,13
56,1,6:17.0,,Shooting foul by G. Dragić (drawn by R. Rondo),19,13
57,1,6:17.0,,R. Rondo misses free throw 1 of 2,19,13
58,1,6:17.0,,Offensive rebound by Team,19,13
59,1,6:17.0,,R. Rondo makes free throw 2 of 2,19,14
60,1,6:09.0,Shooting foul by K. Olynyk (drawn by E. Bledsoe),,19,14
61,1,6:09.0,E. Bledsoe makes free throw 1 of 2,,20,14
62,1,6:09.0,E. Bledsoe misses free throw 2 of 2,,20,14
63,1,6:09.0,,Defensive rebound by K. Olynyk,20,14
64,1,6:03.0,,E. Turner makes 2-pt jump shot from 18 ft (assist by R. Rondo),20,16
65,1,5:55.0,Turnover by A. Len (lost ball; steal by E. Turner),,20,16
66,1,5:50.0,,Turnover by R. Rondo (bad pass; steal by E. Bledsoe),20,16
67,1,5:48.0,Personal foul by E. Turner (drawn by E. Bledsoe),,20,16
68,1,5:48.0,E. Bledsoe makes free throw 1 of 2,,21,16
69,1,5:48.0,,P. Pressey enters the game for R. Rondo,21,16
70,1,5:48.0,E. Bledsoe makes free throw 2 of 2,,22,16
71,1,5:31.0,,B. Bass misses 2-pt jump shot from 15 ft,22,16
72,1,5:30.0,Defensive rebound by G. Dragić,,22,16
73,1,5:17.0,G. Green makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,25,16
74,1,5:06.0,,Turnover by K. Olynyk (bad pass),25,16
75,1,5:06.0,,T. Zeller enters the game for K. Olynyk,25,16
76,1,5:06.0,I. Thomas enters the game for G. Dragić,,25,16
77,1,5:06.0,A. Tolliver enters the game for M. Morris,,25,16
78,1,5:00.0,A. Len makes 2-pt layup from 1 ft (assist by E. Bledsoe),,27,16
79,1,4:42.0,,B. Bass misses 2-pt layup from 1 ft,27,16
80,1,4:40.0,Defensive rebound by I. Thomas,,27,16
81,1,4:34.0,G. Green makes 2-pt dunk at rim (assist by I. Thomas),,29,16
82,1,4:20.0,,B. Bass misses 2-pt jump shot from 13 ft,29,16
83,1,4:19.0,Defensive rebound by E. Bledsoe,,29,16
84,1,4:01.0,Turnover by E. Bledsoe (bad pass; steal by J. Green),,29,16
85,1,3:57.0,,J. Green makes 2-pt dunk at rim,29,18
86,1,3:36.0,I. Thomas misses 3-pt jump shot from 25 ft,,29,18
87,1,3:35.0,,Defensive rebound by J. Green,29,18
88,1,3:30.0,,Shooting block foul by G. Green (drawn by J. Green),29,18
89,1,3:30.0,,J. Green makes free throw 1 of 2,29,19
90,1,3:30.0,,J. Green makes free throw 2 of 2,29,20
91,1,3:15.0,G. Green misses 2-pt layup from 1 ft (block by J. Green),,29,20
92,1,3:13.0,,Defensive rebound by E. Turner,29,20
93,1,3:05.0,,T. Zeller makes 2-pt jump shot from 3 ft (assist by E. Turner),29,22
94,1,2:59.0,Phoenix full timeout,,29,22
95,1,2:56.0,Turnover by G. Green (bad pass; steal by J. Green),,29,22
96,1,2:51.0,,J. Green misses 2-pt layup from 2 ft,29,22
97,1,2:50.0,Defensive rebound by A. Len,,29,22
98,1,2:32.0,E. Bledsoe misses 2-pt layup from 2 ft,,29,22
99,1,2:31.0,,Defensive rebound by T. Zeller,29,22
100,1,2:10.0,,B. Bass misses 2-pt jump shot from 4 ft,29,22
101,1,2:09.0,Defensive rebound by A. Tolliver,,29,22
102,1,1:59.0,Shooting foul by J. Green (drawn by I. Thomas),,29,22
103,1,1:59.0,I. Thomas makes free throw 1 of 2,,30,22
104,1,1:59.0,I. Thomas makes free throw 2 of 2,,31,22
