,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,12:00.0,,Turnover by E. Payton (offensive foul),0,0
2,1,12:00.0,,Offensive foul by E. Payton (drawn by R. Westbrook),0,0
3,1,11:42.0,S. Adams makes 2-pt layup from 1 ft (assist by K. Durant),,2,0
4,1,11:30.0,,C. Frye misses 3-pt jump shot from 26 ft,2,0
5,1,11:29.0,Defensive rebound by S. Adams,,2,0
6,1,11:18.0,,Offensive charge foul by K. Durant (drawn by V. Oladipo),2,0
7,1,11:18.0,Turnover by K. Durant (offensive foul),,2,0
8,1,11:04.0,,Turnover by N. Vučević (lost ball; steal by S. Ibaka),2,0
9,1,10:49.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by S. Adams),,5,0
10,1,10:42.0,,Turnover by E. Payton (bad pass; steal by K. Durant),5,0
11,1,10:36.0,Turnover by K. Durant (bad pass; steal by C. Frye),,5,0
12,1,10:27.0,,D. Marble misses 3-pt jump shot from 24 ft,5,0
13,1,10:26.0,Defensive rebound by S. Ibaka,,5,0
14,1,10:17.0,S. Ibaka misses 3-pt jump shot from 25 ft,,5,0
15,1,10:16.0,,Defensive rebound by C. Frye,5,0
16,1,10:06.0,,V. Oladipo misses 2-pt layup from 2 ft,5,0
17,1,10:03.0,Defensive rebound by S. Ibaka,,5,0
18,1,9:55.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,8,0
19,1,9:48.0,,Orlando full timeout,8,0
20,1,9:42.0,,Personal foul by A. Roberson (drawn by E. Payton),8,0
21,1,9:27.0,,N. Vučević misses 2-pt jump shot from 19 ft,8,0
22,1,9:26.0,Defensive rebound by K. Durant,,8,0
23,1,9:17.0,Personal foul by E. Payton (drawn by R. Westbrook),,8,0
24,1,9:13.0,S. Adams makes 2-pt dunk at rim (assist by K. Durant),,10,0
25,1,9:01.0,,Turnover by N. Vučević (lost ball; steal by R. Westbrook),10,0
26,1,8:51.0,A. Roberson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,13,0
27,1,8:30.0,,D. Marble misses 2-pt layup from 1 ft,13,0
28,1,8:29.0,,Offensive rebound by N. Vučević,13,0
29,1,8:29.0,,N. Vučević misses 2-pt tip-in from 2 ft,13,0
30,1,8:27.0,,Offensive rebound by N. Vučević,13,0
31,1,8:27.0,,N. Vučević makes 2-pt tip-in at rim,13,2
32,1,8:15.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Durant),,15,2
33,1,8:06.0,,N. Vučević misses 2-pt hook shot from 10 ft,15,2
34,1,8:04.0,,Offensive rebound by E. Payton,15,2
35,1,8:03.0,,E. Payton makes 2-pt layup at rim,15,4
36,1,7:45.0,R. Westbrook misses 2-pt jump shot from 15 ft,,15,4
37,1,7:44.0,,Defensive rebound by N. Vučević,15,4
38,1,7:29.0,,E. Payton makes 2-pt jump shot from 7 ft,15,6
39,1,7:08.0,A. Roberson makes 2-pt layup at rim (assist by S. Adams),,17,6
40,1,6:54.0,,Shooting foul by S. Adams (drawn by V. Oladipo),17,6
41,1,6:54.0,,V. Oladipo makes free throw 1 of 2,17,7
42,1,6:54.0,,V. Oladipo makes free throw 2 of 2,17,8
43,1,6:41.0,K. Durant makes 2-pt jump shot from 14 ft,,19,8
44,1,6:31.0,,N. Vučević misses 2-pt jump shot from 17 ft,19,8
45,1,6:30.0,Defensive rebound by S. Ibaka,,19,8
46,1,6:24.0,R. Westbrook makes 2-pt jump shot from 19 ft,,21,8
47,1,6:17.0,,V. Oladipo misses 2-pt dunk at rim (block by S. Ibaka),21,8
48,1,6:14.0,Defensive rebound by K. Durant,,21,8
49,1,6:11.0,Shooting foul by C. Frye (drawn by R. Westbrook),,21,8
50,1,6:11.0,R. Westbrook makes free throw 1 of 2,,22,8
51,1,6:11.0,R. Westbrook misses free throw 2 of 2,,22,8
52,1,6:10.0,,Defensive rebound by C. Frye,22,8
53,1,5:59.0,,E. Payton misses 2-pt layup from 1 ft,22,8
54,1,5:58.0,,Offensive rebound by N. Vučević,22,8
55,1,5:58.0,,N. Vučević makes 2-pt tip-in from 1 ft,22,10
56,1,5:37.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Adams),,24,10
57,1,5:25.0,,N. Vučević makes 2-pt layup from 1 ft (assist by V. Oladipo),24,12
58,1,5:15.0,R. Westbrook makes 2-pt jump shot from 10 ft,,26,12
59,1,5:04.0,,N. Vučević makes 2-pt layup from 2 ft (assist by V. Oladipo),26,14
60,1,4:53.0,Personal foul by V. Oladipo (drawn by R. Westbrook),,26,14
61,1,4:53.0,A. Morrow enters the game for K. Durant,,26,14
62,1,4:45.0,Turnover by R. Westbrook (bad pass; steal by E. Payton),,26,14
63,1,4:40.0,,Turnover by E. Payton (bad pass; steal by A. Morrow),26,14
64,1,4:31.0,R. Westbrook misses 3-pt jump shot from 25 ft,,26,14
65,1,4:30.0,,Defensive rebound by V. Oladipo,26,14
66,1,4:12.0,,E. Payton makes 2-pt jump shot from 16 ft,26,16
67,1,3:53.0,S. Ibaka misses 3-pt jump shot from 25 ft,,26,16
68,1,3:52.0,,Defensive rebound by C. Frye,26,16
69,1,3:44.0,,N. Vučević misses 2-pt jump shot from 13 ft,26,16
