,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
0,1,11:44.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,Offensive rebound by P. Beverley,,0,0
2,1,11:27.0,J. Harden makes 2-pt dunk at rim (assist by T. Ariza),,2,0
3,1,11:05.0,,J. Hill makes 2-pt hook shot from 3 ft,2,2
4,1,10:55.0,J. Harden misses 3-pt jump shot from 25 ft,,2,2
5,1,10:54.0,,Defensive rebound by R. Sacre,2,2
6,1,10:34.0,,J. Clarkson misses 2-pt jump shot from 10 ft,2,2
7,1,10:33.0,Defensive rebound by J. Harden,,2,2
8,1,10:25.0,Turnover by J. Harden (bad pass),,2,2
9,1,10:07.0,,R. Sacre makes 2-pt layup from 2 ft (assist by J. Hill),2,4
10,1,9:47.0,D. Motiejūnas makes 2-pt hook shot from 7 ft,,4,4
11,1,9:27.0,,W. Ellington misses 2-pt jump shot from 18 ft,4,4
12,1,9:26.0,Defensive rebound by J. Harden,,4,4
13,1,9:19.0,P. Beverley misses 3-pt jump shot from 27 ft,,4,4
14,1,9:18.0,,Defensive rebound by J. Hill,4,4
15,1,9:12.0,,Offensive foul by R. Sacre (drawn by D. Motiejūnas),4,4
16,1,9:12.0,,Turnover by R. Sacre (offensive foul),4,4
17,1,9:00.0,D. Motiejūnas misses 2-pt jump shot from 5 ft,,4,4
18,1,8:57.0,Offensive rebound by J. Dorsey,,4,4
19,1,8:55.0,T. Ariza misses 3-pt jump shot from 25 ft,,4,4
20,1,8:53.0,,Defensive rebound by R. Sacre,4,4
21,1,8:46.0,,Turnover by J. Clarkson (step out of bounds),4,4
22,1,8:40.0,J. Harden makes 2-pt layup from 3 ft,,6,4
23,1,8:40.0,Shooting foul by J. Clarkson (drawn by J. Harden),,6,4
24,1,8:40.0,J. Harden makes free throw 1 of 1,,7,4
25,1,8:27.0,,Personal foul by D. Motiejūnas (drawn by R. Sacre),7,4
26,1,8:20.0,,R. Kelly misses 2-pt jump shot from 3 ft,7,4
27,1,8:17.0,Defensive rebound by D. Motiejūnas,,7,4
28,1,8:14.0,J. Dorsey misses 2-pt layup from 2 ft,,7,4
29,1,8:09.0,,Defensive rebound by R. Sacre,7,4
30,1,8:02.0,,R. Kelly misses 3-pt jump shot from 26 ft,7,4
31,1,8:01.0,Defensive rebound by T. Ariza,,7,4
32,1,7:55.0,T. Ariza misses 2-pt layup from 3 ft,,7,4
33,1,7:51.0,Offensive rebound by J. Dorsey,,7,4
34,1,7:40.0,D. Motiejūnas makes 2-pt hook shot from 5 ft,,9,4
35,1,7:27.0,,Turnover by J. Clarkson (lost ball; steal by P. Beverley),9,4
36,1,7:23.0,J. Harden makes 2-pt layup from 1 ft,,11,4
37,1,7:03.0,,J. Hill makes 2-pt jump shot from 19 ft (assist by R. Kelly),11,6
38,1,6:51.0,T. Ariza misses 3-pt jump shot from 25 ft,,11,6
39,1,6:50.0,,Defensive rebound by R. Sacre,11,6
40,1,6:33.0,,J. Clarkson misses 3-pt jump shot from 25 ft,11,6
41,1,6:32.0,Defensive rebound by D. Motiejūnas,,11,6
42,1,6:15.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),,14,6
43,1,5:51.0,,Turnover by J. Hill (lost ball; steal by T. Ariza),14,6
44,1,5:48.0,Turnover by T. Ariza (bad pass; steal by J. Clarkson),,14,6
45,1,5:47.0,,Shooting foul by D. Motiejūnas (drawn by J. Clarkson),14,6
46,1,5:47.0,,LA Lakers full timeout,14,6
47,1,5:47.0,,C. Boozer enters the game for R. Sacre,14,6
48,1,5:47.0,J. Smith enters the game for D. Motiejūnas,,14,6
49,1,5:47.0,,J. Clarkson makes free throw 1 of 2,14,7
50,1,5:47.0,,J. Clarkson makes free throw 2 of 2,14,8
51,1,5:36.0,J. Dorsey makes 2-pt dunk at rim (assist by J. Harden),,16,8
52,1,5:11.0,,W. Ellington misses 3-pt jump shot from 22 ft,16,8
53,1,5:09.0,Defensive rebound by P. Beverley,,16,8
54,1,4:55.0,Turnover by J. Harden (back court),,16,8
55,1,4:45.0,,W. Ellington misses 3-pt jump shot from 24 ft,16,8
56,1,4:44.0,,Offensive rebound by J. Hill,16,8
57,1,4:38.0,,C. Boozer misses 2-pt jump shot from 17 ft,16,8
58,1,4:36.0,Defensive rebound by T. Ariza,,16,8
59,1,4:30.0,T. Ariza makes 2-pt layup from 2 ft (assist by J. Harden),,18,8
60,1,4:07.0,,W. Ellington makes 2-pt jump shot from 19 ft (assist by J. Clarkson),18,10
