,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW YORK_ACTION,CLEVELAND_SCORE,NEW YORK_SCORE
0,1,11:52.0,Turnover by J. Smith (bad pass; steal by L. Amundson),,0,0
1,1,11:41.0,,Turnover by J. Calderón (bad pass; steal by L. James),0,0
2,1,11:38.0,L. James makes 2-pt dunk at rim,,2,0
3,1,11:20.0,,Personal foul by K. Irving (drawn by J. Smith),2,0
4,1,11:17.0,,L. Galloway misses 2-pt jump shot from 22 ft (block by J. Smith),2,0
5,1,11:14.0,,Offensive rebound by J. Smith,2,0
6,1,11:11.0,,L. Amundson makes 2-pt layup from 1 ft (assist by L. Galloway),2,2
7,1,10:58.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,4,2
8,1,10:45.0,,L. Thomas misses 2-pt jump shot from 17 ft,4,2
9,1,10:43.0,,Offensive rebound by L. Amundson,4,2
10,1,10:41.0,,L. Amundson misses 2-pt jump shot from 11 ft,4,2
11,1,10:39.0,,Offensive rebound by L. Thomas,4,2
12,1,10:39.0,,L. Thomas makes 2-pt layup from 1 ft,4,4
13,1,10:27.0,L. James makes 2-pt layup at rim (assist by K. Love),,6,4
14,1,10:03.0,,L. Amundson makes 2-pt jump shot from 4 ft,6,6
15,1,9:49.0,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Irving),,9,6
16,1,9:34.0,,J. Smith makes 2-pt jump shot from 15 ft (assist by L. Galloway),9,8
17,1,9:24.0,Personal foul by L. Amundson (drawn by T. Mozgov),,9,8
18,1,9:17.0,T. Mozgov makes 2-pt layup from 2 ft (assist by J. Smith),,11,8
19,1,9:10.0,,New York full timeout,11,8
20,1,9:02.0,,J. Calderón misses 2-pt jump shot from 18 ft,11,8
21,1,9:00.0,Defensive rebound by J. Smith,,11,8
22,1,8:53.0,J. Smith misses 2-pt jump shot from 18 ft,,11,8
23,1,8:50.0,,Defensive rebound by J. Calderón,11,8
24,1,8:39.0,,J. Smith misses 2-pt jump shot from 16 ft,11,8
25,1,8:38.0,,Offensive rebound by L. Thomas,11,8
26,1,8:38.0,,Shooting foul by J. Smith (drawn by L. Thomas),11,8
27,1,8:38.0,,L. Thomas misses free throw 1 of 2,11,8
28,1,8:38.0,,Offensive rebound by Team,11,8
29,1,8:38.0,,L. Thomas makes free throw 2 of 2,11,9
30,1,8:23.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,14,9
31,1,8:07.0,,J. Calderón misses 2-pt jump shot from 16 ft,14,9
32,1,8:05.0,Defensive rebound by K. Love,,14,9
33,1,7:41.0,L. James makes 2-pt jump shot from 15 ft,,16,9
34,1,7:22.0,,J. Calderón misses 3-pt jump shot from 25 ft,16,9
35,1,7:20.0,Defensive rebound by K. Love,,16,9
36,1,7:17.0,J. Smith misses 2-pt jump shot from 3 ft,,16,9
37,1,7:15.0,Offensive rebound by J. Smith,,16,9
38,1,7:15.0,J. Smith makes 2-pt tip-in from 1 ft,,18,9
39,1,6:55.0,,L. Thomas misses 2-pt jump shot from 18 ft,18,9
40,1,6:54.0,Defensive rebound by K. Love,,18,9
41,1,6:34.0,L. James misses 2-pt jump shot from 15 ft,,18,9
42,1,6:32.0,,Defensive rebound by J. Smith,18,9
43,1,6:21.0,,L. Thomas misses 2-pt hook shot from 4 ft,18,9
44,1,6:19.0,Defensive rebound by K. Love,,18,9
45,1,6:03.0,K. Love misses 3-pt jump shot from 25 ft,,18,9
46,1,6:02.0,Offensive rebound by T. Mozgov,,18,9
47,1,6:00.0,T. Mozgov makes 2-pt dunk at rim,,20,9
48,1,5:52.0,,J. Smith misses 3-pt jump shot from 23 ft,20,9
49,1,5:50.0,Defensive rebound by T. Mozgov,,20,9
50,1,5:39.0,K. Love misses 2-pt layup from 2 ft,,20,9
51,1,5:37.0,Offensive rebound by K. Irving,,20,9
52,1,5:36.0,K. Irving misses 3-pt jump shot from 24 ft,,20,9
53,1,5:35.0,,Defensive rebound by Team,20,9
54,1,5:35.0,,New York full timeout,20,9
55,1,5:35.0,I. Shumpert enters the game for L. James,,20,9
56,1,5:35.0,,T. Hardaway enters the game for J. Smith,20,9
57,1,5:35.0,,A. Bargnani enters the game for L. Galloway,20,9
58,1,5:19.0,,J. Calderón makes 2-pt jump shot from 17 ft,20,11
59,1,5:07.0,Offensive foul by T. Mozgov (drawn by L. Amundson),,20,11
60,1,5:07.0,Turnover by T. Mozgov (offensive foul),,20,11
61,1,5:07.0,,C. Early enters the game for L. Thomas,20,11
62,1,5:07.0,T. Thompson enters the game for T. Mozgov,,20,11
63,1,4:51.0,,C. Early misses 2-pt jump shot from 22 ft,20,11
64,1,4:48.0,,Offensive rebound by L. Amundson,20,11
65,1,4:42.0,,A. Bargnani misses 2-pt jump shot from 22 ft,20,11
66,1,4:40.0,Defensive rebound by K. Love,,20,11
67,1,4:29.0,Shooting foul by J. Calderón (drawn by K. Irving),,20,11
68,1,4:29.0,K. Irving makes free throw 1 of 2,,21,11
69,1,4:29.0,,Q. Acy enters the game for L. Amundson,21,11
70,1,4:29.0,K. Irving makes free throw 2 of 2,,22,11
71,1,4:17.0,,C. Early misses 3-pt jump shot from 23 ft,22,11
72,1,4:14.0,,Offensive rebound by A. Bargnani,22,11
73,1,4:00.0,,Q. Acy misses 2-pt jump shot from 4 ft,22,11
74,1,3:57.0,,Offensive rebound by Q. Acy,22,11
75,1,3:57.0,,Q. Acy misses 2-pt tip-in from 1 ft,22,11
76,1,3:56.0,,Offensive rebound by Team,22,11
77,1,3:51.0,,Q. Acy misses 2-pt jump shot from 18 ft,22,11
78,1,3:49.0,,Offensive rebound by Q. Acy,22,11
79,1,3:32.0,,Q. Acy makes 2-pt jump shot from 7 ft (assist by A. Bargnani),22,13
80,1,3:06.0,K. Irving makes 2-pt layup from 1 ft,,24,13
81,1,2:52.0,,Q. Acy misses 3-pt jump shot from 25 ft,24,13
82,1,2:50.0,Defensive rebound by J. Smith,,24,13
83,1,2:41.0,J. Smith makes 2-pt jump shot from 5 ft,,26,13
84,1,2:19.0,,J. Calderón misses 2-pt jump shot from 17 ft,26,13
85,1,2:18.0,Defensive rebound by K. Love,,26,13
86,1,2:17.0,Personal foul by A. Bargnani (drawn by K. Love),,26,13
87,1,2:17.0,Cleveland full timeout,,26,13
88,1,2:17.0,,L. Galloway enters the game for J. Calderón,26,13
89,1,2:17.0,L. James enters the game for K. Irving,,26,13
90,1,2:17.0,M. Dellavedova enters the game for J. Smith,,26,13
91,1,2:07.0,K. Love makes 2-pt layup at rim (assist by L. James),,28,13
92,1,1:46.0,,Q. Acy misses 2-pt jump shot from 6 ft,28,13
93,1,1:45.0,Defensive rebound by L. James,,28,13
94,1,1:36.0,I. Shumpert makes 2-pt jump shot from 9 ft (assist by L. James),,30,13
95,1,1:20.0,,Turnover by Q. Acy (bad pass; steal by L. James),30,13
96,1,1:17.0,L. James makes 2-pt dunk at rim,,32,13
97,1,0:59.0,,T. Hardaway makes 2-pt jump shot from 20 ft,32,15
98,1,0:49.0,Turnover by L. James (bad pass; steal by Q. Acy),,32,15
99,1,0:43.0,,Personal foul by T. Thompson (drawn by T. Hardaway),32,15
100,1,0:43.0,T. Mozgov enters the game for K. Love,,32,15
101,1,0:36.0,,C. Early makes 2-pt jump shot from 5 ft (assist by A. Bargnani),32,17
102,1,0:33.0,Shooting foul by Q. Acy (drawn by L. James),,32,17
103,1,0:33.0,L. James makes free throw 1 of 2,,33,17
104,1,0:33.0,L. James misses free throw 2 of 2,,33,17
105,1,0:32.0,,Defensive rebound by C. Early,33,17
106,1,0:17.0,,T. Hardaway misses 3-pt jump shot from 25 ft,33,17
107,1,0:15.0,Defensive rebound by T. Thompson,,33,17
108,1,0:01.0,L. James makes 3-pt jump shot from 26 ft,,36,17
109,1,0:00.0,,T. Hardaway misses 3-pt jump shot from 79 ft,36,17
110,1,0:00.0,,Offensive rebound by Team,36,17
111,2,11:42.0,,L. Galloway misses 2-pt jump shot from 18 ft,36,17
112,2,11:41.0,,Offensive rebound by T. Wear,36,17
113,2,11:30.0,,L. Galloway misses 2-pt layup from 1 ft,36,17
114,2,11:29.0,Defensive rebound by T. Mozgov,,36,17
115,2,11:19.0,I. Shumpert misses 2-pt jump shot from 18 ft,,36,17
116,2,11:17.0,,Defensive rebound by T. Wear,36,17
117,2,11:08.0,,T. Hardaway misses 3-pt jump shot from 23 ft,36,17
118,2,11:06.0,Defensive rebound by T. Mozgov,,36,17
119,2,11:02.0,L. James misses 3-pt jump shot from 25 ft,,36,17
120,2,11:00.0,,Defensive rebound by T. Hardaway,36,17
121,2,10:59.0,,Personal foul by T. Thompson (drawn by T. Hardaway),36,17
122,2,10:49.0,,T. Wear misses 2-pt jump shot from 19 ft,36,17
123,2,10:47.0,Defensive rebound by L. James,,36,17
124,2,10:30.0,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by L. James),,39,17
125,2,10:09.0,,L. Amundson misses 2-pt jump shot from 3 ft,39,17
126,2,10:07.0,Defensive rebound by L. James,,39,17
127,2,10:01.0,Shooting foul by A. Bargnani (drawn by T. Thompson),,39,17
128,2,10:01.0,T. Thompson makes free throw 1 of 2,,40,17
129,2,10:01.0,,J. Smith enters the game for A. Bargnani,40,17
130,2,10:01.0,,C. Aldrich enters the game for L. Amundson,40,17
131,2,10:01.0,T. Thompson misses free throw 2 of 2,,40,17
132,2,9:59.0,,Defensive rebound by C. Aldrich,40,17
133,2,9:38.0,,J. Smith makes 2-pt layup from 2 ft,40,19
134,2,9:26.0,,Violation by C. Aldrich (kicked ball),40,19
135,2,9:19.0,L. James misses 2-pt jump shot from 22 ft,,40,19
136,2,9:18.0,,Defensive rebound by Team,40,19
137,2,8:56.0,,T. Wear makes 2-pt layup from 1 ft (assist by C. Aldrich),40,21
138,2,8:41.0,Turnover by L. James (lost ball; steal by T. Wear),,40,21
139,2,8:37.0,,L. Galloway makes 2-pt layup from 2 ft,40,23
140,2,8:11.0,L. James misses 3-pt jump shot from 25 ft,,40,23
141,2,8:09.0,Offensive rebound by T. Mozgov,,40,23
142,2,8:09.0,,Loose ball foul by C. Aldrich (drawn by T. Mozgov),40,23
143,2,8:09.0,Official timeout,,40,23
144,2,8:09.0,K. Irving enters the game for L. James,,40,23
145,2,8:09.0,K. Love enters the game for T. Mozgov,,40,23
146,2,8:09.0,J. Smith enters the game for M. Dellavedova,,40,23
147,2,7:58.0,K. Love makes 2-pt jump shot from 17 ft (assist by J. Smith),,42,23
148,2,7:46.0,,Turnover by T. Wear (lost ball),42,23
149,2,7:37.0,K. Irving misses 2-pt layup from 2 ft,,42,23
150,2,7:35.0,,Defensive rebound by T. Hardaway,42,23
151,2,7:32.0,,Turnover by T. Hardaway (lost ball; steal by J. Smith),42,23
152,2,7:30.0,I. Shumpert misses 3-pt jump shot from 24 ft,,42,23
153,2,7:28.0,Offensive rebound by T. Thompson,,42,23
154,2,7:20.0,Turnover by K. Irving (traveling),,42,23
155,2,6:59.0,,T. Hardaway misses 3-pt jump shot from 25 ft,42,23
156,2,6:57.0,Defensive rebound by K. Irving,,42,23
157,2,6:50.0,I. Shumpert makes 2-pt jump shot from 15 ft,,44,23
158,2,6:37.0,,Personal foul by J. Smith (drawn by T. Wear),44,23
159,2,6:37.0,,J. Calderón enters the game for T. Hardaway,44,23
