,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DALLAS_ACTION,CLEVELAND_SCORE,DALLAS_SCORE
0,1,11:38.0,T. Mozgov misses 2-pt layup from 1 ft (block by D. Nowitzki),,0,0
1,1,11:34.0,Offensive rebound by J. Smith,,0,0
2,1,11:34.0,J. Smith misses 2-pt jump shot from 3 ft (block by M. Ellis),,0,0
3,1,11:32.0,Offensive rebound by K. Irving,,0,0
4,1,11:31.0,K. Irving makes 3-pt jump shot from 24 ft,,3,0
5,1,11:23.0,,R. Rondo misses 2-pt layup at rim,3,0
6,1,11:22.0,Defensive rebound by L. James,,3,0
7,1,11:11.0,T. Mozgov misses 2-pt layup from 1 ft,,3,0
8,1,11:10.0,Offensive rebound by T. Mozgov,,3,0
9,1,11:10.0,Shooting foul by T. Chandler (drawn by T. Mozgov),,3,0
10,1,11:10.0,T. Mozgov makes free throw 1 of 2,,4,0
11,1,11:10.0,T. Mozgov makes free throw 2 of 2,,5,0
12,1,10:57.0,,M. Ellis misses 2-pt jump shot from 18 ft,5,0
13,1,10:56.0,Defensive rebound by L. James,,5,0
14,1,10:51.0,J. Smith makes 2-pt jump shot from 19 ft,,7,0
15,1,10:39.0,,R. Rondo makes 2-pt layup at rim (assist by M. Ellis),7,2
16,1,10:24.0,K. Irving misses 2-pt layup at rim,,7,2
17,1,10:22.0,,Defensive rebound by C. Parsons,7,2
18,1,10:15.0,,C. Parsons makes 2-pt jump shot from 19 ft (assist by R. Rondo),7,4
19,1,9:56.0,L. James misses 3-pt jump shot from 22 ft,,7,4
20,1,9:55.0,,Defensive rebound by M. Ellis,7,4
21,1,9:49.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Ellis),7,7
22,1,9:37.0,Turnover by K. Irving (bad pass; steal by D. Nowitzki),,7,7
23,1,9:30.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by R. Rondo),7,10
24,1,9:14.0,Personal foul by D. Nowitzki (drawn by K. Love),,7,10
25,1,9:06.0,K. Irving misses 2-pt layup from 2 ft,,7,10
26,1,9:04.0,,Defensive rebound by T. Chandler,7,10
27,1,9:01.0,,C. Parsons misses 2-pt layup from 1 ft (block by L. James),7,10
28,1,8:58.0,,Offensive rebound by T. Chandler,7,10
29,1,8:55.0,,Turnover by D. Nowitzki (lost ball; steal by K. Irving),7,10
30,1,8:47.0,K. Love misses 3-pt jump shot from 25 ft,,7,10
31,1,8:45.0,Offensive rebound by T. Mozgov,,7,10
32,1,8:45.0,T. Mozgov makes 2-pt dunk at rim,,9,10
33,1,8:28.0,,R. Rondo misses 3-pt jump shot from 23 ft,9,10
34,1,8:26.0,Defensive rebound by T. Mozgov,,9,10
35,1,8:18.0,K. Love misses 3-pt jump shot from 24 ft,,9,10
36,1,8:17.0,Offensive rebound by J. Smith,,9,10
37,1,8:10.0,T. Mozgov makes 2-pt layup from 1 ft (assist by J. Smith),,11,10
38,1,7:50.0,,M. Ellis misses 2-pt jump shot from 14 ft,11,10
39,1,7:49.0,Defensive rebound by K. Love,,11,10
40,1,7:41.0,L. James makes 2-pt layup at rim,,13,10
41,1,7:25.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,13,10
42,1,7:24.0,Defensive rebound by J. Smith,,13,10
43,1,7:15.0,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),,16,10
44,1,7:14.0,,Dallas full timeout,16,10
45,1,7:14.0,,A. Aminu enters the game for D. Nowitzki,16,10
46,1,6:58.0,,A. Aminu misses 2-pt layup from 3 ft,16,10
47,1,6:55.0,,Offensive rebound by T. Chandler,16,10
48,1,6:47.0,,Turnover by A. Aminu (step out of bounds),16,10
49,1,6:36.0,L. James makes 2-pt layup from 2 ft (assist by K. Love),,18,10
50,1,6:07.0,,C. Parsons makes 2-pt jump shot from 6 ft (assist by R. Rondo),18,12
51,1,6:02.0,Shooting foul by A. Aminu (drawn by K. Irving),,18,12
52,1,6:02.0,K. Irving makes free throw 1 of 2,,19,12
53,1,6:02.0,K. Irving makes free throw 2 of 2,,20,12
54,1,5:45.0,,M. Ellis misses 2-pt jump shot from 3 ft,20,12
55,1,5:42.0,Defensive rebound by K. Love,,20,12
56,1,5:32.0,K. Love misses 2-pt jump shot from 7 ft,,20,12
57,1,5:30.0,,Defensive rebound by R. Rondo,20,12
58,1,5:26.0,,R. Rondo misses 2-pt layup from 2 ft,20,12
59,1,5:24.0,Defensive rebound by K. Love,,20,12
60,1,5:24.0,Turnover by K. Love (lost ball; steal by R. Rondo),,20,12
61,1,5:24.0,Loose ball foul by K. Love (drawn by R. Rondo),,20,12
62,1,5:24.0,I. Shumpert enters the game for L. James,,20,12
63,1,5:19.0,,C. Parsons misses 3-pt jump shot from 25 ft,20,12
64,1,5:18.0,Defensive rebound by K. Love,,20,12
65,1,5:12.0,Turnover by K. Love (bad pass; steal by T. Chandler),,20,12
66,1,5:12.0,Loose ball foul by J. Smith (drawn by T. Chandler),,20,12
67,1,5:01.0,,M. Ellis makes 2-pt jump shot from 15 ft,20,14
68,1,4:40.0,I. Shumpert misses 2-pt jump shot from 20 ft,,20,14
69,1,4:38.0,,Defensive rebound by A. Aminu,20,14
70,1,4:32.0,,A. Aminu misses 2-pt layup from 1 ft (block by T. Mozgov),20,14
71,1,4:31.0,,Offensive rebound by T. Chandler,20,14
72,1,4:31.0,,Shooting foul by I. Shumpert (drawn by T. Chandler),20,14
73,1,4:31.0,,T. Chandler makes free throw 1 of 2,20,15
74,1,4:31.0,,T. Chandler makes free throw 2 of 2,20,16
75,1,4:11.0,Shooting foul by T. Chandler (drawn by T. Mozgov),,20,16
76,1,4:11.0,T. Mozgov misses free throw 1 of 2,,20,16
77,1,4:11.0,Offensive rebound by Team,,20,16
78,1,4:11.0,,A. Stoudemire enters the game for T. Chandler,20,16
79,1,4:11.0,T. Mozgov makes free throw 2 of 2,,21,16
80,1,4:00.0,,A. Aminu misses 2-pt jump shot from 8 ft,21,16
81,1,3:59.0,Defensive rebound by K. Love,,21,16
82,1,3:51.0,J. Smith misses 2-pt jump shot from 21 ft,,21,16
83,1,3:49.0,,Defensive rebound by A. Aminu,21,16
84,1,3:48.0,Loose ball foul by J. Smith (drawn by A. Aminu),,21,16
85,1,3:48.0,,D. Nowitzki enters the game for C. Parsons,21,16
86,1,3:48.0,,D. Harris enters the game for R. Rondo,21,16
87,1,3:48.0,M. Dellavedova enters the game for T. Mozgov,,21,16
88,1,3:48.0,T. Thompson enters the game for J. Smith,,21,16
89,1,3:35.0,,D. Nowitzki makes 2-pt jump shot from 3 ft (assist by M. Ellis),21,18
90,1,3:35.0,,Shooting foul by T. Thompson (drawn by D. Nowitzki),21,18
91,1,3:35.0,,D. Nowitzki makes free throw 1 of 1,21,19
92,1,3:18.0,Turnover by T. Thompson (3 sec),,21,19
93,1,3:06.0,,M. Ellis makes 2-pt jump shot from 6 ft,21,21
94,1,2:46.0,K. Love misses 2-pt hook shot from 3 ft,,21,21
95,1,2:43.0,,Defensive rebound by D. Nowitzki,21,21
