,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,K. Durant makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,3,0
1,1,11:32.0,,Turnover by N. Noel (bad pass),3,0
2,1,11:17.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,5,0
3,1,10:55.0,,N. Noel makes 2-pt hook shot from 2 ft (assist by M. Carter-Williams),5,2
4,1,10:34.0,R. Westbrook misses 2-pt jump shot from 16 ft,,5,2
5,1,10:33.0,,Defensive rebound by N. Noel,5,2
6,1,10:21.0,,Personal foul by R. Westbrook (drawn by M. Carter-Williams),5,2
7,1,10:08.0,,M. Carter-Williams misses 2-pt jump shot from 19 ft,5,2
8,1,10:06.0,Defensive rebound by K. Durant,,5,2
9,1,9:52.0,S. Ibaka misses 2-pt jump shot from 13 ft,,5,2
10,1,9:50.0,Offensive rebound by S. Ibaka,,5,2
11,1,9:44.0,A. Roberson makes 2-pt layup at rim (assist by K. Durant),,7,2
12,1,9:44.0,,Philadelphia full timeout,7,2
13,1,9:35.0,,Turnover by L. Mbah a Moute (lost ball),7,2
14,1,9:21.0,R. Westbrook misses 2-pt jump shot from 18 ft,,7,2
15,1,9:19.0,,Defensive rebound by H. Sims,7,2
16,1,9:09.0,,H. Sims makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),7,4
17,1,8:43.0,K. Durant misses 2-pt jump shot from 14 ft,,7,4
18,1,8:41.0,,Defensive rebound by L. Mbah a Moute,7,4
19,1,8:21.0,,H. Sims misses 2-pt jump shot from 3 ft (block by S. Ibaka),7,4
20,1,8:19.0,Defensive rebound by A. Roberson,,7,4
21,1,8:15.0,S. Ibaka makes 2-pt layup from 1 ft (assist by R. Westbrook),,9,4
22,1,8:01.0,,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),9,7
23,1,7:47.0,Turnover by R. Westbrook (bad pass),,9,7
24,1,7:47.0,,K. McDaniels enters the game for H. Thompson,9,7
25,1,7:25.0,,Shooting foul by A. Roberson (drawn by K. McDaniels),9,7
26,1,7:25.0,,K. McDaniels misses free throw 1 of 2,9,7
27,1,7:25.0,,Offensive rebound by Team,9,7
28,1,7:25.0,,K. McDaniels makes free throw 2 of 2,9,8
29,1,7:21.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,11,8
30,1,7:12.0,,Personal foul by S. Adams (drawn by H. Sims),11,8
31,1,7:12.0,,B. Davies enters the game for H. Sims,11,8
32,1,7:02.0,,N. Noel misses 2-pt jump shot from 19 ft,11,8
33,1,7:00.0,Defensive rebound by K. Durant,,11,8
34,1,6:42.0,R. Westbrook makes 2-pt jump shot from 17 ft,,13,8
35,1,6:28.0,,M. Carter-Williams makes 2-pt jump shot from 16 ft,13,10
36,1,6:06.0,S. Adams makes 2-pt layup from 2 ft,,15,10
37,1,5:54.0,,Shooting foul by S. Adams (drawn by B. Davies),15,10
38,1,5:54.0,K. Perkins enters the game for S. Adams,,15,10
39,1,5:54.0,,B. Davies makes free throw 1 of 2,15,11
40,1,5:54.0,A. Morrow enters the game for A. Roberson,,15,11
41,1,5:54.0,,B. Davies misses free throw 2 of 2,15,11
42,1,5:53.0,,Offensive rebound by Team,15,11
43,1,5:44.0,,N. Noel misses 2-pt hook shot from 7 ft (block by K. Durant),15,11
44,1,5:42.0,,Offensive rebound by B. Davies,15,11
45,1,5:37.0,,L. Mbah a Moute misses 2-pt jump shot from 14 ft,15,11
46,1,5:36.0,Defensive rebound by K. Durant,,15,11
47,1,5:25.0,R. Westbrook makes 2-pt layup from 1 ft,,17,11
48,1,5:16.0,,Offensive foul by B. Davies (drawn by R. Westbrook),17,11
49,1,5:16.0,,Turnover by B. Davies (offensive foul),17,11
50,1,5:05.0,A. Morrow misses 3-pt jump shot from 25 ft,,17,11
51,1,5:02.0,Offensive rebound by A. Morrow,,17,11
52,1,4:59.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Durant),,20,11
53,1,4:45.0,,Shooting foul by K. Perkins (drawn by N. Noel),20,11
54,1,4:45.0,,N. Noel misses free throw 1 of 2,20,11
55,1,4:45.0,,Offensive rebound by Team,20,11
56,1,4:45.0,R. Jackson enters the game for K. Durant,,20,11
57,1,4:45.0,,R. Covington enters the game for L. Mbah a Moute,20,11
58,1,4:45.0,,N. Noel makes free throw 2 of 2,20,12
59,1,4:29.0,K. Perkins misses 2-pt jump shot from 3 ft,,20,12
60,1,4:28.0,,Defensive rebound by K. McDaniels,20,12
61,1,4:19.0,,M. Carter-Williams misses 3-pt jump shot from 27 ft,20,12
62,1,4:17.0,,Offensive rebound by N. Noel,20,12
63,1,4:05.0,,J. Grant enters the game for N. Noel,20,12
64,1,4:05.0,N. Collison enters the game for S. Ibaka,,20,12
65,1,3:54.0,,B. Davies misses 2-pt jump shot from 13 ft (block by K. Perkins),20,12
66,1,3:52.0,,Offensive rebound by R. Covington,20,12
67,1,3:52.0,,R. Covington makes 2-pt layup from 1 ft,20,14
68,1,3:44.0,Shooting foul by M. Carter-Williams (drawn by R. Westbrook),,20,14
69,1,3:44.0,R. Westbrook makes free throw 1 of 2,,21,14
70,1,3:44.0,R. Westbrook makes free throw 2 of 2,,22,14
71,1,3:34.0,,R. Covington misses 2-pt jump shot from 3 ft,22,14
72,1,3:33.0,,Offensive rebound by R. Covington,22,14
73,1,3:33.0,,Shooting foul by A. Morrow (drawn by R. Covington),22,14
74,1,3:33.0,,R. Covington makes free throw 1 of 2,22,15
