,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHOENIX_ACTION,INDIANA_SCORE,PHOENIX_SCORE
0,1,11:39.0,Personal foul by M. Plumlee (drawn by R. Hibbert),,0,0
1,1,11:30.0,R. Stuckey makes 2-pt jump shot from 17 ft (assist by D. Sloan),,2,0
2,1,11:08.0,,G. Dragić makes 2-pt jump shot from 16 ft,2,2
3,1,10:48.0,R. Hibbert misses 2-pt jump shot from 12 ft,,2,2
4,1,10:45.0,Offensive rebound by R. Stuckey,,2,2
5,1,10:35.0,R. Stuckey makes 2-pt layup from 1 ft,,4,2
6,1,10:22.0,,M. Morris misses 2-pt jump shot from 14 ft,4,2
7,1,10:18.0,Defensive rebound by D. Sloan,,4,2
8,1,10:10.0,,Violation by M. Morris (kicked ball),4,2
9,1,9:57.0,D. Sloan misses 2-pt jump shot from 17 ft,,4,2
10,1,9:55.0,,Defensive rebound by P. Tucker,4,2
11,1,9:50.0,,E. Bledsoe makes 2-pt jump shot from 6 ft,4,4
12,1,9:22.0,D. Sloan misses 3-pt jump shot from 24 ft,,4,4
13,1,9:20.0,,Defensive rebound by M. Morris,4,4
14,1,9:15.0,,G. Dragić makes 2-pt layup at rim,4,6
15,1,8:57.0,R. Stuckey misses 2-pt jump shot from 5 ft (block by M. Plumlee),,4,6
16,1,8:55.0,,Defensive rebound by G. Dragić,4,6
17,1,8:52.0,,E. Bledsoe misses 2-pt layup from 1 ft,4,6
18,1,8:49.0,Defensive rebound by S. Hill,,4,6
19,1,8:36.0,R. Hibbert misses 2-pt hook shot from 9 ft,,4,6
20,1,8:33.0,Offensive rebound by D. West,,4,6
21,1,8:32.0,D. West makes 2-pt layup at rim,,6,6
22,1,8:17.0,,M. Morris misses 2-pt jump shot from 5 ft,6,6
23,1,8:14.0,,Offensive rebound by M. Plumlee,6,6
24,1,8:13.0,,M. Plumlee makes 2-pt layup from 1 ft,6,8
25,1,7:51.0,D. West misses 2-pt jump shot from 16 ft,,6,8
26,1,7:49.0,,Defensive rebound by E. Bledsoe,6,8
27,1,7:46.0,Violation by S. Hill (def goaltending),,6,8
28,1,7:46.0,,M. Morris makes 2-pt layup at rim (assist by E. Bledsoe),6,10
29,1,7:33.0,Turnover by D. West (bad pass; steal by G. Dragić),,6,10
30,1,7:31.0,,Shooting foul by R. Stuckey (drawn by G. Dragić),6,10
31,1,7:31.0,,G. Dragić makes free throw 1 of 2,6,11
32,1,7:31.0,,G. Dragić makes free throw 2 of 2,6,12
33,1,7:15.0,R. Hibbert makes 2-pt hook shot from 10 ft,,8,12
34,1,7:05.0,,Shooting foul by S. Hill (drawn by M. Plumlee),8,12
35,1,7:05.0,,M. Plumlee misses free throw 1 of 2,8,12
36,1,7:05.0,,Offensive rebound by Team,8,12
37,1,7:05.0,,M. Plumlee makes free throw 2 of 2,8,13
38,1,6:45.0,D. West misses 2-pt jump shot from 20 ft,,8,13
39,1,6:43.0,Offensive rebound by R. Hibbert,,8,13
40,1,6:40.0,Turnover by S. Hill (bad pass; steal by E. Bledsoe),,8,13
41,1,6:35.0,,E. Bledsoe misses 2-pt layup at rim,8,13
42,1,6:35.0,,Offensive rebound by P. Tucker,8,13
43,1,6:35.0,,P. Tucker makes 2-pt tip-in at rim,8,15
44,1,6:35.0,Indiana full timeout,,8,15
45,1,6:20.0,S. Hill misses 2-pt dunk at rim (block by M. Plumlee),,8,15
46,1,6:17.0,,Defensive rebound by G. Dragić,8,15
