,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
0,1,11:42.0,,N. Vučević misses 2-pt jump shot from 5 ft,0,0
1,1,11:41.0,Defensive rebound by N. Batum,,0,0
2,1,11:30.0,A. Afflalo misses 3-pt jump shot from 23 ft,,0,0
3,1,11:28.0,,Defensive rebound by E. Payton,0,0
4,1,11:19.0,,M. Harkless misses 2-pt layup at rim,0,0
5,1,11:17.0,,Offensive rebound by E. Payton,0,0
6,1,11:17.0,,E. Payton makes 2-pt layup at rim,0,2
7,1,10:56.0,L. Aldridge makes 2-pt jump shot from 12 ft,,2,2
8,1,10:43.0,,M. Harkless misses 2-pt layup from 1 ft,2,2
9,1,10:41.0,,Offensive rebound by N. Vučević,2,2
10,1,10:41.0,,N. Vučević makes 2-pt layup at rim,2,4
11,1,10:13.0,A. Afflalo misses 3-pt jump shot from 27 ft,,2,4
12,1,10:11.0,,Defensive rebound by E. Payton,2,4
13,1,9:57.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Payton),2,7
14,1,9:32.0,Turnover by A. Afflalo (bad pass; steal by E. Payton),,2,7
15,1,9:29.0,,Shooting foul by A. Afflalo (drawn by V. Oladipo),2,7
16,1,9:29.0,Portland full timeout,,2,7
17,1,9:29.0,,V. Oladipo makes free throw 1 of 2,2,8
18,1,9:29.0,,V. Oladipo makes free throw 2 of 2,2,9
19,1,9:07.0,L. Aldridge misses 2-pt jump shot from 19 ft,,2,9
20,1,9:06.0,Offensive rebound by R. Lopez,,2,9
21,1,9:02.0,Turnover by R. Lopez (lost ball; steal by E. Payton),,2,9
22,1,8:52.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by V. Oladipo),2,11
23,1,8:38.0,Turnover by A. Afflalo (lost ball),,2,11
24,1,8:28.0,,C. Frye misses 3-pt jump shot from 25 ft,2,11
25,1,8:26.0,Defensive rebound by A. Afflalo,,2,11
26,1,8:14.0,A. Afflalo misses 2-pt layup from 1 ft,,2,11
27,1,8:12.0,,Defensive rebound by V. Oladipo,2,11
28,1,8:09.0,,V. Oladipo misses 2-pt layup from 1 ft,2,11
29,1,8:07.0,,Offensive rebound by M. Harkless,2,11
30,1,8:07.0,,M. Harkless misses 2-pt layup at rim,2,11
31,1,8:05.0,,Offensive rebound by M. Harkless,2,11
32,1,8:05.0,,M. Harkless misses 2-pt tip-in from 1 ft,2,11
33,1,8:03.0,Defensive rebound by N. Batum,,2,11
34,1,7:56.0,Personal foul by N. Vučević (drawn by L. Aldridge),,2,11
35,1,7:51.0,D. Lillard makes 2-pt layup from 1 ft (assist by N. Batum),,4,11
36,1,7:39.0,,V. Oladipo misses 2-pt jump shot from 19 ft,4,11
37,1,7:36.0,,Offensive rebound by C. Frye,4,11
38,1,7:36.0,,C. Frye misses 2-pt layup at rim,4,11
39,1,7:34.0,Defensive rebound by N. Batum,,4,11
40,1,7:23.0,D. Lillard misses 3-pt jump shot from 25 ft,,4,11
41,1,7:21.0,,Defensive rebound by C. Frye,4,11
42,1,7:10.0,,N. Vučević misses 2-pt jump shot from 18 ft,4,11
43,1,7:09.0,Defensive rebound by N. Batum,,4,11
44,1,7:00.0,L. Aldridge misses 3-pt jump shot from 24 ft,,4,11
45,1,6:59.0,,Defensive rebound by E. Payton,4,11
46,1,6:55.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Payton),4,13
47,1,6:55.0,,Shooting foul by R. Lopez (drawn by N. Vučević),4,13
48,1,6:55.0,,N. Vučević misses free throw 1 of 1,4,13
49,1,6:54.0,Defensive rebound by L. Aldridge,,4,13
50,1,6:38.0,Personal foul by M. Harkless (drawn by N. Batum),,4,13
51,1,6:31.0,N. Batum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,7,13
52,1,6:20.0,,N. Vučević misses 2-pt jump shot from 20 ft,7,13
53,1,6:18.0,Defensive rebound by N. Batum,,7,13
54,1,6:14.0,Personal foul by E. Payton (drawn by D. Lillard),,7,13
55,1,6:00.0,L. Aldridge makes 2-pt jump shot from 18 ft,,9,13
56,1,5:41.0,,V. Oladipo misses 2-pt jump shot from 9 ft,9,13
57,1,5:37.0,,Offensive rebound by V. Oladipo,9,13
58,1,5:37.0,,V. Oladipo makes 2-pt layup from 1 ft,9,15
59,1,5:25.0,Turnover by N. Batum (bad pass),,9,15
60,1,5:25.0,C. Kaman enters the game for R. Lopez,,9,15
61,1,5:25.0,C. McCollum enters the game for A. Afflalo,,9,15
62,1,5:00.0,,N. Vučević misses 2-pt jump shot from 8 ft,9,15
63,1,4:59.0,Defensive rebound by L. Aldridge,,9,15
