,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:38.0,P. Millsap misses 2-pt jump shot from 4 ft,,0,0
1,1,11:36.0,,Defensive rebound by E. Turner,0,0
2,1,11:25.0,,T. Zeller misses 2-pt jump shot from 18 ft,0,0
3,1,11:24.0,Defensive rebound by T. Sefolosha,,0,0
4,1,11:20.0,P. Millsap misses 2-pt layup from 1 ft,,0,0
5,1,11:19.0,,Defensive rebound by J. Sullinger,0,0
6,1,11:13.0,,J. Sullinger misses 3-pt jump shot from 26 ft,0,0
7,1,11:11.0,Defensive rebound by P. Antić,,0,0
8,1,10:53.0,P. Antić misses 3-pt jump shot from 25 ft,,0,0
9,1,10:52.0,,Defensive rebound by J. Sullinger,0,0
10,1,10:38.0,,A. Bradley makes 2-pt jump shot from 3 ft (assist by T. Zeller),0,2
11,1,10:20.0,P. Antić makes 2-pt jump shot from 21 ft (assist by J. Teague),,2,2
12,1,9:58.0,,Turnover by E. Turner (lost ball),2,2
13,1,9:48.0,J. Teague misses 3-pt jump shot from 24 ft,,2,2
14,1,9:47.0,Offensive rebound by P. Antić,,2,2
15,1,9:44.0,J. Teague makes 2-pt layup from 2 ft (assist by P. Antić),,4,2
16,1,9:31.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by E. Turner),4,5
17,1,9:22.0,D. Carroll makes 2-pt layup from 1 ft (assist by J. Teague),,6,5
18,1,9:22.0,,Boston full timeout,6,5
19,1,9:07.0,,J. Sullinger misses 2-pt hook shot from 4 ft,6,5
20,1,9:06.0,Defensive rebound by P. Millsap,,6,5
21,1,8:48.0,P. Antić makes 2-pt jump shot from 16 ft (assist by P. Millsap),,8,5
22,1,8:40.0,,Turnover by T. Zeller (bad pass; steal by T. Sefolosha),8,5
23,1,8:36.0,T. Sefolosha makes 2-pt dunk at rim,,10,5
24,1,8:16.0,,J. Sullinger makes 2-pt hook shot from 4 ft,10,7
25,1,7:56.0,J. Teague makes 2-pt jump shot from 19 ft,,12,7
26,1,7:37.0,,E. Turner misses 3-pt jump shot from 22 ft,12,7
27,1,7:34.0,Defensive rebound by P. Millsap,,12,7
28,1,7:22.0,D. Carroll makes 2-pt jump shot from 8 ft,,14,7
29,1,6:56.0,,E. Turner misses 3-pt jump shot from 30 ft (block by T. Sefolosha),14,7
30,1,6:55.0,Defensive rebound by P. Millsap,,14,7
31,1,6:51.0,D. Carroll misses 2-pt layup from 1 ft,,14,7
32,1,6:50.0,,Defensive rebound by J. Crowder,14,7
33,1,6:41.0,,T. Zeller misses 2-pt jump shot from 3 ft,14,7
34,1,6:40.0,,Offensive rebound by J. Sullinger,14,7
35,1,6:40.0,,J. Sullinger misses 2-pt tip-in from 1 ft,14,7
36,1,6:38.0,,Offensive rebound by J. Sullinger,14,7
37,1,6:34.0,,Personal foul by P. Antić (drawn by A. Bradley),14,7
38,1,6:34.0,,M. Thornton enters the game for J. Crowder,14,7
39,1,6:34.0,,K. Olynyk enters the game for T. Zeller,14,7
40,1,6:19.0,,E. Turner misses 2-pt jump shot from 7 ft,14,7
41,1,6:17.0,,Offensive rebound by J. Sullinger,14,7
42,1,6:04.0,,M. Thornton makes 3-pt jump shot from 25 ft (assist by E. Turner),14,10
43,1,5:35.0,T. Sefolosha misses 2-pt jump shot from 17 ft,,14,10
44,1,5:34.0,,Defensive rebound by M. Thornton,14,10
45,1,5:18.0,,Personal foul by P. Millsap (drawn by J. Sullinger),14,10
46,1,5:18.0,M. Muscala enters the game for P. Antić,,14,10
47,1,5:18.0,K. Bazemore enters the game for T. Sefolosha,,14,10
48,1,5:11.0,,A. Bradley misses 2-pt jump shot from 21 ft (block by J. Teague),14,10
49,1,5:10.0,Defensive rebound by J. Teague,,14,10
50,1,4:58.0,M. Muscala makes 2-pt jump shot from 18 ft (assist by P. Millsap),,16,10
51,1,4:42.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by E. Turner),16,12
52,1,4:26.0,Turnover by P. Millsap (lost ball),,16,12
53,1,4:26.0,,M. Smart enters the game for A. Bradley,16,12
54,1,4:11.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by E. Turner),16,15
55,1,3:58.0,Personal block foul by K. Olynyk (drawn by J. Teague),,16,15
56,1,3:48.0,J. Teague makes 3-pt jump shot from 24 ft (assist by D. Carroll),,19,15
57,1,3:27.0,,J. Sullinger makes 2-pt dunk at rim (assist by E. Turner),19,17
58,1,3:26.0,Atlanta full timeout,,19,17
59,1,3:04.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,22,17
60,1,2:41.0,,K. Olynyk misses 2-pt layup from 3 ft (block by P. Millsap),22,17
61,1,2:40.0,,Offensive rebound by Team,22,17
62,1,2:40.0,D. Schröder enters the game for J. Teague,,22,17
63,1,2:40.0,,B. Bass enters the game for J. Sullinger,22,17
64,1,2:35.0,,B. Bass misses 2-pt jump shot from 18 ft,22,17
65,1,2:34.0,,Offensive rebound by K. Olynyk,22,17
66,1,2:31.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by K. Olynyk),22,20
67,1,2:08.0,P. Millsap misses 3-pt jump shot from 24 ft,,22,20
68,1,2:07.0,Offensive rebound by D. Carroll,,22,20
69,1,2:05.0,D. Carroll misses 2-pt layup from 2 ft,,22,20
70,1,2:04.0,Offensive rebound by M. Muscala,,22,20
71,1,1:47.0,M. Muscala misses 2-pt jump shot from 4 ft,,22,20
72,1,1:45.0,Offensive rebound by K. Bazemore,,22,20
73,1,1:45.0,K. Bazemore misses 2-pt tip-in at rim,,22,20
74,1,1:44.0,,Defensive rebound by M. Smart,22,20
75,1,1:29.0,,M. Thornton misses 2-pt layup from 2 ft,22,20
76,1,1:28.0,Defensive rebound by D. Carroll,,22,20
77,1,1:24.0,Shooting foul by K. Olynyk (drawn by D. Carroll),,22,20
78,1,1:24.0,D. Carroll misses free throw 1 of 2,,22,20
79,1,1:24.0,Offensive rebound by Team,,22,20
80,1,1:24.0,,J. Crowder enters the game for E. Turner,22,20
81,1,1:24.0,M. Scott enters the game for P. Millsap,,22,20
