,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:44.0,Turnover by G. Monroe (bad pass; steal by D. DeRozan),,0,0
1,1,11:30.0,,Turnover by G. Vásquez (lost ball),0,0
2,1,11:17.0,Turnover by K. Caldwell-Pope (bad pass; steal by K. Lowry),,0,0
3,1,11:05.0,,J. Valančiūnas misses 2-pt hook shot from 2 ft,0,0
4,1,11:04.0,Defensive rebound by G. Monroe,,0,0
5,1,10:53.0,G. Monroe makes 2-pt layup from 2 ft (assist by D. Augustin),,2,0
6,1,10:34.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by G. Vásquez),2,2
7,1,10:20.0,D. Augustin misses 2-pt layup from 2 ft,,2,2
8,1,10:19.0,Offensive rebound by A. Drummond,,2,2
9,1,10:16.0,A. Drummond misses 2-pt tip-in from 1 ft,,2,2
10,1,10:15.0,,Defensive rebound by G. Vásquez,2,2
11,1,10:02.0,,G. Vásquez misses 2-pt jump shot from 9 ft,2,2
12,1,10:01.0,Defensive rebound by K. Singler,,2,2
13,1,9:57.0,Shooting foul by G. Vásquez (drawn by D. Augustin),,2,2
14,1,9:57.0,D. Augustin makes free throw 1 of 2,,3,2
15,1,9:57.0,D. Augustin makes free throw 2 of 2,,4,2
16,1,9:48.0,,Personal foul by K. Singler (drawn by D. DeRozan),4,2
17,1,9:43.0,,D. DeRozan misses 2-pt jump shot from 18 ft,4,2
18,1,9:41.0,Defensive rebound by A. Drummond,,4,2
19,1,9:31.0,G. Monroe misses 2-pt jump shot from 3 ft,,4,2
20,1,9:29.0,,Defensive rebound by D. DeRozan,4,2
21,1,9:23.0,,G. Vásquez makes 3-pt jump shot from 24 ft (assist by D. DeRozan),4,5
22,1,8:59.0,K. Singler makes 3-pt jump shot from 24 ft (assist by G. Monroe),,7,5
23,1,8:43.0,,Personal foul by G. Monroe (drawn by J. Valančiūnas),7,5
24,1,8:30.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft,7,7
25,1,8:08.0,A. Drummond makes 2-pt hook shot from 7 ft,,9,7
26,1,7:51.0,,D. DeRozan makes 3-pt jump shot from 22 ft (assist by G. Vásquez),9,10
27,1,7:37.0,A. Drummond misses 2-pt hook shot from 7 ft,,9,10
28,1,7:36.0,,Defensive rebound by J. Valančiūnas,9,10
29,1,7:25.0,,G. Vásquez makes 2-pt layup from 2 ft (assist by D. DeRozan),9,12
30,1,7:05.0,D. Augustin misses 2-pt jump shot from 3 ft,,9,12
31,1,7:03.0,Offensive rebound by A. Drummond,,9,12
32,1,7:01.0,A. Drummond misses 2-pt tip-in from 1 ft,,9,12
33,1,7:00.0,,Defensive rebound by K. Lowry,9,12
34,1,6:50.0,,J. Valančiūnas makes 2-pt layup from 2 ft,9,14
35,1,6:45.0,Detroit full timeout,,9,14
36,1,6:31.0,D. Augustin misses 3-pt jump shot from 24 ft,,9,14
37,1,6:30.0,,Defensive rebound by K. Lowry,9,14
38,1,6:09.0,,J. Valančiūnas makes 2-pt jump shot from 8 ft,9,16
39,1,5:56.0,Personal foul by G. Vásquez (drawn by K. Singler),,9,16
40,1,5:56.0,,L. Williams enters the game for G. Vásquez,9,16
41,1,5:48.0,G. Monroe misses 2-pt layup from 2 ft (block by J. Valančiūnas),,9,16
42,1,5:46.0,,Defensive rebound by J. Valančiūnas,9,16
43,1,5:46.0,,Personal foul by G. Monroe (drawn by L. Williams),9,16
44,1,5:46.0,A. Tolliver enters the game for G. Monroe,,9,16
45,1,5:30.0,,A. Johnson makes 2-pt hook shot from 7 ft (assist by K. Lowry),9,18
46,1,5:14.0,A. Tolliver misses 3-pt jump shot from 24 ft,,9,18
47,1,5:13.0,,Defensive rebound by J. Valančiūnas,9,18
48,1,5:00.0,,Personal foul by D. Augustin (drawn by L. Williams),9,18
49,1,4:53.0,,D. DeRozan misses 2-pt jump shot from 16 ft,9,18
50,1,4:51.0,Defensive rebound by A. Tolliver,,9,18
51,1,4:43.0,Turnover by K. Singler (lost ball),,9,18
52,1,4:26.0,,J. Valančiūnas misses 2-pt jump shot from 7 ft,9,18
53,1,4:24.0,Defensive rebound by D. Augustin,,9,18
54,1,4:18.0,D. Augustin makes 2-pt layup from 1 ft,,11,18
55,1,3:55.0,,J. Valančiūnas misses 2-pt jump shot from 19 ft,11,18
56,1,3:54.0,Defensive rebound by K. Caldwell-Pope,,11,18
57,1,3:47.0,D. Augustin makes 3-pt jump shot from 23 ft,,14,18
58,1,3:36.0,,K. Lowry makes 2-pt layup from 1 ft,14,20
59,1,3:19.0,A. Drummond makes 2-pt hook shot from 4 ft,,16,20
60,1,3:19.0,Shooting foul by J. Valančiūnas (drawn by A. Drummond),,16,20
61,1,3:19.0,,Toronto full timeout,16,20
62,1,3:19.0,,P. Patterson enters the game for A. Johnson,16,20
63,1,3:19.0,J. Meeks enters the game for K. Caldwell-Pope,,16,20
64,1,3:19.0,A. Drummond misses free throw 1 of 1,,16,20
